"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterococcus"	"Survived"	"yes"	"Survivedyes"	1.95108368930168	0	0.662790728135219	0.00324272115741418	0.0745825866205261	0.00647492707432362	0.0776991248918834	NA	"prevalence"	95	79
"Enterococcus"	"Survived"	"yes"	"Survivedyes"	-2.08490579343333	0.212543678129579	0.976019388108997	0.0283868939827852	0.261207549735701	0.00647492707432362	0.0776991248918834	NA	"abundance"	95	79
"Citrobacter"	"Survived"	"yes"	"Survivedyes"	1.34020721175122	0	0.632401196183445	0.0340705499655262	0.261207549735701	0.0669802975560989	0.401881785336593	NA	"prevalence"	95	66
"Bifidobacterium"	"Survived"	"yes"	"Survivedyes"	1.05413732831774	0	0.627097417747996	0.0927670747457518	0.487461561269902	0.17692841933462	0.602130565685361	NA	"prevalence"	95	61
"Klebsiella"	"Survived"	"yes"	"Survivedyes"	-1.04691375540042	0	0.647611965830277	0.105969904623892	0.487461561269902	0.200710188561787	0.602130565685361	NA	"prevalence"	95	42
"Klebsiella"	"Survived"	"yes"	"Survivedyes"	-1.15874716839575	0.212543678129579	1.2094775956039	0.240598748300215	0.922295201817491	0.200710188561787	0.602130565685361	NA	"abundance"	95	42
"Bifidobacterium"	"Survived"	"yes"	"Survivedyes"	-0.576589863141493	0.212543678129579	1.06892221097708	0.434507313923851	0.986321551285209	0.17692841933462	0.602130565685361	NA	"abundance"	95	61
"Citrobacter"	"Survived"	"yes"	"Survivedyes"	0.448846068149448	0.212543678129579	1.02259432835645	0.806012243910186	0.986321551285209	0.0669802975560989	0.401881785336593	NA	"abundance"	95	66
"Clostridioides"	"Survived"	"yes"	"Survivedyes"	-0.479957309097357	0.212543678129579	0.860873924470402	0.391192208526512	0.986321551285209	0.629353073041173	0.999655614474999	NA	"abundance"	95	53
"Clostridium"	"Survived"	"yes"	"Survivedyes"	0.788007103859904	0.212543678129579	1.17580550934413	0.611853554787629	0.986321551285209	0.849342337069	0.999655614474999	NA	"abundance"	95	52
"Collinsella"	"Survived"	"yes"	"Survivedyes"	0.471641115938188	0.212543678129579	3.07646765135713	0.931375435877796	0.986321551285209	0.870894569971711	0.999655614474999	NA	"abundance"	95	12
"Dysgonomonas"	"Survived"	"yes"	"Survivedyes"	-0.0434138424194401	0.212543678129579	2.14683398796473	0.908650854742929	0.986321551285209	0.870894569971711	0.999655614474999	NA	"abundance"	95	12
"Escherichia"	"Survived"	"yes"	"Survivedyes"	0.165075270380617	0.212543678129579	0.663489100565372	0.941997244898592	0.986321551285209	0.819147954804085	0.999655614474999	NA	"abundance"	95	73
"Finegoldia"	"Survived"	"yes"	"Survivedyes"	0.26001208587854	0.212543678129579	2.12760904504779	0.98144237286178	0.986321551285209	0.999655614474999	0.999655614474999	NA	"abundance"	95	16
"Veillonella"	"Survived"	"yes"	"Survivedyes"	0.968455986951963	0.212543678129579	2.57939953470334	0.773920323701564	0.986321551285209	0.946218314791817	0.999655614474999	NA	"abundance"	95	6
"Clostridioides"	"Survived"	"yes"	"Survivedyes"	0.263818774771297	0	0.615130178626992	0.668008492610609	0.986321551285209	0.629353073041173	0.999655614474999	NA	"prevalence"	95	53
"Clostridium"	"Survived"	"yes"	"Survivedyes"	0.21543785169516	0	0.61490386382577	0.726068378143203	0.986321551285209	0.849342337069	0.999655614474999	NA	"prevalence"	95	52
"Collinsella"	"Survived"	"yes"	"Survivedyes"	0.496501504317366	0	1.06376989238225	0.640687559318789	0.986321551285209	0.870894569971711	0.999655614474999	NA	"prevalence"	95	12
"Dysgonomonas"	"Survived"	"yes"	"Survivedyes"	0.496501504317365	0	1.06376989238225	0.640687559318789	0.986321551285209	0.870894569971711	0.999655614474999	NA	"prevalence"	95	12
"Escherichia"	"Survived"	"yes"	"Survivedyes"	-0.451937712966265	0	0.805457086260873	0.574732971891877	0.986321551285209	0.819147954804085	0.999655614474999	NA	"prevalence"	95	73
"Finegoldia"	"Survived"	"yes"	"Survivedyes"	0.0140090826795119	0	0.817130909689617	0.986321551285209	0.986321551285209	0.999655614474999	0.999655614474999	NA	"prevalence"	95	16
"Morganella"	"Survived"	"yes"	"Survivedyes"	3.76311826310626	0	3.99686484919099	0.346439717496493	0.986321551285209	0.346439717496493	0.831455321991584	NA	"prevalence"	95	15
"Veillonella"	"Survived"	"yes"	"Survivedyes"	-0.326718490739143	0	1.10799886100658	0.768091213602885	0.986321551285209	0.946218314791817	0.999655614474999	NA	"prevalence"	95	6
"Morganella"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.346439717496493	0.831455321991584	"No data points have the baseline factor level"	"abundance"	95	15
