feature	Klebsiella	Achromobacter	Escherichia	Enterococcus	Pedobacter	Delftia	Paenibacillus	Acinetobacter	Clostridium	Erysipelatoclostridium	Clostridioides	Veillonella	Proteus	Citrobacter	Peptoniphilus	Campylobacter	Varibaculum	Finegoldia	Gemella	Bacteroides	Akkermansia	Lactobacillus	Blautia	Lachnoclostridium	Parasutterella	Proteobacteria_unclassified	Turicimonas	Streptococcus	Staphylococcus	Sphingomonas	Anaerococcus	Bifidobacterium	Morganella	Negativicoccus	Actinomyces	Corynebacterium	Dermabacter	Aeriscardovia	Mycobacteroides	Lachnospiraceae_unclassified	Acutalibacter	Anaerotruncus	Dorea	Enterorhabdus	Oscillibacter	Pseudomonas	Ruthenibacterium	Enterobacter	Cutibacterium	Serratia	Leclercia	Dysgonomonas	Collinsella	Gleimia	Fusobacterium	GGB9832	Bacillus	Burkholderia
GF11_B2_d73	0.7048426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2951574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_B4_d72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9981081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0018919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_B4_d73	0.1969273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8030727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_C2_d72	NA	NA	NA	0.0321062	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9652259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0026679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_C5_d72	NA	NA	NA	0.2175682	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7738586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0085732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_C6_d72	0.00173249982675002	NA	NA	0.0226373977362602	NA	NA	NA	NA	NA	NA	0.00592429940757006	NA	NA	0.9511380048862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185677981432202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_C7_d72_colon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9755676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0244324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d140_c8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d34_a2	NA	NA	0.7514568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2485432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d34_a4	NA	NA	0.0468755953124405	0.0179182982081702	NA	NA	NA	NA	0.00473229952677005	NA	0.00597569940243006	NA	NA	0.617649738235026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0112182988781701	0.295630070436993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d34_b3	NA	NA	0.0563629	0.0099942	NA	NA	NA	NA	NA	NA	0.0012113	NA	NA	0.9229347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0094969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d35_a2	NA	NA	0.995915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002797	0.001288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d35_a3	NA	NA	0.6887012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0620198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2468436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d89_b2	0.0667898066789807	NA	0.338369733836973	0.0938450093845009	NA	NA	NA	NA	0.452615245261525	NA	0.0172936017293602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0310866031086603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d89_b6	0.9862792	NA	NA	NA	NA	NA	NA	NA	0.0137208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_B1_D36	NA	NA	0.1240086	0.8678923	NA	NA	NA	NA	0.0021018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0059973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_B3_d36	NA	NA	0.2224158	0.7203416	NA	NA	NA	NA	0.0039985	NA	0.0098275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0434166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_B3_d37	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_d36	NA	NA	0.9632831	0.0367169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_D37	NA	NA	0.3081675	0.1572958	NA	NA	NA	NA	0.1432519	NA	0.1656397	NA	NA	0.2256451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C2_D36	0.129418712941871	NA	0.109331510933151	0.527536252753625	NA	NA	NA	NA	0.0597408059740806	NA	NA	NA	NA	0.173972717397272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C2_d37	0.288372428837243	NA	0.105288010528801	0.104387810438781	NA	NA	NA	NA	0.179866917986692	NA	0.162825716282572	NA	NA	0.150951015095102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00830810083081008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C3_d36	NA	NA	0.7060499	0.0808023	NA	NA	NA	NA	0.1836134	NA	0.0257581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C4_d36	0.0025594	NA	0.0803505	0.8934576	NA	NA	NA	NA	NA	NA	0.0015846	NA	NA	NA	NA	NA	NA	0.0007188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0213291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
