feature	Klebsiella	Escherichia	Enterococcus	Clostridium	Clostridioides	Veillonella	Citrobacter	Finegoldia	Bifidobacterium	Morganella	Dysgonomonas	Collinsella
GF11_B2_d73	-0.504626972911315	NA	NA	NA	NA	NA	-1.76044358230916	NA	NA	NA	NA	NA
GF11_B4_d72	NA	NA	NA	NA	NA	NA	-0.00273201991776069	NA	-9.04594845038057	NA	NA	NA
GF11_B4_d73	-2.34426496920157	NA	NA	NA	NA	NA	-0.316397497951871	NA	NA	NA	NA	NA
GF11_C2_d72	NA	NA	-4.96100426795533	NA	NA	NA	-0.0510614668386355	NA	-8.55007969318001	NA	NA	NA
GF11_C5_d72	NA	NA	-2.20046038873525	NA	NA	NA	-0.369858114712629	NA	-6.86595048494137	NA	NA	NA
GF11_C6_d72	-9.1729290765691	NA	-5.46514806591451	NA	-7.39913972997369	NA	-0.0722734115090334	NA	-5.75105344591755	NA	NA	NA
GF11_C7_d72_colon	NA	NA	NA	NA	NA	NA	-0.0356862499303079	NA	-5.35506060295903	NA	NA	NA
GF20_d140_c8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d34_a2	NA	-0.412237926497147	NA	NA	NA	NA	NA	NA	NA	-2.00843146237924	NA	NA
GF20_d34_a4	NA	-4.41501917717	-5.80242256595173	-7.72324289397045	-7.38667670707222	NA	-0.695139159937293	NA	-6.47800226481676	-1.75813507214248	NA	NA
GF20_d34_b3	NA	-4.1491103462609	-6.64469319565362	NA	-9.68922806627602	NA	-0.115699517784265	NA	-6.71832762221698	NA	NA	NA
GF20_d35_a2	NA	-0.00590547941272076	NA	NA	NA	NA	NA	NA	-8.48190403084798	-9.60065169120956	NA	NA
GF20_d35_a3	NA	-0.538049904088886	NA	NA	NA	NA	-4.0111273161859	NA	NA	-2.01833085458031	NA	NA
GF20_d89_b2	-3.90422825138402	-1.56332756542504	-3.41357616424625	-1.14364291573377	-5.85361782016154	NA	NA	NA	NA	-5.00756321047219	NA	NA
GF20_d89_b6	-0.0199319863807017	NA	NA	-6.18749158855663	NA	NA	NA	NA	NA	NA	NA	NA
GF4_B1_D36	NA	-3.01148791986293	-0.204412070531247	-8.89415889068832	NA	NA	NA	NA	-7.38147114282604	NA	NA	NA
GF4_B3_d36	NA	-2.168668816844	-0.473246872007441	-7.96632539676728	-6.66895982601272	NA	NA	NA	-4.52560943837713	NA	NA	NA
GF4_B3_d37	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_d36	NA	-0.0539682397638611	-4.76741193231444	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_D37	NA	-1.69821337469973	-2.66844794543107	-2.8033738208099	-2.59387960001613	NA	-2.14787264486546	NA	NA	NA	NA	NA
GF4_C2_D36	-2.94988185996374	-3.19321882823117	-0.922657854393181	-4.0651394883335	NA	NA	-2.52306701617988	NA	NA	NA	NA	NA
GF4_C2_d37	-1.79399485916175	-3.24758693331428	-3.25997483936123	-2.47499823150747	-2.6185995216752	NA	-2.72784763636146	NA	NA	-6.91126555918404	NA	NA
GF4_C3_d36	NA	-0.502157945472322	-3.62945983056785	-2.44525674524181	-5.27883001020698	NA	NA	NA	-8.04881090361698	NA	NA	NA
GF4_C4_d36	-8.60997864571802	-3.63754918833514	-0.162528828654913	NA	-9.30166557732329	NA	NA	-10.4421219707016	-5.551033098589	NA	NA	NA
GF4_C4_d37	-2.18184249173452	-4.24749116418822	-1.30704974123799	-3.30041851892277	-2.74490104160316	NA	-3.79320476347347	NA	NA	NA	NA	NA
GF5_A1_D47	-1.99710035805491	-2.07349177194267	-4.9446023324901	-2.07621658375921	-3.36864809826891	-5.53420826731412	-4.71749628680448	-4.25123391655512	-6.70679824921291	-5.39180405901271	NA	NA
GF5_A1_D48	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D80	NA	-0.00823658511088653	-8.50017558053599	NA	NA	NA	NA	NA	-8.41434223980449	NA	NA	NA
GF5_A1_D81	NA	-0.0828058171320704	-5.75511488882045	NA	NA	NA	-4.88292844266726	NA	-8.21162365641394	NA	NA	NA
GF5_A2_D48	NA	-4.14936377423231	-5.38705082311995	-2.49987020571645	-5.08606871749569	NA	-6.01923119945481	-8.91719932708904	-0.522776532275573	NA	NA	NA
GF5_A6_D81	NA	-0.224096865906455	-2.94732925687296	NA	NA	NA	NA	NA	-6.13580283889415	NA	NA	NA
GF5_A7_D80	NA	-2.16444193985409	-1.84749153244669	-1.75104844548371	-5.01768342136586	NA	NA	NA	-2.54707653047328	NA	NA	NA
GF5_A7_D81	NA	-6.46812082849053	-3.13363732321111	-0.486434064419588	NA	NA	-4.62295934361104	NA	-3.05418257446607	NA	NA	NA
GF5_B1_D80	NA	-0.983086551486614	-5.97699069216761	-7.2973248720162	-11.0507607652309	NA	-1.08498045915626	NA	NA	NA	NA	NA
GF5_B3_D81	-4.9621684122383	-4.667155148196	-4.80290947646941	-0.383347814979726	-3.05303010058086	NA	NA	NA	NA	-7.48272940411241	NA	NA
GF5_B7_D80	NA	-3.16601698899288	-3.18348057056807	-0.583286702069841	-4.11540989322225	NA	NA	NA	-12.6177785438805	-4.23189039023082	NA	NA
GF5_C1_D47	-1.77394220774441	-1.42105032548304	-5.67078117389633	-2.85334254841645	-4.87878812894083	-4.94859712534458	NA	-4.27094293987817	NA	-4.1426513175247	NA	NA
GF5_C1_D48	-4.12904210698856	-1.52945917840141	-5.49943777031926	-2.22278710050138	-2.41549692652456	-4.47646614540703	NA	-10.1352044311845	-3.30415153237841	-5.28673776256821	NA	NA
GF5_C4_D47	-1.55299048292156	NA	-4.02880485011098	NA	NA	NA	-0.741945224386972	NA	NA	NA	NA	NA
GF5_C5_D47	-3.89177344659471	NA	-6.18370078212515	NA	NA	NA	-0.159894699610374	NA	-5.393876953111	NA	NA	NA
GF6_A1_COLON_D88	-0.511055434193926	-4.75074254007895	-6.013590521097	-2.76174434559136	-3.89094492975955	NA	-5.02019062647744	NA	NA	NA	NA	NA
GF6_A1_D53	-0.51333648897916	-4.33999363032512	-5.52101121913964	-2.70578592420688	-5.40299847132211	NA	-4.72620675757801	NA	-6.32262075475866	-9.88362672557666	NA	NA
GF6_A3_COLON_D88	-0.39365693771001	-2.49022335685934	NA	-6.48681233535963	-4.48353602972462	-7.6518998123841	NA	NA	NA	NA	NA	NA
GF6_A3_D52	-0.448342294822246	NA	-2.7438616375581	-4.08260323721929	-4.67302447340068	NA	-6.43752539763416	NA	-6.95287583889153	NA	NA	NA
GF6_A3_D53	-0.7217274310024	-5.48777661073008	-4.85163786800195	-2.08959567455898	-4.66122564228944	NA	-5.96258670661345	-5.37751324861244	-5.4964972412987	NA	NA	NA
GF6_A4_D53	-1.73541922879864	-1.13932431483841	-3.66993073560888	-3.117153689206	-5.30811555593057	NA	NA	-9.25896629305281	-5.32102222250104	NA	NA	NA
GF6_A6_D53	-1.23286443644663	-5.52014350346591	-3.0435565533713	-4.25560863635638	-3.87217326121866	NA	-1.76396211388028	NA	-6.77499547197362	-7.10921668370241	NA	NA
GF6_A6_D88	-0.153311890732106	NA	-3.31020204399209	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D52	-2.19693038713114	-0.503467498744071	-3.70859447252648	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D53	-2.08840872966084	-3.89247173974525	-4.28860588729077	-1.34613284996659	-2.8000049672435	NA	NA	NA	-4.7717327013367	-3.77958881067391	NA	NA
GF6_A8_D89	-3.5163336541729	-2.82282477379922	-4.66758802565665	-1.15007388181667	-3.88276470973858	NA	-2.62975103463866	NA	-7.60913351036591	-4.41614605902579	NA	NA
GF6_B1_D64	-3.74010624704484	NA	-5.67435002647244	-7.31481284043083	-9.54635311796112	NA	-0.187139082023986	-11.0911051911851	-5.70584131376836	NA	NA	NA
GF6_B1_D89	-4.25864896643379	-7.81006757307656	-2.83484429525405	-2.44241144693801	-4.99150292886289	NA	-7.51683063278211	NA	-0.780238215314957	NA	NA	NA
GF6_B10_D64	NA	NA	-4.47327411024799	-5.51591921674368	-7.96787771057221	NA	-0.120862328318249	-10.3363110878751	-6.84155542108263	NA	NA	NA
GF6_B2_D89	NA	NA	-1.69842218599693	NA	NA	NA	NA	NA	-0.531412304088041	NA	NA	NA
GF6_B3_D89	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
GF6_B4_D64	-8.62470940166759	NA	-4.6833444796557	-5.7148302883286	-8.09907408498806	NA	-0.129124622233362	NA	-5.54129211377288	NA	NA	NA
GF6_B4_D89	NA	NA	-0.757976822328044	NA	NA	NA	NA	NA	-1.29097410325177	NA	NA	NA
GF6_B6_D64	-8.68994300579097	NA	-4.04846725347516	-6.10066733434493	-7.57894589773186	NA	-0.148246865957861	-9.56459087786832	-6.22208636203585	NA	NA	NA
Gn3_B14_Cwash	-4.75771579090773	-0.054339114336833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
