Sample,Patient_ID,Microbiota,DNA_concentration,Experiment,Plate,Well_nextera,Adapter_plate,AdapterN,AdapterS,Tissue,Mouse,Sex,Survived,DEAD_DOL,Collection,Date of Extraction,Antibiotic,DOL,Antibiotic_day,Abx_relative,Abx_relativeinfxn,Infection,DPI,Adult,Notes,Total_Preprocessed_Reads,Total_Postprocessed_Reads,retainedreads,Resequence_DNA_concentration,Reseq_total_preprocessed_reads,Reseq_total_postprocessed_reads,Reseq_retainedreads,original_preprocessed_reads,original_postprocessed_reads,Resequence_Nextera,Resequence_nextera_plate,AdapterN2,AdapterS3
GF14_c3_d130_colon,37.02 (11/5/2009),A,30.634,GF14,tubes,D10,6,AM-F0551,AM-R0551,colon,C3,F,yes,NA,130,,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,2311996,548457,23.72222962,,,,,,,,,,
GF21_d35_B5_cwash,357.01 (11/25/12),C,0.212,GF21,,A12,UDI plate 01,AM-F0037,AM-R0037,colon,B5,F,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3448506,310882,9.01497634,,,,,,,,,,
GF21_d35_B6_cwash,357.01 (11/25/12),C,0.164,GF21,,B01,UDI plate 01,AM-F0038,AM-R0038,colon,B6,F,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3197344,205307,6.421173324,,,,,,,,,,
GF21_d35_B7_cwash,357.01 (11/25/12),C,0.146,GF21,,B02,UDI plate 01,AM-F0039,AM-R0039,colon,B7,M,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,2901321,213989,7.375571335,,,,,,,,,,
GF21_d35_B8_cwash,357.01 (11/25/12),C,0.186,GF21,,B03,UDI plate 01,AM-F0040,AM-R0040,colon,B8,M,yes,NA,2/23/21,6/12/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3637288,226909,6.238411696,,,,,,,,,,
GF24_A5_d108_cwash,,A,0.24,GF24,,C08,UDI Plate 05,AM-F0441,AM-R0441,colon,A5,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5862609,913791,15.5867635,,,,,,,,,,
GF24_A6_d108_cwash,,A,0.35,GF24,,C09,UDI Plate 05,AM-F0442,AM-R0442,colon,A6,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6983958,589337,8.43843849,,,,,,,,,,
GF24_A7_d108_cwash,,A,0.26,GF24,,C10,UDI Plate 05,AM-F0443,AM-R0443,colon,A7,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5970011,915412,15.33350609,,,,,,,,,,
GF24_A8_d108_cwash,,A,0.13,GF24,,C11,UDI Plate 05,AM-F0444,AM-R0444,colon,A8,F,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5728335,526616,9.193177424,,,,,,,,,,
GF24_A8_d131_cwash,,A,0.09,GF24,,F02,UDI Plate 05,AM-F0471,AM-R0471,colon,A8,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6127696,632789,10.32670354,,,,,,,,,,
GF24_A9_d108_cwash,,A,0.42,GF24,,C12,UDI Plate 05,AM-F0445,AM-R0445,colon,A9,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6709640,3138444,46.7751474,,,,,,,,,,
GF24_A9_d131_cwash,,A,0.42,GF24,,F03,UDI Plate 05,AM-F0472,AM-R0472,colon,A9,M,yes,NA,,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,13241494,2108816,15.92581623,,,,,,,,,,
GF24_B3_33_cwash,,A,0.05,GF24,,A03,UDI Plate 06,AM-F0508,AM-R0508,colon,B3,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5498097,598219,10.88047373,,,,,,,,,,
GF24_B4_33_cwash,,A,0.044563,GF24,,A04,UDI Plate 06,AM-F0509,AM-R0509,colon,B4,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,3931053,351641,8.945211372,,,,,,,,,,
GF24_B5_33_cwash,,A,0.003256,GF24,,A05,UDI Plate 06,AM-F0510,AM-R0510,colon,B5,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5002522,296557,5.928149841,,,,,,,,,,
GF24_B6_33_cwash,,A,0.067094,GF24,,A06,UDI Plate 06,AM-F0511,AM-R0511,colon,B6,F,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,4618435,333394,7.218765664,,,,,,,,,,
GF24_B7_33_cwash,,A,0.258607,GF24,,A07,UDI Plate 06,AM-F0512,AM-R0512,colon,B7,M,yes,,,N/A,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5934777,229213,3.86220072,,,,,,,,,,
GF27_A1_d33_cwash,,AC,0.36,GF27,,H10,UDI Plate 05,AM-F0503,AM-R0503,colon,A1,F,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,6846587,439414,6.418000677,,,,,,,,,,
GF27_A2_d33_cwash,,AC,0.14,GF27,,H11,UDI Plate 05,AM-F0504,AM-R0504,colon,A2,F,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5894938,551152,9.349580946,,,,,,,,,,
GF27_A3_d33_cwash,,AC,0.13,GF27,,H12,UDI Plate 05,AM-F0505,AM-R0505,colon,A3,M,yes,NA,9/27/21,4/7/23,ampicillin/probenecid,10,0,after1xamppro,after1xamppro,NA,NA,no,,5127414,523569,10.21117078,,,,,,,,,,
GF18_a2_d54_colon,37.02+DJS41,A+DJS41,3.88,GF18,tubes,B03,8,AM-F0712,AM-R0712,colon,A_2_2,M,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2111870,130177,6.164063129,,,,,,,,,,
GF18_a3_d54_colon,37.02+DJS41,A+DJS41,11.8,GF18,tubes,G07,7,AM-F0680,AM-R0680,colon,A_2_3,M,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,1107285,113472,10.24776819,,,,,,,,,,
GF18_a4_d54_colon,37.02+DJS41,A+DJS41,17.3,GF18,tubes,A10,8,AM-F0707,AM-R0707,colon,A_2_4,F,yes,NA,54,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2594411,175668,6.77101662,,,,,,,,,,
GF20_d40_c4,40.01 (11/14/09),B,0.481,GF20,,C03,3,AM-F0244,AM-R0244,colon,c4,F,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,4148,3,0.072324012,,,,,,,,,,
GF20_d40_c5,40.01 (11/14/09),B,0.528,GF20,,C02,3,AM-F0243,AM-R0243,colon,c5,F,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,5554436,59917,1.078723384,,,,,,,,,,
GF20_d40_c6,40.01 (11/14/09),B,0.226,GF20,,C01,3,AM-F0242,AM-R0242,colon,c6,M,yes,NA,40,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,71074,17029,23.95953513,,,,,,,,,,
GF20_d66_c6,40.01 (11/14/09),B,0.117,GF20,,H05,2,,,colon,c6,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,1802971,680378,37.7364916,,,,,,,,,,
GF20_d66_c7,40.01 (11/14/09),B,0.416,GF20,,H04,2,,,colon,c7,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3214139,221180,6.881469656,,,,,,,,,,
GF20_d66_c8,40.01 (11/14/09),B,0.562,GF20,,H03,2,,,colon,c8,F,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3065658,233296,7.609981283,,,,,,,,,,
GF20_d66_c9,40.01 (11/14/09),B,1.196,GF20,,H02,2,,,colon,c9,M,yes,NA,66,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,2092281,172506,8.244877242,,,,,,,,,,
GF20_d68_b5,40.01 (11/14/09),B,0.351,GF20,,A06,3,AM-F0223,AM-R0223,colon,b5,F,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,32009,42468,132.6751851,,,,,,,,,,
GF20_d68_b6,40.01 (11/14/09),B,0.575,GF20,,A07,3,AM-F0224,AM-R0224,colon,b6,M,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,22824,81089,355.2795303,,,,,,,,,,
GF20_d68_b7,40.01 (11/14/09),B,1.006,GF20,,A08,3,AM-F0225,AM-R0225,colon,b7,F,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,626831,52918,8.442147884,,,,,,,,,,
GF20_d68_b8,40.01 (11/14/09),B,0.523,GF20,,A09,3,AM-F0226,AM-R0226,colon,b8,M,yes,NA,68,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,145603,35103,24.10870655,,,,,,,,,,
GF20_d81_a5,40.01 (11/14/09),B,0.928,GF20,,B04,3,AM-F0233,AM-R0233,colon,a5,M,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3655190,223150,6.105017797,,,,,,,,,,
GF20_d81_a6,40.01 (11/14/09),B,0.856,GF20,,B05,3,AM-F0234,AM-R0234,colon,a6,F,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,204882,85721,41.83920501,,,,,,,,,,
GF20_d81_a7,40.01 (11/14/09),B,1.178,GF20,,B06,3,AM-F0235,AM-R0235,colon,a7,M,yes,NA,81,,meropenem/probenecid,10,0,after1xmeropro,after1xmeropro,NA,NA,no,,3659004,582946,15.93182188,,,,,,,,,,
