Sample	richness	shannon	simpson	invsimpson
B0	0	0	1	Inf
B1	9	0.965325150369237	0.49339736566142	1.9739336754646
B1-colon	9	1.15541949839223	0.54279759047822	2.1872150696799
B1-d31	5	0.336148089304178	0.133808780685343	1.15447949332852
b1-d33	8	0.939064742122474	0.42657032746385	1.74389301407656
B1-d39	11	1.48570201815943	0.68324828236879	3.1570468109167
B1-d40	11	1.59530071005584	0.71904271926616	3.55925996076013
B1-d48	13	1.41076344074922	0.623601305452055	2.65675735459444
B19	13	1.52265550143012	0.6656962642836	2.9912917301299
B2-d29	2	0.016461174912245	0.00465232728288001	1.00467407259835
b2-d33	9	1.02571905139401	0.499534864335562	1.99814118654311
B2-d39	9	1.30964875394702	0.620233518236277	2.63319710406187
B3	9	1.05967875004585	0.461056914275052	1.85548349443035
B3-d34	9	1.41512814775589	0.69657134428062	3.29566763438728
B3-d39	11	1.3864636339561	0.66841766050186	3.01584216310655
B3-d40	11	1.55426156917646	0.699092493284574	3.32328033592635
B3-d48	13	1.36539058643561	0.609832252786155	2.56300016375242
B4-d29	4	0.164445726972634	0.0582237286669001	1.06182331243543
B4-d34	10	0.982244994725584	0.499949887473572	1.9997995699824
B4-d40	11	1.57431952874395	0.73757899350764	3.810670545649
B4-d48	11	1.30947551539256	0.5780169625303	2.36976350043881
B5-d29	2	0.0064908495318555	0.00159492607277989	1.00159747392559
b5-d33	6	0.669455795052704	0.31341973176558	1.45649393998979
B5-d39	13	1.53118313705048	0.712401883712256	3.47707423437883
B5-d40	8	1.33979556794399	0.62664429164602	2.67841090312699
B5-d48	13	1.38353406880084	0.59152818831238	2.44814934932341
B6-d29	3	0.0610153371807902	0.02054524918714	1.0209762106622
b6-d33	7	0.647092585251725	0.286442571571503	1.401428897184
B6-d34	8	1.24959786656002	0.614272134831341	2.5925013210097
B6-d39	9	1.28388702898543	0.624695826842028	2.66450541059953
B6-d40	9	1.45665983794779	0.668115762068928	3.01309880286538
B6-d48	14	1.43786105563089	0.62173577953897	2.64365474160151
B7-d29	2	0.026209628561403	0.00801541645757986	1.00808018248525
b7-d33	5	0.737955026385137	0.370947648818267	1.58969281033829
B7-d40	9	1.65122500729055	0.76170816193962	4.19653483786806
B7-d48	13	1.51166513402531	0.65054567421318	2.8616042962079
C0	0	0	1	Inf
C1	8	0.837412795489224	0.40131779367908	1.67033526208386
C1-d33	3	0.150095677973244	0.0640146577800601	1.0683927994302
C1-d44	8	1.29418237347043	0.616929883400817	2.61048814999665
C1-d45	5	0.949800084194268	0.496848307124314	1.98747219607799
C1-d53	9	1.34420769553537	0.618604253761063	2.62194848752592
C19	13	1.23692898944654	0.530163294417514	2.12839905464652
C2-colon	9	1.14718286499896	0.53838457088518	2.16630540690022
C2-d33	1	0	0	1
C2-d37	5	1.01148839194493	0.49360612085856	1.97474740748336
C2-d44	8	1.15309820374208	0.532561886400537	2.13932063070252
C2-d45	8	1.37697141938313	0.67453057459646	3.0724852227214
C2-d49	9	1.29195823674475	0.597733377904678	2.48591343420742
C2-d53	9	1.31983673672154	0.616115963934981	2.60495333499783
C3	9	1.49435974164995	0.672002303382093	3.04880189803566
C3-colon	7	1.10309984834418	0.55077452082952	2.22605361086498
C3-d33	4	0.141140162828004	0.05753204272954	1.06104403050069
C3-d44	8	1.19784458533602	0.577255795601374	2.36549665162778
C3-d45	8	1.30020855037353	0.609104263421381	2.55822692964797
C3-d53	9	1.36431583953103	0.641525896786816	2.78960179002192
C4-d33	5	0.94035983043488	0.55341897027406	2.23923528640185
C4-d44	9	1.14814648901962	0.53915097430264	2.16990802679206
C4-d45	4	0.926670781575056	0.532275632626	2.1380113369214
C4-d53	9	1.25853887915532	0.57266312492976	2.34007420921874
C5-d34	7	1.04266174527552	0.472559165989269	1.89594725231239
C5-d44	8	1.1993669256453	0.57288062312392	2.34126582435554
C5-d45	8	1.07281344768073	0.508950877319439	2.03645613811742
C5-d53	8	1.30396361744291	0.6045404643683	2.5287037228793
C6-d33	4	0.414513589001845	0.2352589651713	1.30763219764191
C6-d37	6	1.16720298409045	0.62330228040571	2.65464840370421
C6-d44	8	1.56246489217554	0.7388485079536	3.82919504753327
C6-d49	9	1.04076241194981	0.47514265130826	1.90527960119564
C6-d53	10	1.17593105129989	0.529952943194126	2.12744657268005
C7-d33	5	0.920053179566523	0.53725677860842	2.16102571312176
C7-d38	5	1.11297642533325	0.56076501908098	2.27668570000431
C7-d44	8	1.37782895440244	0.648676688153011	2.84638100085863
C7-d45	8	1.22511778377481	0.577967165605401	2.36948388490788
C7-d53	10	1.47261025939133	0.67956571287388	3.12076466276035
C8-d35	5	0.308646624922418	0.13483484332928	1.15584867500691
C8-d38	5	1.43017605323626	0.74275771275278	3.8873857432272
C8-d44	8	1.44946205634572	0.689413681248789	3.21971683756306
C8-d45	8	1.22703713428976	0.602840059209306	2.51787730154539
C8-d53	8	1.2594272750944	0.584514147003264	2.40682081661119
CONV_MERO1_COLON	3	1.00000919538251	0.6029225294155	2.51840024700468
CONV_MERO1_D0	7	1.190085305327	0.623047653944884	2.65285522285564
CONV_MERO1_D1	7	0.411331252552413	0.20306803426924	1.25481225876419
CONV_MERO1_D3	3	0.14708527439383	0.0628327156770599	1.0670453575665
CONV_MERO2_COLON	3	1.00728934865451	0.6138152979305	2.58943452353541
CONV_MERO2_D0	8	1.44209733993756	0.69090386409084	3.23523940879639
CONV_MERO2_D3	2	0.0206415792765485	0.00605694475742014	1.00609385489991
CONV_MERO3_COLON	5	0.266150777081486	0.1131156264385	1.12754269869956
CONV_MERO3_D1	6	1.23241744913003	0.65884699105258	2.93123605471152
