Sample	richness	shannon	simpson	invsimpson
B0	0	0	1	Inf
B1	2	0.531795328847572	0.34753349369262	1.53264572255131
B1-colon	3	0.126525645583564	0.0483809071285598	1.05084062256735
B1-d31	2	0.244011806129762	0.12384175395038	1.14134633156596
b1-d33	2	0.519046094384725	0.33626531209982	1.50662609357309
B1-d39	2	0.366185945769863	0.21063641331128	1.26684333666172
B1-d40	2	0.434459969159263	0.26453746844798	1.35968857297154
B1-d48	3	0.276569904039375	0.139647237135151	1.16231392884722
B19	3	0.372451662040893	0.17827322758978	1.2169495184718
B2-d29	2	0.016461174912245	0.00465232728288001	1.00467407259835
b2-d33	2	0.623128884388713	0.43163181953528	1.75942291347549
B2-d39	2	0.348112604196595	0.19699285232568	1.24531892760384
B3	2	0.287986583430686	0.15357809385912	1.18144390255604
B3-d34	2	0.684952985895959	0.491828211518	1.96783848034378
B3-d39	2	0.357284386306367	0.20388316234208	1.25609703588468
B3-d40	2	0.486622775254694	0.30814196375838	1.44538322548409
B3-d48	3	0.274082669684793	0.12575329975266	1.14384189235954
B4-d29	2	0.133762629282957	0.05767080962808	1.06120027928384
B4-d34	2	0.634067820248202	0.44209359907808	1.79241535560004
B4-d40	2	0.461350583727658	0.286760236542	1.40205306999669
B4-d48	2	0.291320731821266	0.15590382109152	1.18469911958744
B5-d29	2	0.0064908495318555	0.00159492607277989	1.00159747392559
b5-d33	2	0.465422204254961	0.29017278625262	1.4087935495185
B5-d39	3	0.423950633555594	0.25569547259602	1.34353609736575
B5-d40	2	0.360963385794269	0.206666426318	1.2605038197978
B5-d48	3	0.317962198320048	0.16539003861362	1.19816446755427
B6-d29	2	0.0530306615621773	0.0185410519287801	1.01889131681485
b6-d33	2	0.424693699315747	0.25660330832318	1.34517682308268
B6-d34	2	0.676458815326268	0.4834046772555	1.93575116918855
B6-d39	2	0.308320602327033	0.167913579488	1.20179824516867
B6-d40	2	0.413853726197224	0.247883255582	1.32958082295298
B6-d48	3	0.310026156453976	0.151975093772897	1.17921064895257
B7-d29	2	0.026209628561403	0.00801541645757986	1.00808018248525
b7-d33	2	0.529275129208417	0.34529675122688	1.52740955826009
B7-d40	2	0.497679965179136	0.31764611438592	1.46551521297495
B7-d48	3	0.342110327811746	0.16220545109498	1.19361005786798
C0	0	0	1	Inf
C1	2	0.382891936852359	0.22348400980728	1.28780348715268
C1-d33	2	0.145240743233879	0.0639437850979201	1.06831190699867
C1-d44	2	0.420239946561235	0.25300951344558	1.33870513480381
C1-d45	2	0.159893562822466	0.0721747349047799	1.07778914588769
C1-d53	2	0.282055191861116	0.14946502483968	1.17573060391962
C19	3	0.251760206014429	0.113201467496865	1.12765184351099
C2-colon	3	0.186668765824223	0.0860637073814399	1.09416816913448
C2-d33	1	0	0	1
C2-d37	2	0.618456580254548	0.42718835406078	1.74577456147969
C2-d44	2	0.350002232974786	0.19840676742968	1.24751552204787
C2-d45	2	0.307417084274273	0.16726895326302	1.20086791998264
C2-d49	2	0.336716645949563	0.18852864350208	1.23232938783658
C2-d53	2	0.25864917485064	0.13354314181278	1.15412555230064
C3	2	0.494581357072157	0.31497363212792	1.45979782224491
C3-colon	2	0.110655885160027	0.0455334784759802	1.04770568422167
C3-d33	2	0.133317556826688	0.0574307454380001	1.06093000080369
C3-d44	2	0.325790342961961	0.18051531237432	1.22027905475248
C3-d45	2	0.382477411728399	0.22316250603822	1.28727051381122
C3-d53	2	0.249072067690021	0.12717299482062	1.14570240616522
C4-d33	2	0.687863895974445	0.49472602635488	1.97912430119021
C4-d44	2	0.316909473483309	0.17407651860192	1.21076591539358
C4-d45	2	0.113394387753465	0.04693634129408	1.04924785544526
C4-d53	2	0.255012381252822	0.13111413037752	1.15089913987724
C5-d34	2	0.463172900845959	0.28828603553022	1.40505884375191
C5-d44	2	0.274211819599849	0.14407435555808	1.16832578448099
C5-d45	2	0.218798777164413	0.1076074269195	1.12058305970437
C5-d53	2	0.243325503042644	0.12339180564792	1.14076049761219
C6-d33	2	0.394952696960818	0.23289829598958	1.30360810668518
C6-d37	2	0.672380207113917	0.47937718533198	1.92077636981326
C6-d44	2	0.519145658738237	0.33635285455352	1.50682483434361
C6-d49	2	0.163103325524045	0.07401020942462	1.0799255134105
C6-d53	2	0.224971852155464	0.11152541680608	1.12552460015813
C7-d33	2	0.672077697554169	0.47907891236352	1.91967655703322
C7-d38	2	0.660113779427954	0.46733196843768	1.87734187288655
C7-d44	2	0.430724019757433	0.2614936915395	1.35408457388077
C7-d45	2	0.325676916463586	0.1804326536595	1.2201559816471
C7-d53	3	0.344901869582553	0.191277753293847	1.23651847599457
C8-d35	2	0.25232577618804	0.12932761810478	1.14853763688159
C8-d38	2	0.487933354447739	0.30926375044142	1.44773059273935
C8-d44	2	0.373374501699054	0.21613710940718	1.27573330999726
C8-d45	2	0.222674221598557	0.1100627794875	1.12367476823154
C8-d53	2	0.223029558484749	0.11028864502968	1.12396002862452
CONV_MERO1_COLON	2	0.626991884819622	0.4353169471875	1.77090492625789
CONV_MERO1_D0	3	0.872059219417473	0.55063709596914	2.22537283569657
CONV_MERO1_D1	3	0.338910692033387	0.18156449630234	1.2218433773731
CONV_MERO1_D3	1	0	0	1
CONV_MERO2_COLON	2	0.415201091387581	0.2489621518355	1.33149081959578
CONV_MERO2_D0	4	0.968394683532381	0.58861537279234	2.43081518817964
CONV_MERO2_D3	1	0	0	1
CONV_MERO3_COLON	2	0.225392944436043	0.11179403546112	1.12586499069409
CONV_MERO3_D1	2	0.577354926735633	0.38875125311352	1.63599517396756
CONV_MERO3_D3	2	0.316191104222099	0.17355862713272	1.21000718602769
CONV_MERO4_COLON	2	0.552970166381432	0.36650673139262	1.57854873848671
CONV_MERO4_D0	4	0.712771720587283	0.37143608071654	1.59092809708194
CONV_MERO4_D1	1	0	0	1
CONV_MERO4_D3	1	0	0	1
CONV_PBS1_COLON	4	0.975829106128271	0.563566625718269	2.2913004800464
CONV_PBS1_D0	3	0.617288056407668	0.38363019073918	1.62240263065326
CONV_PBS1_D3	4	0.888286318192124	0.46597322702871	1.87256529187866
CONV_PBS2_COLON	4	0.924731922279365	0.535113762744867	2.15106389447961
CONV_PBS2_D1	4	1.14861887260924	0.63497496494604	2.73953812469924
CONV_PBS2_D3	4	0.805993180132582	0.41936738650326	1.72225944040192
CONV_PBS3_COLON	4	0.905254838626201	0.55632356611292	2.25389478372545
CONV_PBS3_D1	4	0.95105387130903	0.49267886283758	1.97113805585405
CONV_PBS4_COLON	4	1.0499444727491	0.59524504436766	2.47063065216267
