TaxonomicLevel	Sample	taxa	abundance
phyla	B1	p__Firmicutes	77.61037
phyla	B1	p__Proteobacteria	22.38963
phyla	B1-colon	p__Firmicutes	97.52782
phyla	B1-colon	p__Proteobacteria	2.09032
phyla	B1-colon	p__Actinobacteria	0.38186
phyla	B1-d31	p__Proteobacteria	93.36809
phyla	B1-d31	p__Firmicutes	6.63191
phyla	b1-d33	p__Proteobacteria	78.61247
phyla	b1-d33	p__Firmicutes	21.38753
phyla	B1-d39	p__Firmicutes	88.03706
phyla	B1-d39	p__Proteobacteria	11.96294
phyla	B1-d40	p__Firmicutes	84.31199
phyla	B1-d40	p__Proteobacteria	15.68801
phyla	B1-d48	p__Firmicutes	92.46463
phyla	B1-d48	p__Proteobacteria	7.33354
phyla	B1-d48	p__Actinobacteria	0.20184
phyla	B19	p__Firmicutes	90.3271
phyla	B19	p__Proteobacteria	7.23439
phyla	B19	p__Actinobacteria	2.43851
phyla	B2-d29	p__Proteobacteria	99.76684
phyla	B2-d29	p__Firmicutes	0.23316
phyla	b2-d33	p__Proteobacteria	68.48894
phyla	b2-d33	p__Firmicutes	31.51106
phyla	B2-d39	p__Firmicutes	88.92346
phyla	B2-d39	p__Proteobacteria	11.07654
phyla	B3	p__Firmicutes	91.61862
phyla	B3	p__Proteobacteria	8.38138
phyla	B3-d34	p__Firmicutes	56.3921
phyla	B3-d34	p__Proteobacteria	43.6079
phyla	B3-d39	p__Firmicutes	88.47836
phyla	B3-d39	p__Proteobacteria	11.52164
phyla	B3-d40	p__Firmicutes	80.97241
phyla	B3-d40	p__Proteobacteria	19.02759
phyla	B3-d48	p__Firmicutes	93.32566
phyla	B3-d48	p__Proteobacteria	5.63007
phyla	B3-d48	p__Actinobacteria	1.04427
phyla	B4-d29	p__Proteobacteria	97.02814
phyla	B4-d29	p__Firmicutes	2.97186
phyla	B4-d34	p__Proteobacteria	67.01564
phyla	B4-d34	p__Firmicutes	32.98436
phyla	B4-d40	p__Firmicutes	82.6527
phyla	B4-d40	p__Proteobacteria	17.3473
phyla	B4-d48	p__Firmicutes	91.47868
phyla	B4-d48	p__Proteobacteria	8.52132
phyla	B5-d29	p__Proteobacteria	99.92019
phyla	B5-d29	p__Firmicutes	0.07981
phyla	b5-d33	p__Proteobacteria	82.39037
phyla	b5-d33	p__Firmicutes	17.60963
phyla	B5-d39	p__Firmicutes	84.95122
phyla	B5-d39	p__Proteobacteria	15.04445
phyla	B5-d39	p__Actinobacteria	0.00433
phyla	B5-d40	p__Firmicutes	88.2971
phyla	B5-d40	p__Proteobacteria	11.7029
phyla	B5-d48	p__Firmicutes	90.93755
phyla	B5-d48	p__Proteobacteria	8.73822
phyla	B5-d48	p__Actinobacteria	0.32423
phyla	B6-d29	p__Proteobacteria	99.06419
phyla	B6-d29	p__Firmicutes	0.93581
phyla	b6-d33	p__Proteobacteria	84.88529
phyla	b6-d33	p__Firmicutes	15.11471
phyla	B6-d34	p__Proteobacteria	59.10915
phyla	B6-d34	p__Firmicutes	40.89085
phyla	B6-d39	p__Firmicutes	90.7484
phyla	B6-d39	p__Proteobacteria	9.2516
phyla	B6-d40	p__Firmicutes	85.5047
phyla	B6-d40	p__Proteobacteria	14.4953
phyla	B6-d48	p__Firmicutes	91.78516
phyla	B6-d48	p__Proteobacteria	7.42329
phyla	B6-d48	p__Actinobacteria	0.79154
phyla	B7-d29	p__Proteobacteria	99.59761
phyla	B7-d29	p__Firmicutes	0.40239
phyla	b7-d33	p__Proteobacteria	77.81216
phyla	b7-d33	p__Firmicutes	22.18784
phyla	B7-d40	p__Firmicutes	80.19552
phyla	B7-d40	p__Proteobacteria	19.80448
phyla	B7-d48	p__Firmicutes	91.25369
phyla	B7-d48	p__Proteobacteria	6.86921
phyla	B7-d48	p__Actinobacteria	1.8771
phyla	C1	p__Firmicutes	87.18306
phyla	C1	p__Proteobacteria	12.81694
phyla	C1-d33	p__Proteobacteria	96.69348
phyla	C1-d33	p__Firmicutes	3.30652
phyla	C1-d44	p__Firmicutes	85.14189
phyla	C1-d44	p__Proteobacteria	14.85811
phyla	C1-d45	p__Firmicutes	96.25069
phyla	C1-d45	p__Proteobacteria	3.74931
phyla	C1-d53	p__Firmicutes	91.86496
phyla	C1-d53	p__Proteobacteria	8.13504
phyla	C19	p__Firmicutes	94.02987
phyla	C19	p__Proteobacteria	5.0526
phyla	C19	p__Actinobacteria	0.91754
phyla	C2-colon	p__Firmicutes	95.49652
phyla	C2-colon	p__Proteobacteria	4.44684
phyla	C2-colon	p__Actinobacteria	0.05664
phyla	C2-d33	p__Proteobacteria	100
phyla	C2-d37	p__Proteobacteria	69.08031
phyla	C2-d37	p__Firmicutes	30.91969
phyla	C2-d44	p__Firmicutes	88.83254
phyla	C2-d44	p__Proteobacteria	11.16746
phyla	C2-d45	p__Firmicutes	90.78793
phyla	C2-d45	p__Proteobacteria	9.21207
phyla	C2-d49	p__Firmicutes	89.46336
phyla	C2-d49	p__Proteobacteria	10.53664
phyla	C2-d53	p__Firmicutes	92.80519
phyla	C2-d53	p__Proteobacteria	7.19481
phyla	C3	p__Firmicutes	80.41598
phyla	C3	p__Proteobacteria	19.58402
phyla	C3-colon	p__Firmicutes	97.66899
phyla	C3-colon	p__Proteobacteria	2.33101
phyla	C3-d33	p__Proteobacteria	97.0409
phyla	C3-d33	p__Firmicutes	2.9591
phyla	C3-d44	p__Firmicutes	89.96778
phyla	C3-d44	p__Proteobacteria	10.03222
phyla	C3-d45	p__Firmicutes	87.20467
phyla	C3-d45	p__Proteobacteria	12.79533
phyla	C3-d53	p__Firmicutes	93.17563
phyla	C3-d53	p__Proteobacteria	6.82437
phyla	C4-d33	p__Proteobacteria	55.13516
phyla	C4-d33	p__Firmicutes	44.86484
phyla	C4-d44	p__Firmicutes	90.36852
phyla	C4-d44	p__Proteobacteria	9.63148
phyla	C4-d45	p__Firmicutes	97.59536
phyla	C4-d45	p__Proteobacteria	2.40464
phyla	C4-d53	p__Firmicutes	92.94682
phyla	C4-d53	p__Proteobacteria	7.05318
phyla	C5-d34	p__Firmicutes	82.53567
phyla	C5-d34	p__Proteobacteria	17.46433
phyla	C5-d44	p__Firmicutes	92.18564
phyla	C5-d44	p__Proteobacteria	7.81436
phyla	C5-d45	p__Firmicutes	94.29405
phyla	C5-d45	p__Proteobacteria	5.70595
phyla	C5-d53	p__Firmicutes	93.39402
