Sample	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Coriobacteriia	c__Epsilonproteobacteria	c__Erysipelotrichia	c__Fusobacteriia	c__Gammaproteobacteria	c__Negativicutes	c__Proteobacteria_unclassified	c__Tissierellia	c__Verrucomicrobiae
B0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B1	0	0	2.32868	0	0	71.11662	0	0	4.02032	0	22.38963	0.14474	0	0	0
B1-colon	0.38186	0	0.09085	0	0	75.83628	0	0.59563	13.83594	0	1.49469	6.06231	0	1.70243	0
B1-d31	0	0	3.55941	0	0	3.0725	0	0	0	0	93.36809	0	0	0	0
b1-d33	0	0	6.05101	0	0	14.34736	0	0	0.6068	0	78.61247	0	0	0.38236	0
B1-d39	0	0	1.7724	0	0	56.25723	0	0	26.3323	0	11.96294	2.62734	0	1.0478	0
B1-d40	0	0	1.68631	0	0	53.28212	0	0	24.82659	0	15.68801	3.47227	0	1.04469	0
B1-d48	0.20184	0	1.54789	0	0	66.37066	0	1.46598	17.34769	0	5.86755	6.09007	0	1.10832	0
B19	2.43851	0	1.45915	0	0	61.88963	0	1.62405	21.42473	0	5.61034	3.46248	0	2.09112	0
B2-d29	0	0	0.23316	0	0	0	0	0	0	0	99.76684	0	0	0	0
b2-d33	0	0	1.54524	0	0	24.056	0	0	4.53197	0	68.48894	0	0	1.37785	0
B2-d39	0	0	3.12273	0	0	65.24583	0	0	20.18957	0	11.07654	0.36534	0	0	0
B3	0	0	1.36611	0	0	79.30079	0	0	9.47651	0	8.38138	1.47522	0	0	0
B3-d34	0	0	2.56496	0	0	38.60814	0	0	14.44297	0	43.6079	0	0	0.77603	0
B3-d39	0	0	1.96718	0	0	56.98399	0	0	28.55902	0	11.52164	0.90317	0	0.06501	0
B3-d40	0	0	3.79679	0	0	57.17518	0	0	17.05069	0	19.02759	2.90252	0	0.04723	0
B3-d48	1.04427	0	1.20745	0	0	65.16364	0	1.45711	20.31298	0	4.17296	5.85557	0	0.78602	0
B4-d29	0	0	1.09048	0	0	1.88138	0	0	0	0	97.02814	0	0	0	0
B4-d34	0	0	2.37855	0	0	26.71792	0	0	3.5878	0	67.01564	0.1092	0	0.19089	0
B4-d40	0	0	2.79956	0	0	51.15479	0	0.00252	24.39993	0	17.34479	4.27037	0	0.02804	0
