Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
B0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B1	0	0	0	0	0	0	67.37624	0	0	0	22.25249	2.32868	4.02032	0	0	0	0.13714	0	0	0	3.74039	0	0	0	0	0	0	0	0	0.14474	0
B1-colon	0.38186	0	0	0	0	0.59563	64.96095	0	0	0	1.49469	0.09085	13.83594	0	0	0	0	0	0	1.70243	10.87534	0	0	0	0	0	0	0	0	6.06231	0
B1-d31	0	0	0	0	0	0	1.78602	0	0	0	92.97443	3.55941	0	0	0	0	0.39366	0	0	0	1.28649	0	0	0	0	0	0	0	0	0	0
b1-d33	0	0	0	0	0	0	11.27706	0	0	0	74.85403	6.05101	0.6068	0	0	0	3.75844	0	0	0.38236	3.0703	0	0	0	0	0	0	0	0	0	0
B1-d39	0	0	0.12297	0	0	0	48.15972	0	0	0	11.05367	1.64942	26.3323	0	0	0	0.90927	0	0	1.0478	8.0975	0	0	0	0	0	0	0	0	2.62734	0
B1-d40	0	0	0.11868	0	0	0	44.3966	0	0	0	14.71904	1.56764	24.82659	0	0	0	0.96898	0	0	1.04469	8.88552	0	0	0	0	0	0	0	0	3.47227	0
B1-d48	0.20184	0	0.08642	0	0	1.46598	57.6682	0	0	0	5.14185	1.46147	17.34769	0	0	0	0.7257	0	0	1.10832	8.70245	0	0	0	0	0	0	0	0	6.09007	0
B19	2.43851	0	0	0	0	1.62405	52.4373	0	0	0	4.97716	1.45915	21.42473	0	0	0	0.63317	0	0	2.09112	9.45234	0	0	0	0	0	0	0	0	3.46248	0
B2-d29	0	0	0	0	0	0	0	0	0	0	99.76684	0.23316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2-d33	0	0	0	0	0	0	20.59602	0	0	0	68.40204	1.54524	4.53197	0	0	0	0.08691	0	0	1.37785	3.45998	0	0	0	0	0	0	0	0	0	0
B2-d39	0	0	0	0	0	0	56.90304	0	0	0	10.11625	3.12273	20.18957	0	0	0	0.96028	0	0	0	8.34278	0	0	0	0	0	0	0	0	0.36534	0
B3	0	0	0	0	0	0	72.22489	0	0	0	6.76468	1.36611	9.47651	0	0	0	1.6167	0	0	0	7.0759	0	0	0	0	0	0	0	0	1.47522	0
B3-d34	0	0	0	0	0	0	36.25416	0	0	0	43.47817	2.56496	14.44297	0	0	0	0.12973	0	0	0.77603	2.35398	0	0	0	0	0	0	0	0	0	0
B3-d39	0	0	0.00191	0	0	0	48.41259	0	0	0	11.01695	1.96526	28.55902	0	0	0	0.50469	0	0	0.06501	8.5714	0	0	0	0	0	0	0	0	0.90317	0
B3-d40	0	0	0.00157	0	0	0	49.18513	0	0	0	16.5877	3.79522	17.05069	0	0	0	2.43989	0	0	0.04723	7.99005	0	0	0	0	0	0	0	0	2.90252	0
B3-d48	1.04427	0	0	0	0	1.45711	58.26368	0	0	0	3.37357	1.20745	20.31298	0	0	0	0.7994	0	0	0.78602	6.89997	0	0	0	0	0	0	0	0	5.85557	0
B4-d29	0	0	0	0	0	0	1.35531	0	0	0	97.02814	1.09048	0	0	0	0	0	0	0	0	0.52607	0	0	0	0	0	0	0	0	0	0
B4-d34	0	0	0	0	0	0	23.94357	0	0	0	66.63693	2.37855	3.5878	0	0	0	0.3787	0	0	0.19089	2.77435	0	0	0	0	0	0	0	0	0.1092	0
B4-d40	0	0	0	0	0	0.00252	40.82568	0	0	0	16.76423	2.79956	24.39993	0	0	0	0.58055	0	0	0.02804	10.32911	0	0	0	0	0	0	0	0	4.27037	0
B4-d48	0	0	0	0	0	1.62731	62.46867	0	0	0	5.99126	1.50378	13.95921	0	0	0	0.90275	0	0	0.07253	7.78282	0	0	0	0	0	0	0	0	5.69167	0
