Sample	p__Actinobacteria	p__Bacteroidetes	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
B0	0	0	0	0	0	0
B1	0	0	77.61037	0	22.38963	0
B1-colon	0.38186	0	97.52782	0	2.09032	0
B1-d31	0	0	6.63191	0	93.36809	0
b1-d33	0	0	21.38753	0	78.61247	0
B1-d39	0	0	88.03706	0	11.96294	0
B1-d40	0	0	84.31199	0	15.68801	0
B1-d48	0.20184	0	92.46463	0	7.33354	0
B19	2.43851	0	90.3271	0	7.23439	0
B2-d29	0	0	0.23316	0	99.76684	0
b2-d33	0	0	31.51106	0	68.48894	0
B2-d39	0	0	88.92346	0	11.07654	0
B3	0	0	91.61862	0	8.38138	0
B3-d34	0	0	56.3921	0	43.6079	0
B3-d39	0	0	88.47836	0	11.52164	0
B3-d40	0	0	80.97241	0	19.02759	0
B3-d48	1.04427	0	93.32566	0	5.63007	0
B4-d29	0	0	2.97186	0	97.02814	0
B4-d34	0	0	32.98436	0	67.01564	0
B4-d40	0	0	82.6527	0	17.3473	0
B4-d48	0	0	91.47868	0	8.52132	0
B5-d29	0	0	0.07981	0	99.92019	0
b5-d33	0	0	17.60963	0	82.39037	0
B5-d39	0.00433	0	84.95122	0	15.04445	0
B5-d40	0	0	88.2971	0	11.7029	0
B5-d48	0.32423	0	90.93755	0	8.73822	0
B6-d29	0	0	0.93581	0	99.06419	0
b6-d33	0	0	15.11471	0	84.88529	0
B6-d34	0	0	40.89085	0	59.10915	0
B6-d39	0	0	90.7484	0	9.2516	0
B6-d40	0	0	85.5047	0	14.4953	0
B6-d48	0.79154	0	91.78516	0	7.42329	0
B7-d29	0	0	0.40239	0	99.59761	0
b7-d33	0	0	22.18784	0	77.81216	0
B7-d40	0	0	80.19552	0	19.80448	0
B7-d48	1.8771	0	91.25369	0	6.86921	0
C0	0	0	0	0	0	0
C1	0	0	87.18306	0	12.81694	0
C1-d33	0	0	3.30652	0	96.69348	0
C1-d44	0	0	85.14189	0	14.85811	0
C1-d45	0	0	96.25069	0	3.74931	0
C1-d53	0	0	91.86496	0	8.13504	0
C19	0.91754	0	94.02987	0	5.0526	0
C2-colon	0.05664	0	95.49652	0	4.44684	0
C2-d33	0	0	0	0	100	0
C2-d37	0	0	30.91969	0	69.08031	0
C2-d44	0	0	88.83254	0	11.16746	0
C2-d45	0	0	90.78793	0	9.21207	0
C2-d49	0	0	89.46336	0	10.53664	0
C2-d53	0	0	92.80519	0	7.19481	0
C3	0	0	80.41598	0	19.58402	0
C3-colon	0	0	97.66899	0	2.33101	0
C3-d33	0	0	2.9591	0	97.0409	0
C3-d44	0	0	89.96778	0	10.03222	0
C3-d45	0	0	87.20467	0	12.79533	0
C3-d53	0	0	93.17563	0	6.82437	0
C4-d33	0	0	44.86484	0	55.13516	0
C4-d44	0	0	90.36852	0	9.63148	0
C4-d45	0	0	97.59536	0	2.40464	0
C4-d53	0	0	92.94682	0	7.05318	0
C5-d34	0	0	82.53567	0	17.46433	0
C5-d44	0	0	92.18564	0	7.81436	0
C5-d45	0	0	94.29405	0	5.70595	0
C5-d53	0	0	93.39402	0	6.60598	0
C6-d33	0	0	86.54461	0	13.45539	0
C6-d37	0	0	39.84549	0	60.15451	0
C6-d44	0	0	78.60482	0	21.39518	0
C6-d49	0	0	96.15137	0	3.84863	0
C6-d53	0	0	94.07236	0	5.92764	0
C7-d33	0	0	60.22768	0	39.77232	0
C7-d38	0	0	37.21954	0	62.78046	0
C7-d44	0	0	84.53305	0	15.46695	0
C7-d45	0	0	89.97295	0	10.02705	0
C7-d53	0.07964	0	89.29959	0	10.62078	0
C8-d35	0	0	6.94931	0	93.05069	0
C8-d38	0	0	80.88173	0	19.11827	0
C8-d44	0	0	87.67379	0	12.32621	0
C8-d45	0	0	94.15525	0	5.84475	0
C8-d53	0	0	94.14246	0	5.85754	0
CONV_MERO1_COLON	0	32.01625	67.98375	0	0	0
CONV_MERO1_D0	0	5.81218	50.57061	0	0	43.61721
CONV_MERO1_D1	0	0.26921	89.93513	0	0	9.79566
CONV_MERO1_D3	0	0	100	0	0	0
CONV_MERO2_COLON	0	14.57135	85.42865	0	0	0
CONV_MERO2_D0	0	10.64572	40.93682	0	0.20283	48.21463
CONV_MERO2_D3	0	0	100	0	0	0
CONV_MERO3_COLON	0	94.05712	5.94288	0	0	0
CONV_MERO3_D1	0	26.41518	73.58482	0	0	0
CONV_MERO3_D3	0	90.40058	9.59942	0	0	0
CONV_MERO4_COLON	0	24.16463	75.83537	0	0	0
CONV_MERO4_D0	0	77.75885	13.21011	0	1.05766	7.97338
CONV_MERO4_D1	0	0	100	0	0	0
CONV_MERO4_D3	0	0	100	0	0	0
CONV_PBS1_COLON	0	33.8989	56.15009	0	2.44024	7.51078
CONV_PBS1_D0	0	1.34581	23.87555	0	0	74.77864
CONV_PBS1_D3	0	70.6241	13.06424	0	3.21642	13.09525
CONV_PBS2_COLON	0	60.23488	31.18069	0	1.89022	6.6942
CONV_PBS2_D1	0	51.79965	21.46851	0	4.73881	21.99303
CONV_PBS2_D3	0	74.31692	10.80575	0	2.15237	12.72496
CONV_PBS3_COLON	0	47.30147	46.59387	0	0.84857	5.25609
CONV_PBS3_D1	0	13.9034	68.68289	0	6.36711	11.0466
CONV_PBS4_COLON	0	54.79447	29.27232	0	2.42976	13.50345
CONV_PBS4_D0	0	76.86505	6.75133	0	1.38596	14.99767
CONV_PBS4_D1	0	63.7768	18.28423	0	2.19293	15.74604
CONV_PBS4_D3	0	75.19666	8.28821	0	2.44822	14.06691
CONV_WATER_F12	0	0	0	0	0	0
GF1_A10	0.37889	0	88.52508	0	11.09603	0
GF1_B_mom_d32	2.61501	0	88.71253	0	8.67246	0
GF1_B10	0	0	90.12557	0	9.87443	0
GF1_B14	0	0	95.68222	0	4.31778	0
GF1_B17	1.76933	0	89.20006	0	9.0306	0
GF1_B25	3.11903	0	90.50574	0	6.37524	0
GF1_B3_d38	0.18711	0	92.96048	0	6.85241	0
GF1_B5_D38	0	0	92.83101	0	7.16899	0
GF1_B6_d38	0	0	94.14898	0	5.85102	0
GF1_B7_D38	0	0	95.11346	0	4.88654	0
GF1_C_mom_d32	2.57628	0	93.44472	0	3.97899	0
GF1_C10	0.10668	0	88.17865	0	11.71467	0
GF1_C14	1.44912	0	91.15853	0	7.39235	0
GF1_C17	1.34234	0	93.721	0	4.93666	0
GF1_C25	1.51305	0	92.27292	0	6.21404	0
GF1_C4_d39	0	0	89.86527	0	10.13473	0
GF1_C6_d39	0	0	86.49083	0	13.50917	0
GF1_C7_d39	0	0	88.62861	0	11.37139	0
GF1_INOC_GF1	0.05614	0	43.7392	0	56.20466	0
GF10_A_DAM_D0	0	0	31.91969	0	68.08031	0
GF10_A1_COLON_D35	0	0	18.57635	0	81.42365	0
GF10_A1_d101	0	0	24.98683	0	75.01317	0
GF10_A1_d104_colon	0	0	96.84957	0	3.15043	0
GF10_A1_d127_colon	0	0	81.1918	0	18.8082	0
GF10_A1_D32	0	0	75.88251	0	24.11749	0
GF10_A1_D34	0	0	9.53806	0	90.46194	0
GF10_A1_d77	0	0	5.74666	0	94.25334	0
GF10_A1_d79	0	0	0	0	100	0
GF10_A1_d80_colon	0	0	27.14094	0	72.85906	0
GF10_A2_COLON_D35	0	0	100	0	0	0
GF10_A2_d101	0	0	0	0	100	0
GF10_A2_d103	0	0	2.19992	0	97.80008	0
GF10_A2_d104_colon	0	0	5.36975	0	94.63025	0
GF10_A2_d127_colon	0	0	0	0	100	0
GF10_A2_D32	0	0	80.79973	0	19.20027	0
GF10_A2_D33	0	0	6.01648	0	93.98352	0
GF10_A2_D34	0	0	22.21508	0	77.78492	0
GF10_A2_d77	0	0	8.65798	0	91.34202	0
GF10_A2_d79	0	0	0	0	100	0
GF10_A3_COLON_D35	0	0	100	0	0	0
GF10_A3_d104_colon	0.35403	0	83.65043	0	15.99554	0
GF10_A3_d127_colon	0	0	0	0	0	0
GF10_A3_D33	0	0	3.38035	0	96.61965	0
GF10_A3_D34	0	0	16.88396	0	83.11604	0
GF10_A3_d79	0	0	6.35215	0	93.64785	0
GF10_A3_d80_colon	0	0	5.19672	0	94.80328	0
GF10_A4_d101	0	0	3.53496	0	96.46504	0
GF10_A4_d104_colon	0	0	96.28224	0	3.71776	0
GF10_A4_d127_colon	0	0	0	0	0	0
GF10_A4_d77	0	0	6.82185	0	93.17815	0
GF10_A5_d101	0	0	1.31587	0	98.68413	0
GF10_A5_d104_colon	0	0	4.40762	0	95.59238	0
GF10_A5_d127_colon	0	0	15.54328	0	84.45672	0
GF10_A56_d101	0	0	3.22535	0	96.77465	0
GF10_A6_d102	0	0	17.63997	0	82.36003	0
GF10_A6_d103	0	0	50.98812	0	49.01188	0
GF10_A6_d104_colon	0	0	57.11325	0	42.88675	0
GF10_A6_d127_colon	0	0	0	0	0	0
GF10_A7_d103	0	0	0.42759	0	99.57241	0
GF10_A7_d104_colon	0	0	0	0	100	0
GF10_A7_d127_colon	0	0	0.44265	0	99.55735	0
GF10_A8_d102	0	0	0.79132	0	99.20868	0
GF10_A8_d104_colon	0.08418	0	75.73513	0	24.18069	0
GF10_Adam_d1	0	0	83.73109	0	16.26891	0
GF10_Adam_d20	5.22338	0	87.35742	0	7.4192	0
GF10_C1_COLON_D55	0	0	0.69859	0	99.30141	0
GF10_C1_d102_colon	0	0	0	0	0	0
GF10_C1_d55	0	0	0	0	100	0
GF10_C1_d77	0	0	22.71185	0	77.28815	0
GF10_C1_d78	0	0	0	0	0	0
GF10_C1_d80_colon	0	0	0	0	0	0
GF10_C10_COLON_D55	0	0	0	0	100	0
GF10_C10_d55	0	0	0	0	0	0
GF10_C2_COLON_D35	12.83503	0	36.05913	0	51.10584	0
GF10_C2_COLON_D55	0	0	0	0	100	0
GF10_C2_d101	0	0	3.14107	0	96.85893	0
GF10_C2_d103	0	0	34.07726	0	65.92274	0
GF10_C2_d104_colon	0	0	52.32893	0	47.67107	0
GF10_C2_D32	2.81866	0	16.59536	0	80.58598	0
GF10_C2_D33	0	0	4.61159	0	95.38841	0
GF10_C2_D34	0	0	10.32858	0	89.67142	0
GF10_C2_d55	30.73702	0	64.72727	0	4.5357	0
GF10_C2_d77	0	0	57.91755	0	42.08245	0
GF10_C2_d78	0	0	0	0	0	0
GF10_C2_d80_colon	0	0	0	0	100	0
GF10_C3_COLON_D35	5.01171	0	28.29546	0	66.69284	0
GF10_C3_COLON_D55	0	0	0	0	0	0
GF10_C3_d101	0	0	1.69356	0	98.30644	0
GF10_C3_d102_colon	0	0	0	0	0	0
GF10_C3_D33	0	0	0.12742	0	99.87258	0
GF10_C3_d55	0	0	0	0	100	0
GF10_C3_d78	0	0	0	0	100	0
GF10_C3_d79	0	0	0	0	0	0
GF10_C3_d80_colon	0	0	0	0	0	0
GF10_C4_COLON_D55	0	0	0	0	100	0
GF10_C4_d102_colon	0	0	0	0	100	0
GF10_C4_d55	36.084	0	61.36547	0	2.55053	0
GF10_C4_d77	0	0	38.58655	0	61.41345	0
GF10_C4_d80_colon	0	0	58.46527	0	41.53473	0
GF10_C5_COLON_D55	0	0	1.00906	0	98.99094	0
GF10_C5_d101	0	0	2.86107	0	97.13893	0
GF10_C5_d55	29.87981	0	67.11788	0	3.00231	0
GF10_C5_d77	0	0	1.61777	0	98.38223	0
GF10_C5_d80_colon	0	0	0	0	0	0
GF10_C6_COLON_D55	0	0	1.51435	0	98.48565	0
GF10_C6_d101	0	0	0.12781	0	99.87219	0
GF10_C6_d102_colon	0	0	0	0	0	0
GF10_C6_d55	30.27019	0	63.9216	0	5.80822	0
GF10_C7_COLON_D55	0	0	0	0	100	0
GF10_C7_d55	0	0	0	0	0	0
GF10_C8_COLON_D55	0	0	0	0	100	0
GF10_C8_d101	0	0	2.13831	0	97.86169	0
GF10_C8_d103	0	0	77.35083	0	22.64917	0
GF10_C8_d55	18.27397	0	71.35074	0	10.37529	0
