Sample	taxa	abundance
B1	c__Clostridia	71.11662
B1	c__Gammaproteobacteria	22.38963
B1	c__Erysipelotrichia	4.02032
B1	c__Bacilli	2.32868
B1	c__Negativicutes	0.14474
B1-colon	c__Clostridia	75.83628
B1-colon	c__Erysipelotrichia	13.83594
B1-colon	c__Negativicutes	6.06231
B1-colon	c__Tissierellia	1.70243
B1-colon	c__Gammaproteobacteria	1.49469
B1-colon	c__Epsilonproteobacteria	0.59563
B1-colon	c__Actinobacteria	0.38186
B1-colon	c__Bacilli	0.09085
B1-d31	c__Gammaproteobacteria	93.36809
B1-d31	c__Bacilli	3.55941
B1-d31	c__Clostridia	3.0725
b1-d33	c__Gammaproteobacteria	78.61247
b1-d33	c__Clostridia	14.34736
b1-d33	c__Bacilli	6.05101
b1-d33	c__Erysipelotrichia	0.6068
b1-d33	c__Tissierellia	0.38236
B1-d39	c__Clostridia	56.25723
B1-d39	c__Erysipelotrichia	26.3323
B1-d39	c__Gammaproteobacteria	11.96294
B1-d39	c__Negativicutes	2.62734
B1-d39	c__Bacilli	1.7724
B1-d39	c__Tissierellia	1.0478
B1-d40	c__Clostridia	53.28212
B1-d40	c__Erysipelotrichia	24.82659
B1-d40	c__Gammaproteobacteria	15.68801
B1-d40	c__Negativicutes	3.47227
B1-d40	c__Bacilli	1.68631
B1-d40	c__Tissierellia	1.04469
B1-d48	c__Clostridia	66.37066
B1-d48	c__Erysipelotrichia	17.34769
B1-d48	c__Negativicutes	6.09007
B1-d48	c__Gammaproteobacteria	5.86755
B1-d48	c__Bacilli	1.54789
B1-d48	c__Epsilonproteobacteria	1.46598
B1-d48	c__Tissierellia	1.10832
B1-d48	c__Actinobacteria	0.20184
B19	c__Clostridia	61.88963
B19	c__Erysipelotrichia	21.42473
B19	c__Gammaproteobacteria	5.61034
B19	c__Negativicutes	3.46248
B19	c__Actinobacteria	2.43851
B19	c__Tissierellia	2.09112
B19	c__Epsilonproteobacteria	1.62405
B19	c__Bacilli	1.45915
B2-d29	c__Gammaproteobacteria	99.76684
B2-d29	c__Bacilli	0.23316
b2-d33	c__Gammaproteobacteria	68.48894
b2-d33	c__Clostridia	24.056
b2-d33	c__Erysipelotrichia	4.53197
b2-d33	c__Bacilli	1.54524
b2-d33	c__Tissierellia	1.37785
B2-d39	c__Clostridia	65.24583
B2-d39	c__Erysipelotrichia	20.18957
B2-d39	c__Gammaproteobacteria	11.07654
B2-d39	c__Bacilli	3.12273
B2-d39	c__Negativicutes	0.36534
B3	c__Clostridia	79.30079
B3	c__Erysipelotrichia	9.47651
B3	c__Gammaproteobacteria	8.38138
B3	c__Negativicutes	1.47522
B3	c__Bacilli	1.36611
B3-d34	c__Gammaproteobacteria	43.6079
B3-d34	c__Clostridia	38.60814
B3-d34	c__Erysipelotrichia	14.44297
B3-d34	c__Bacilli	2.56496
B3-d34	c__Tissierellia	0.77603
B3-d39	c__Clostridia	56.98399
B3-d39	c__Erysipelotrichia	28.55902
B3-d39	c__Gammaproteobacteria	11.52164
B3-d39	c__Bacilli	1.96718
B3-d39	c__Negativicutes	0.90317
B3-d39	c__Tissierellia	0.06501
B3-d40	c__Clostridia	57.17518
B3-d40	c__Gammaproteobacteria	19.02759
B3-d40	c__Erysipelotrichia	17.05069
B3-d40	c__Bacilli	3.79679
B3-d40	c__Negativicutes	2.90252
B3-d40	c__Tissierellia	0.04723
B3-d48	c__Clostridia	65.16364
B3-d48	c__Erysipelotrichia	20.31298
B3-d48	c__Negativicutes	5.85557
B3-d48	c__Gammaproteobacteria	4.17296
B3-d48	c__Epsilonproteobacteria	1.45711
B3-d48	c__Bacilli	1.20745
B3-d48	c__Actinobacteria	1.04427
B3-d48	c__Tissierellia	0.78602
B4-d29	c__Gammaproteobacteria	97.02814
B4-d29	c__Clostridia	1.88138
B4-d29	c__Bacilli	1.09048
B4-d34	c__Gammaproteobacteria	67.01564
B4-d34	c__Clostridia	26.71792
B4-d34	c__Erysipelotrichia	3.5878
B4-d34	c__Bacilli	2.37855
B4-d34	c__Tissierellia	0.19089
B4-d34	c__Negativicutes	0.1092
B4-d40	c__Clostridia	51.15479
B4-d40	c__Erysipelotrichia	24.39993
B4-d40	c__Gammaproteobacteria	17.34479
B4-d40	c__Negativicutes	4.27037
B4-d40	c__Bacilli	2.79956
B4-d40	c__Tissierellia	0.02804
B4-d40	c__Epsilonproteobacteria	0.00252
B4-d48	c__Clostridia	70.25149
B4-d48	c__Erysipelotrichia	13.95921
B4-d48	c__Gammaproteobacteria	6.89401
B4-d48	c__Negativicutes	5.69167
B4-d48	c__Epsilonproteobacteria	1.62731
B4-d48	c__Bacilli	1.50378
