Sample	taxa	abundance
B1	o__Clostridiales	71.11662
B1	o__Enterobacterales	22.38963
B1	o__Erysipelotrichales	4.02032
B1	o__Lactobacillales	2.32868
B1	o__Veillonellales	0.14474
B1-colon	o__Clostridiales	75.83628
B1-colon	o__Erysipelotrichales	13.83594
B1-colon	o__Veillonellales	6.06231
B1-colon	o__Tissierellales	1.70243
B1-colon	o__Enterobacterales	1.49469
B1-colon	o__Campylobacterales	0.59563
B1-colon	o__Actinomycetales	0.38186
B1-colon	o__Lactobacillales	0.09085
B1-d31	o__Enterobacterales	93.36809
B1-d31	o__Lactobacillales	3.55941
B1-d31	o__Clostridiales	3.0725
b1-d33	o__Enterobacterales	78.61247
b1-d33	o__Clostridiales	14.34736
b1-d33	o__Lactobacillales	6.05101
b1-d33	o__Erysipelotrichales	0.6068
b1-d33	o__Tissierellales	0.38236
B1-d39	o__Clostridiales	56.25723
B1-d39	o__Erysipelotrichales	26.3323
B1-d39	o__Enterobacterales	11.96294
B1-d39	o__Veillonellales	2.62734
B1-d39	o__Lactobacillales	1.64942
B1-d39	o__Tissierellales	1.0478
B1-d39	o__Bacillales	0.12297
B1-d40	o__Clostridiales	53.28212
B1-d40	o__Erysipelotrichales	24.82659
B1-d40	o__Enterobacterales	15.68801
B1-d40	o__Veillonellales	3.47227
B1-d40	o__Lactobacillales	1.56764
B1-d40	o__Tissierellales	1.04469
B1-d40	o__Bacillales	0.11868
B1-d48	o__Clostridiales	66.37066
B1-d48	o__Erysipelotrichales	17.34769
B1-d48	o__Veillonellales	6.09007
B1-d48	o__Enterobacterales	5.86755
B1-d48	o__Campylobacterales	1.46598
B1-d48	o__Lactobacillales	1.46147
B1-d48	o__Tissierellales	1.10832
B1-d48	o__Actinomycetales	0.20184
B1-d48	o__Bacillales	0.08642
B19	o__Clostridiales	61.88963
B19	o__Erysipelotrichales	21.42473
B19	o__Enterobacterales	5.61034
B19	o__Veillonellales	3.46248
B19	o__Actinomycetales	2.43851
B19	o__Tissierellales	2.09112
B19	o__Campylobacterales	1.62405
B19	o__Lactobacillales	1.45915
B2-d29	o__Enterobacterales	99.76684
B2-d29	o__Lactobacillales	0.23316
b2-d33	o__Enterobacterales	68.48894
b2-d33	o__Clostridiales	24.056
b2-d33	o__Erysipelotrichales	4.53197
b2-d33	o__Lactobacillales	1.54524
b2-d33	o__Tissierellales	1.37785
B2-d39	o__Clostridiales	65.24583
B2-d39	o__Erysipelotrichales	20.18957
B2-d39	o__Enterobacterales	11.07654
B2-d39	o__Lactobacillales	3.12273
B2-d39	o__Veillonellales	0.36534
B3	o__Clostridiales	79.30079
B3	o__Erysipelotrichales	9.47651
B3	o__Enterobacterales	8.38138
B3	o__Veillonellales	1.47522
B3	o__Lactobacillales	1.36611
B3-d34	o__Enterobacterales	43.6079
B3-d34	o__Clostridiales	38.60814
B3-d34	o__Erysipelotrichales	14.44297
B3-d34	o__Lactobacillales	2.56496
B3-d34	o__Tissierellales	0.77603
B3-d39	o__Clostridiales	56.98399
B3-d39	o__Erysipelotrichales	28.55902
B3-d39	o__Enterobacterales	11.52164
B3-d39	o__Lactobacillales	1.96526
B3-d39	o__Veillonellales	0.90317
B3-d39	o__Tissierellales	0.06501
B3-d39	o__Bacillales	0.00191
B3-d40	o__Clostridiales	57.17518
B3-d40	o__Enterobacterales	19.02759
B3-d40	o__Erysipelotrichales	17.05069
B3-d40	o__Lactobacillales	3.79522
B3-d40	o__Veillonellales	2.90252
B3-d40	o__Tissierellales	0.04723
B3-d40	o__Bacillales	0.00157
B3-d48	o__Clostridiales	65.16364
B3-d48	o__Erysipelotrichales	20.31298
B3-d48	o__Veillonellales	5.85557
B3-d48	o__Enterobacterales	4.17296
B3-d48	o__Campylobacterales	1.45711
B3-d48	o__Lactobacillales	1.20745
B3-d48	o__Actinomycetales	1.04427
B3-d48	o__Tissierellales	0.78602
B4-d29	o__Enterobacterales	97.02814
B4-d29	o__Clostridiales	1.88138
B4-d29	o__Lactobacillales	1.09048
B4-d34	o__Enterobacterales	67.01564
B4-d34	o__Clostridiales	26.71792
B4-d34	o__Erysipelotrichales	3.5878
B4-d34	o__Lactobacillales	2.37855
B4-d34	o__Tissierellales	0.19089
B4-d34	o__Veillonellales	0.1092
B4-d40	o__Clostridiales	51.15479
B4-d40	o__Erysipelotrichales	24.39993
B4-d40	o__Enterobacterales	17.34479
B4-d40	o__Veillonellales	4.27037
B4-d40	o__Lactobacillales	2.79956
B4-d40	o__Tissierellales	0.02804
B4-d40	o__Campylobacterales	0.00252
B4-d48	o__Clostridiales	70.25149
B4-d48	o__Erysipelotrichales	13.95921
B4-d48	o__Enterobacterales	6.89401
B4-d48	o__Veillonellales	5.69167
B4-d48	o__Campylobacterales	1.62731
B4-d48	o__Lactobacillales	1.50378
B4-d48	o__Tissierellales	0.07253
B5-d29	o__Enterobacterales	99.92019
B5-d29	o__Lactobacillales	0.07981
b5-d33	o__Enterobacterales	82.39037
b5-d33	o__Clostridiales	11.87009
b5-d33	o__Lactobacillales	5.5417
b5-d33	o__Erysipelotrichales	0.19784
B5-d39	o__Clostridiales	52.33568
B5-d39	o__Erysipelotrichales	26.53742
B5-d39	o__Enterobacterales	15.04445
B5-d39	o__Veillonellales	3.94144
B5-d39	o__Lactobacillales	1.69305
B5-d39	o__Tissierellales	0.41259
B5-d39	o__Bacillales	0.03105
B5-d39	o__Actinomycetales	0.00433
B5-d40	o__Clostridiales	66.4731
B5-d40	o__Erysipelotrichales	18.33341
B5-d40	o__Enterobacterales	11.7029
B5-d40	o__Lactobacillales	2.2501
B5-d40	o__Veillonellales	1.24048
B5-d48	o__Clostridiales	69.64577
B5-d48	o__Erysipelotrichales	13.26462
B5-d48	o__Enterobacterales	7.47243
B5-d48	o__Veillonellales	5.3786
B5-d48	o__Tissierellales	1.37723
B5-d48	o__Campylobacterales	1.26579
B5-d48	o__Lactobacillales	1.13386
B5-d48	o__Actinomycetales	0.32423
B5-d48	o__Bacillales	0.13746
B6-d29	o__Enterobacterales	99.06419
B6-d29	o__Lactobacillales	0.93581
b6-d33	o__Enterobacterales	84.88529
b6-d33	o__Clostridiales	9.11407
b6-d33	o__Lactobacillales	5.50935
b6-d33	o__Erysipelotrichales	0.4913
B6-d34	o__Enterobacterales	59.10915
B6-d34	o__Clostridiales	27.81425
B6-d34	o__Erysipelotrichales	9.25291
B6-d34	o__Lactobacillales	3.20839
B6-d34	o__Tissierellales	0.61529
B6-d39	o__Clostridiales	63.51686
B6-d39	o__Erysipelotrichales	24.60738
B6-d39	o__Enterobacterales	9.2516
B6-d39	o__Lactobacillales	2.37694
B6-d39	o__Veillonellales	0.24722
B6-d40	o__Clostridiales	61.49008
B6-d40	o__Erysipelotrichales	17.52628
B6-d40	o__Enterobacterales	14.4953
B6-d40	o__Veillonellales	3.91026
B6-d40	o__Lactobacillales	2.57808
B6-d48	o__Clostridiales	65.43913
B6-d48	o__Erysipelotrichales	16.60002
B6-d48	o__Veillonellales	6.37887
B6-d48	o__Enterobacterales	5.88894
B6-d48	o__Tissierellales	1.85976
B6-d48	o__Campylobacterales	1.53435
B6-d48	o__Lactobacillales	1.36818
B6-d48	o__Actinomycetales	0.79154
B6-d48	o__Bacillales	0.13922
B7-d29	o__Enterobacterales	99.59761
B7-d29	o__Lactobacillales	0.40239
b7-d33	o__Enterobacterales	77.81216
b7-d33	o__Clostridiales	16.37161
b7-d33	o__Lactobacillales	5.27567
b7-d33	o__Erysipelotrichales	0.54056
B7-d40	o__Clostridiales	46.15338
B7-d40	o__Erysipelotrichales	25.2548
B7-d40	o__Enterobacterales	19.80448
B7-d40	o__Lactobacillales	4.71936
B7-d40	o__Veillonellales	4.06799
B7-d48	o__Clostridiales	62.59947
B7-d48	o__Erysipelotrichales	19.04269
B7-d48	o__Veillonellales	6.16162
B7-d48	o__Enterobacterales	5.41664
B7-d48	o__Tissierellales	2.27787
B7-d48	o__Actinomycetales	1.8771
B7-d48	o__Campylobacterales	1.45257
B7-d48	o__Lactobacillales	1.17204
C1	o__Clostridiales	79.72532
C1	o__Enterobacterales	12.81694
C1	o__Erysipelotrichales	6.0592
C1	o__Lactobacillales	1.257
C1	o__Veillonellales	0.14154
C1-d33	o__Enterobacterales	96.69348
C1-d33	o__Lactobacillales	3.19563
C1-d33	o__Clostridiales	0.11089
C1-d44	o__Clostridiales	66.25834
C1-d44	o__Erysipelotrichales	17.6158
C1-d44	o__Enterobacterales	14.85811
C1-d44	o__Lactobacillales	1.26775
C1-d45	o__Clostridiales	85.85821
C1-d45	o__Erysipelotrichales	9.9528
C1-d45	o__Enterobacterales	3.74931
C1-d45	o__Lactobacillales	0.43969
C1-d53	o__Clostridiales	67.53988
C1-d53	o__Erysipelotrichales	16.9789
C1-d53	o__Enterobacterales	8.13504
C1-d53	o__Veillonellales	5.88135
C1-d53	o__Lactobacillales	1.46484
C19	o__Clostridiales	72.72041
C19	o__Erysipelotrichales	14.51288
C19	o__Enterobacterales	3.93751
C19	o__Veillonellales	3.66717
C19	o__Tissierellales	1.58305
C19	o__Lactobacillales	1.54636
C19	o__Campylobacterales	1.11509
C19	o__Actinomycetales	0.91754
C2-colon	o__Clostridiales	74.41438
C2-colon	o__Erysipelotrichales	15.92951
C2-colon	o__Enterobacterales	4.44684
C2-colon	o__Veillonellales	4.34394
C2-colon	o__Lactobacillales	0.80869
C2-colon	o__Actinomycetales	0.05664
C2-d33	o__Enterobacterales	100
C2-d37	o__Enterobacterales	69.08031
C2-d37	o__Clostridiales	14.88151
C2-d37	o__Lactobacillales	11.64609
C2-d37	o__Erysipelotrichales	4.3921
C2-d44	o__Clostridiales	73.93114
C2-d44	o__Erysipelotrichales	13.46237
C2-d44	o__Enterobacterales	11.16746
C2-d44	o__Lactobacillales	1.43903
C2-d45	o__Clostridiales	53.97723
C2-d45	o__Erysipelotrichales	33.57691
C2-d45	o__Enterobacterales	9.21207
C2-d45	o__Lactobacillales	3.23379
C2-d49	o__Clostridiales	61.323
C2-d49	o__Erysipelotrichales	23.59549
C2-d49	o__Enterobacterales	10.53664
C2-d49	o__Veillonellales	2.61558
C2-d49	o__Lactobacillales	1.92929
C2-d53	o__Clostridiales	69.69687
C2-d53	o__Erysipelotrichales	16.25061
C2-d53	o__Enterobacterales	7.19481
C2-d53	o__Veillonellales	5.69433
C2-d53	o__Lactobacillales	1.16338
C3	o__Clostridiales	63.90964
C3	o__Enterobacterales	19.58402
C3	o__Erysipelotrichales	12.8492
C3	o__Lactobacillales	2.04457
C3	o__Veillonellales	1.61258
C3-colon	o__Clostridiales	74.81502
C3-colon	o__Erysipelotrichales	18.51596
C3-colon	o__Veillonellales	3.17716
C3-colon	o__Enterobacterales	2.33101
C3-colon	o__Lactobacillales	1.16085
C3-d33	o__Enterobacterales	97.0409
C3-d33	o__Lactobacillales	2.77912
C3-d33	o__Clostridiales	0.17999
C3-d44	o__Clostridiales	69.05729
C3-d44	o__Erysipelotrichales	19.78618
C3-d44	o__Enterobacterales	10.03222
C3-d44	o__Lactobacillales	1.1243
C3-d45	o__Clostridiales	69.64693
C3-d45	o__Erysipelotrichales	16.33307
C3-d45	o__Enterobacterales	12.79533
C3-d45	o__Lactobacillales	1.22467
C3-d53	o__Clostridiales	64.89535
C3-d53	o__Erysipelotrichales	20.6894
C3-d53	o__Enterobacterales	6.82437
C3-d53	o__Veillonellales	6.45614
C3-d53	o__Lactobacillales	1.13475
C4-d33	o__Enterobacterales	55.13516
C4-d33	o__Lactobacillales	39.26759
C4-d33	o__Clostridiales	5.59725
C4-d44	o__Clostridiales	72.98907
C4-d44	o__Erysipelotrichales	15.82774
C4-d44	o__Enterobacterales	9.63148
C4-d44	o__Lactobacillales	1.52302
C4-d44	o__Veillonellales	0.02869
C4-d45	o__Clostridiales	66.96884
C4-d45	o__Erysipelotrichales	30.62652
C4-d45	o__Enterobacterales	2.40464
C4-d53	o__Clostridiales	70.86327
C4-d53	o__Erysipelotrichales	14.67526
C4-d53	o__Enterobacterales	7.05318
C4-d53	o__Veillonellales	6.13363
C4-d53	o__Lactobacillales	1.27466
C5-d34	o__Lactobacillales	71.29989
C5-d34	o__Enterobacterales	17.46433
C5-d34	o__Clostridiales	10.99422
C5-d34	o__Erysipelotrichales	0.24155
C5-d44	o__Clostridiales	71.48558
C5-d44	o__Erysipelotrichales	19.02976
