Sample	taxa	abundance
B1	p__Firmicutes	77.61037
B1	p__Proteobacteria	22.38963
B1-colon	p__Firmicutes	97.52782
B1-colon	p__Proteobacteria	2.09032
B1-colon	p__Actinobacteria	0.38186
B1-d31	p__Proteobacteria	93.36809
B1-d31	p__Firmicutes	6.63191
b1-d33	p__Proteobacteria	78.61247
b1-d33	p__Firmicutes	21.38753
B1-d39	p__Firmicutes	88.03706
B1-d39	p__Proteobacteria	11.96294
B1-d40	p__Firmicutes	84.31199
B1-d40	p__Proteobacteria	15.68801
B1-d48	p__Firmicutes	92.46463
B1-d48	p__Proteobacteria	7.33354
B1-d48	p__Actinobacteria	0.20184
B19	p__Firmicutes	90.3271
B19	p__Proteobacteria	7.23439
B19	p__Actinobacteria	2.43851
B2-d29	p__Proteobacteria	99.76684
B2-d29	p__Firmicutes	0.23316
b2-d33	p__Proteobacteria	68.48894
b2-d33	p__Firmicutes	31.51106
B2-d39	p__Firmicutes	88.92346
B2-d39	p__Proteobacteria	11.07654
B3	p__Firmicutes	91.61862
B3	p__Proteobacteria	8.38138
B3-d34	p__Firmicutes	56.3921
B3-d34	p__Proteobacteria	43.6079
B3-d39	p__Firmicutes	88.47836
B3-d39	p__Proteobacteria	11.52164
B3-d40	p__Firmicutes	80.97241
B3-d40	p__Proteobacteria	19.02759
B3-d48	p__Firmicutes	93.32566
B3-d48	p__Proteobacteria	5.63007
B3-d48	p__Actinobacteria	1.04427
B4-d29	p__Proteobacteria	97.02814
B4-d29	p__Firmicutes	2.97186
B4-d34	p__Proteobacteria	67.01564
B4-d34	p__Firmicutes	32.98436
B4-d40	p__Firmicutes	82.6527
B4-d40	p__Proteobacteria	17.3473
B4-d48	p__Firmicutes	91.47868
B4-d48	p__Proteobacteria	8.52132
B5-d29	p__Proteobacteria	99.92019
B5-d29	p__Firmicutes	0.07981
b5-d33	p__Proteobacteria	82.39037
b5-d33	p__Firmicutes	17.60963
B5-d39	p__Firmicutes	84.95122
B5-d39	p__Proteobacteria	15.04445
B5-d39	p__Actinobacteria	0.00433
B5-d40	p__Firmicutes	88.2971
B5-d40	p__Proteobacteria	11.7029
B5-d48	p__Firmicutes	90.93755
B5-d48	p__Proteobacteria	8.73822
B5-d48	p__Actinobacteria	0.32423
B6-d29	p__Proteobacteria	99.06419
B6-d29	p__Firmicutes	0.93581
b6-d33	p__Proteobacteria	84.88529
b6-d33	p__Firmicutes	15.11471
B6-d34	p__Proteobacteria	59.10915
B6-d34	p__Firmicutes	40.89085
B6-d39	p__Firmicutes	90.7484
B6-d39	p__Proteobacteria	9.2516
B6-d40	p__Firmicutes	85.5047
B6-d40	p__Proteobacteria	14.4953
B6-d48	p__Firmicutes	91.78516
B6-d48	p__Proteobacteria	7.42329
B6-d48	p__Actinobacteria	0.79154
B7-d29	p__Proteobacteria	99.59761
B7-d29	p__Firmicutes	0.40239
b7-d33	p__Proteobacteria	77.81216
b7-d33	p__Firmicutes	22.18784
B7-d40	p__Firmicutes	80.19552
B7-d40	p__Proteobacteria	19.80448
B7-d48	p__Firmicutes	91.25369
B7-d48	p__Proteobacteria	6.86921
B7-d48	p__Actinobacteria	1.8771
C1	p__Firmicutes	87.18306
C1	p__Proteobacteria	12.81694
C1-d33	p__Proteobacteria	96.69348
C1-d33	p__Firmicutes	3.30652
C1-d44	p__Firmicutes	85.14189
C1-d44	p__Proteobacteria	14.85811
C1-d45	p__Firmicutes	96.25069
C1-d45	p__Proteobacteria	3.74931
C1-d53	p__Firmicutes	91.86496
C1-d53	p__Proteobacteria	8.13504
C19	p__Firmicutes	94.02987
C19	p__Proteobacteria	5.0526
C19	p__Actinobacteria	0.91754
C2-colon	p__Firmicutes	95.49652
C2-colon	p__Proteobacteria	4.44684
C2-colon	p__Actinobacteria	0.05664
C2-d33	p__Proteobacteria	100
C2-d37	p__Proteobacteria	69.08031
C2-d37	p__Firmicutes	30.91969
C2-d44	p__Firmicutes	88.83254
C2-d44	p__Proteobacteria	11.16746
C2-d45	p__Firmicutes	90.78793
C2-d45	p__Proteobacteria	9.21207
C2-d49	p__Firmicutes	89.46336
C2-d49	p__Proteobacteria	10.53664
C2-d53	p__Firmicutes	92.80519
C2-d53	p__Proteobacteria	7.19481
C3	p__Firmicutes	80.41598
C3	p__Proteobacteria	19.58402
C3-colon	p__Firmicutes	97.66899
C3-colon	p__Proteobacteria	2.33101
C3-d33	p__Proteobacteria	97.0409
C3-d33	p__Firmicutes	2.9591
C3-d44	p__Firmicutes	89.96778
C3-d44	p__Proteobacteria	10.03222
C3-d45	p__Firmicutes	87.20467
C3-d45	p__Proteobacteria	12.79533
C3-d53	p__Firmicutes	93.17563
C3-d53	p__Proteobacteria	6.82437
C4-d33	p__Proteobacteria	55.13516
C4-d33	p__Firmicutes	44.86484
C4-d44	p__Firmicutes	90.36852
C4-d44	p__Proteobacteria	9.63148
C4-d45	p__Firmicutes	97.59536
C4-d45	p__Proteobacteria	2.40464
C4-d53	p__Firmicutes	92.94682
C4-d53	p__Proteobacteria	7.05318
C5-d34	p__Firmicutes	82.53567
C5-d34	p__Proteobacteria	17.46433
C5-d44	p__Firmicutes	92.18564
C5-d44	p__Proteobacteria	7.81436
C5-d45	p__Firmicutes	94.29405
C5-d45	p__Proteobacteria	5.70595
C5-d53	p__Firmicutes	93.39402
C5-d53	p__Proteobacteria	6.60598
C6-d33	p__Firmicutes	86.54461
C6-d33	p__Proteobacteria	13.45539
C6-d37	p__Proteobacteria	60.15451
C6-d37	p__Firmicutes	39.84549
C6-d44	p__Firmicutes	78.60482
C6-d44	p__Proteobacteria	21.39518
C6-d49	p__Firmicutes	96.15137
C6-d49	p__Proteobacteria	3.84863
C6-d53	p__Firmicutes	94.07236
C6-d53	p__Proteobacteria	5.92764
C7-d33	p__Firmicutes	60.22768
C7-d33	p__Proteobacteria	39.77232
C7-d38	p__Proteobacteria	62.78046
C7-d38	p__Firmicutes	37.21954
C7-d44	p__Firmicutes	84.53305
C7-d44	p__Proteobacteria	15.46695
C7-d45	p__Firmicutes	89.97295
C7-d45	p__Proteobacteria	10.02705
C7-d53	p__Firmicutes	89.29959
C7-d53	p__Proteobacteria	10.62078
C7-d53	p__Actinobacteria	0.07964
C8-d35	p__Proteobacteria	93.05069
C8-d35	p__Firmicutes	6.94931
C8-d38	p__Firmicutes	80.88173
C8-d38	p__Proteobacteria	19.11827
C8-d44	p__Firmicutes	87.67379
C8-d44	p__Proteobacteria	12.32621
C8-d45	p__Firmicutes	94.15525
C8-d45	p__Proteobacteria	5.84475
C8-d53	p__Firmicutes	94.14246
C8-d53	p__Proteobacteria	5.85754
CONV_MERO1_COLON	p__Firmicutes	67.98375
CONV_MERO1_COLON	p__Bacteroidetes	32.01625
CONV_MERO1_D0	p__Firmicutes	50.57061
CONV_MERO1_D0	p__Verrucomicrobia	43.61721
CONV_MERO1_D0	p__Bacteroidetes	5.81218
CONV_MERO1_D1	p__Firmicutes	89.93513
CONV_MERO1_D1	p__Verrucomicrobia	9.79566
CONV_MERO1_D1	p__Bacteroidetes	0.26921
CONV_MERO1_D3	p__Firmicutes	100
CONV_MERO2_COLON	p__Firmicutes	85.42865
CONV_MERO2_COLON	p__Bacteroidetes	14.57135
CONV_MERO2_D0	p__Verrucomicrobia	48.21463
CONV_MERO2_D0	p__Firmicutes	40.93682
CONV_MERO2_D0	p__Bacteroidetes	10.64572
CONV_MERO2_D0	p__Proteobacteria	0.20283
CONV_MERO2_D3	p__Firmicutes	100
CONV_MERO3_COLON	p__Bacteroidetes	94.05712
CONV_MERO3_COLON	p__Firmicutes	5.94288
CONV_MERO3_D1	p__Firmicutes	73.58482
CONV_MERO3_D1	p__Bacteroidetes	26.41518
CONV_MERO3_D3	p__Bacteroidetes	90.40058
CONV_MERO3_D3	p__Firmicutes	9.59942
CONV_MERO4_COLON	p__Firmicutes	75.83537
CONV_MERO4_COLON	p__Bacteroidetes	24.16463
CONV_MERO4_D0	p__Bacteroidetes	77.75885
CONV_MERO4_D0	p__Firmicutes	13.21011
CONV_MERO4_D0	p__Verrucomicrobia	7.97338
CONV_MERO4_D0	p__Proteobacteria	1.05766
CONV_MERO4_D1	p__Firmicutes	100
CONV_MERO4_D3	p__Firmicutes	100
CONV_PBS1_COLON	p__Firmicutes	56.15009
CONV_PBS1_COLON	p__Bacteroidetes	33.8989
CONV_PBS1_COLON	p__Verrucomicrobia	7.51078
CONV_PBS1_COLON	p__Proteobacteria	2.44024
CONV_PBS1_D0	p__Verrucomicrobia	74.77864
CONV_PBS1_D0	p__Firmicutes	23.87555
CONV_PBS1_D0	p__Bacteroidetes	1.34581
CONV_PBS1_D3	p__Bacteroidetes	70.6241
CONV_PBS1_D3	p__Verrucomicrobia	13.09525
CONV_PBS1_D3	p__Firmicutes	13.06424
CONV_PBS1_D3	p__Proteobacteria	3.21642
CONV_PBS2_COLON	p__Bacteroidetes	60.23488
CONV_PBS2_COLON	p__Firmicutes	31.18069
CONV_PBS2_COLON	p__Verrucomicrobia	6.6942
CONV_PBS2_COLON	p__Proteobacteria	1.89022
CONV_PBS2_D1	p__Bacteroidetes	51.79965
CONV_PBS2_D1	p__Verrucomicrobia	21.99303
CONV_PBS2_D1	p__Firmicutes	21.46851
CONV_PBS2_D1	p__Proteobacteria	4.73881
CONV_PBS2_D3	p__Bacteroidetes	74.31692
CONV_PBS2_D3	p__Verrucomicrobia	12.72496
CONV_PBS2_D3	p__Firmicutes	10.80575
CONV_PBS2_D3	p__Proteobacteria	2.15237
CONV_PBS3_COLON	p__Bacteroidetes	47.30147
CONV_PBS3_COLON	p__Firmicutes	46.59387
CONV_PBS3_COLON	p__Verrucomicrobia	5.25609
CONV_PBS3_COLON	p__Proteobacteria	0.84857
CONV_PBS3_D1	p__Firmicutes	68.68289
CONV_PBS3_D1	p__Bacteroidetes	13.9034
CONV_PBS3_D1	p__Verrucomicrobia	11.0466
CONV_PBS3_D1	p__Proteobacteria	6.36711
CONV_PBS4_COLON	p__Bacteroidetes	54.79447
CONV_PBS4_COLON	p__Firmicutes	29.27232
CONV_PBS4_COLON	p__Verrucomicrobia	13.50345
CONV_PBS4_COLON	p__Proteobacteria	2.42976
CONV_PBS4_D0	p__Bacteroidetes	76.86505
CONV_PBS4_D0	p__Verrucomicrobia	14.99767
CONV_PBS4_D0	p__Firmicutes	6.75133
CONV_PBS4_D0	p__Proteobacteria	1.38596
CONV_PBS4_D1	p__Bacteroidetes	63.7768
CONV_PBS4_D1	p__Firmicutes	18.28423
CONV_PBS4_D1	p__Verrucomicrobia	15.74604
CONV_PBS4_D1	p__Proteobacteria	2.19293
CONV_PBS4_D3	p__Bacteroidetes	75.19666
CONV_PBS4_D3	p__Verrucomicrobia	14.06691
CONV_PBS4_D3	p__Firmicutes	8.28821
CONV_PBS4_D3	p__Proteobacteria	2.44822
GF1_A10	p__Firmicutes	88.52508
GF1_A10	p__Proteobacteria	11.09603
GF1_A10	p__Actinobacteria	0.37889
GF1_B_mom_d32	p__Firmicutes	88.71253
GF1_B_mom_d32	p__Proteobacteria	8.67246
GF1_B_mom_d32	p__Actinobacteria	2.61501
GF1_B10	p__Firmicutes	90.12557
GF1_B10	p__Proteobacteria	9.87443
GF1_B14	p__Firmicutes	95.68222
GF1_B14	p__Proteobacteria	4.31778
GF1_B17	p__Firmicutes	89.20006
GF1_B17	p__Proteobacteria	9.0306
GF1_B17	p__Actinobacteria	1.76933
GF1_B25	p__Firmicutes	90.50574
GF1_B25	p__Proteobacteria	6.37524
GF1_B25	p__Actinobacteria	3.11903
GF1_B3_d38	p__Firmicutes	92.96048
GF1_B3_d38	p__Proteobacteria	6.85241
GF1_B3_d38	p__Actinobacteria	0.18711
GF1_B5_D38	p__Firmicutes	92.83101
GF1_B5_D38	p__Proteobacteria	7.16899
GF1_B6_d38	p__Firmicutes	94.14898
GF1_B6_d38	p__Proteobacteria	5.85102
GF1_B7_D38	p__Firmicutes	95.11346
GF1_B7_D38	p__Proteobacteria	4.88654
GF1_C_mom_d32	p__Firmicutes	93.44472
GF1_C_mom_d32	p__Proteobacteria	3.97899
GF1_C_mom_d32	p__Actinobacteria	2.57628
GF1_C10	p__Firmicutes	88.17865
GF1_C10	p__Proteobacteria	11.71467
GF1_C10	p__Actinobacteria	0.10668
GF1_C14	p__Firmicutes	91.15853
GF1_C14	p__Proteobacteria	7.39235
GF1_C14	p__Actinobacteria	1.44912
GF1_C17	p__Firmicutes	93.721
GF1_C17	p__Proteobacteria	4.93666
GF1_C17	p__Actinobacteria	1.34234
GF1_C25	p__Firmicutes	92.27292
GF1_C25	p__Proteobacteria	6.21404
GF1_C25	p__Actinobacteria	1.51305
GF1_C4_d39	p__Firmicutes	89.86527
GF1_C4_d39	p__Proteobacteria	10.13473
GF1_C6_d39	p__Firmicutes	86.49083
GF1_C6_d39	p__Proteobacteria	13.50917
GF1_C7_d39	p__Firmicutes	88.62861
GF1_C7_d39	p__Proteobacteria	11.37139
GF1_INOC_GF1	p__Proteobacteria	56.20466
GF1_INOC_GF1	p__Firmicutes	43.7392
GF1_INOC_GF1	p__Actinobacteria	0.05614
GF10_A_DAM_D0	p__Proteobacteria	68.08031
GF10_A_DAM_D0	p__Firmicutes	31.91969
GF10_A1_COLON_D35	p__Proteobacteria	81.42365
GF10_A1_COLON_D35	p__Firmicutes	18.57635
GF10_A1_d101	p__Proteobacteria	75.01317
GF10_A1_d101	p__Firmicutes	24.98683
GF10_A1_d104_colon	p__Firmicutes	96.84957
GF10_A1_d104_colon	p__Proteobacteria	3.15043
GF10_A1_d127_colon	p__Firmicutes	81.1918
GF10_A1_d127_colon	p__Proteobacteria	18.8082
GF10_A1_D32	p__Firmicutes	75.88251
GF10_A1_D32	p__Proteobacteria	24.11749
GF10_A1_D34	p__Proteobacteria	90.46194
GF10_A1_D34	p__Firmicutes	9.53806
GF10_A1_d77	p__Proteobacteria	94.25334
GF10_A1_d77	p__Firmicutes	5.74666
GF10_A1_d79	p__Proteobacteria	100
GF10_A1_d80_colon	p__Proteobacteria	72.85906
GF10_A1_d80_colon	p__Firmicutes	27.14094
GF10_A2_COLON_D35	p__Firmicutes	100
GF10_A2_d101	p__Proteobacteria	100
GF10_A2_d103	p__Proteobacteria	97.80008
GF10_A2_d103	p__Firmicutes	2.19992
GF10_A2_d104_colon	p__Proteobacteria	94.63025
GF10_A2_d104_colon	p__Firmicutes	5.36975
GF10_A2_d127_colon	p__Proteobacteria	100
GF10_A2_D32	p__Firmicutes	80.79973
GF10_A2_D32	p__Proteobacteria	19.20027
GF10_A2_D33	p__Proteobacteria	93.98352
GF10_A2_D33	p__Firmicutes	6.01648
GF10_A2_D34	p__Proteobacteria	77.78492
GF10_A2_D34	p__Firmicutes	22.21508
GF10_A2_d77	p__Proteobacteria	91.34202
GF10_A2_d77	p__Firmicutes	8.65798
GF10_A2_d79	p__Proteobacteria	100
GF10_A3_COLON_D35	p__Firmicutes	100
GF10_A3_d104_colon	p__Firmicutes	83.65043
GF10_A3_d104_colon	p__Proteobacteria	15.99554
GF10_A3_d104_colon	p__Actinobacteria	0.35403
GF10_A3_D33	p__Proteobacteria	96.61965
GF10_A3_D33	p__Firmicutes	3.38035
GF10_A3_D34	p__Proteobacteria	83.11604
GF10_A3_D34	p__Firmicutes	16.88396
GF10_A3_d79	p__Proteobacteria	93.64785
GF10_A3_d79	p__Firmicutes	6.35215
GF10_A3_d80_colon	p__Proteobacteria	94.80328
GF10_A3_d80_colon	p__Firmicutes	5.19672
GF10_A4_d101	p__Proteobacteria	96.46504
GF10_A4_d101	p__Firmicutes	3.53496
