Sample,Clostridiales,Enterobacterales,Erysipelotrichales,Lactobacillales,Veillonellales,Tissierellales,Campylobacterales,Actinomycetales,Bacillales,Bacteroidales,Verrucomicrobiales,Burkholderiales,Proteobacteria_unclassified,Sphingomonadales,Bifidobacteriales,Corynebacteriales,Micrococcales,Eggerthellales,Propionibacteriales,Fusobacteriales,Pseudomonadales,Sphingobacteriales
B1,71.11662,22.38963,4.02032,2.32868,0.14474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-colon,75.83628,1.49469,13.83594,0.09085,6.06231,1.70243,0.59563,0.38186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d31,3.0725,93.36809,0,3.55941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1-d33,14.34736,78.61247,0.6068,6.05101,0,0.38236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d39,56.25723,11.96294,26.3323,1.64942,2.62734,1.0478,0,0,0.12297,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d40,53.28212,15.68801,24.82659,1.56764,3.47227,1.04469,0,0,0.11868,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d48,66.37066,5.86755,17.34769,1.46147,6.09007,1.10832,1.46598,0.20184,0.08642,0,0,0,0,0,0,0,0,0,0,0,0,0
B19,61.88963,5.61034,21.42473,1.45915,3.46248,2.09112,1.62405,2.43851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d29,0,99.76684,0,0.23316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2-d33,24.056,68.48894,4.53197,1.54524,0,1.37785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d39,65.24583,11.07654,20.18957,3.12273,0.36534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,79.30079,8.38138,9.47651,1.36611,1.47522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d34,38.60814,43.6079,14.44297,2.56496,0,0.77603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d39,56.98399,11.52164,28.55902,1.96526,0.90317,0.06501,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d40,57.17518,19.02759,17.05069,3.79522,2.90252,0.04723,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d48,65.16364,4.17296,20.31298,1.20745,5.85557,0.78602,1.45711,1.04427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d29,1.88138,97.02814,0,1.09048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d34,26.71792,67.01564,3.5878,2.37855,0.1092,0.19089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d40,51.15479,17.34479,24.39993,2.79956,4.27037,0.02804,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d48,70.25149,6.89401,13.95921,1.50378,5.69167,0.07253,1.62731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d29,0,99.92019,0,0.07981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5-d33,11.87009,82.39037,0.19784,5.5417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d39,52.33568,15.04445,26.53742,1.69305,3.94144,0.41259,0,0.00433,0.03105,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d40,66.4731,11.7029,18.33341,2.2501,1.24048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d48,69.64577,7.47243,13.26462,1.13386,5.3786,1.37723,1.26579,0.32423,0.13746,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d29,0,99.06419,0,0.93581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6-d33,9.11407,84.88529,0.4913,5.50935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d34,27.81425,59.10915,9.25291,3.20839,0,0.61529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d39,63.51686,9.2516,24.60738,2.37694,0.24722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d40,61.49008,14.4953,17.52628,2.57808,3.91026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d48,65.43913,5.88894,16.60002,1.36818,6.37887,1.85976,1.53435,0.79154,0.13922,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d29,0,99.59761,0,0.40239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7-d33,16.37161,77.81216,0.54056,5.27567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d40,46.15338,19.80448,25.2548,4.71936,4.06799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d48,62.59947,5.41664,19.04269,1.17204,6.16162,2.27787,1.45257,1.8771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,79.72532,12.81694,6.0592,1.257,0.14154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d33,0.11089,96.69348,0,3.19563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d44,66.25834,14.85811,17.6158,1.26775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d45,85.85821,3.74931,9.9528,0.43969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d53,67.53988,8.13504,16.9789,1.46484,5.88135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19,72.72041,3.93751,14.51288,1.54636,3.66717,1.58305,1.11509,0.91754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-colon,74.41438,4.44684,15.92951,0.80869,4.34394,0,0,0.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d37,14.88151,69.08031,4.3921,11.64609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d44,73.93114,11.16746,13.46237,1.43903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d45,53.97723,9.21207,33.57691,3.23379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d49,61.323,10.53664,23.59549,1.92929,2.61558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d53,69.69687,7.19481,16.25061,1.16338,5.69433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,63.90964,19.58402,12.8492,2.04457,1.61258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3-colon,74.81502,2.33101,18.51596,1.16085,3.17716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3-d33,0.17999,97.0409,0,2.77912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3-d44,69.05729,10.03222,19.78618,1.1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3-d45,69.64693,12.79533,16.33307,1.22467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3-d53,64.89535,6.82437,20.6894,1.13475,6.45614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4-d33,5.59725,55.13516,0,39.26759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4-d44,72.98907,9.63148,15.82774,1.52302,0.02869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4-d45,66.96884,2.40464,30.62652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4-d53,70.86327,7.05318,14.67526,1.27466,6.13363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5-d34,10.99422,17.46433,0.24155,71.29989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5-d44,71.48558,7.81436,19.02976,1.6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5-d45,76.69648,5.70595,16.02173,1.57584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5-d53,71.1498,6.60598,15.24924,1.21093,5.78406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6-d33,0.10102,13.45539,0,86.44359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6-d37,4.7698,60.15451,0.98104,34.09464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6-d44,53.23836,21.39518,22.64526,2.72121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6-d49,75.09269,3.84863,15.67005,1.30648,4.08214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6-d53,75.19974,5.92764,12.22493,1.14587,5.34375,0.15807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7-d33,1.37995,39.77232,0,58.84773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7-d38,11.42444,62.78046,9.16195,16.63315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7-d44,62.99491,15.46695,20.0141,1.52403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7-d45,73.35022,10.02705,15.03512,1.58762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7-d53,61.6641,10.62078,19.81234,1.79079,6.03236,0,0,0.07964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d35,1.27668,93.05069,0,5.67263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d38,38.32331,19.11827,20.88168,21.67674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d44,58.50809,12.32621,25.0592,4.1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d45,69.05419,5.84475,22.60384,2.49721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8-d53,71.73469,5.85754,15.57288,1.12861,5.70629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_COLON,16.1756,0,0,51.80815,0,0,0,0,0,32.01625,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D0,5.59076,0,0,44.97985,0,0,0,0,0,5.81218,43.61721,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D1,0.33459,0,0,89.60055,0,0,0,0,0,0.26921,9.79566,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO1_D3,3.15861,0,0,96.84139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO2_COLON,42.2165,0,0,43.21215,0,0,0,0,0,14.57135,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO2_D0,10.44391,0.20283,0,30.49291,0,0,0,0,0,10.64572,48.21463,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO2_D3,0.30377,0,0,99.69623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_COLON,1.37764,0,0,4.56523,0,0,0,0,0,94.05712,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_D1,23.99699,0,0,49.58784,0,0,0,0,0,26.41518,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_D3,5.41554,0,0,4.18388,0,0,0,0,0,90.40058,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_COLON,32.57173,0,0,43.26364,0,0,0,0,0,24.16463,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D0,3.43882,0,0,9.77129,0,0,0,0,0,77.75885,7.97338,1.05766,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D1,99.64668,0,0,0.35332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D3,67.88715,0,0,32.11285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_COLON,49.16072,0,0,6.98937,0,0,0,0,0,33.8989,7.51078,2.44024,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_D0,4.33203,0,0,19.54352,0,0,0,0,0,1.34581,74.77864,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_D3,9.70827,1.64461,0,3.35597,0,0,0,0,0,70.6241,13.09525,1.57181,0,0,0,0,0,0,0,0,0,0
CONV_PBS2_COLON,29.74769,0,0,1.433,0,0,0,0,0,60.23488,6.6942,1.89022,0,0,0,0,0,0,0,0,0,0
CONV_PBS2_D1,13.52174,1.12966,0,7.94678,0,0,0,0,0,51.79965,21.99303,3.508,0.10116,0,0,0,0,0,0,0,0,0
CONV_PBS2_D3,7.65862,0,0,3.14713,0,0,0,0,0,74.31692,12.72496,2.15237,0,0,0,0,0,0,0,0,0,0
CONV_PBS3_COLON,46.59387,0,0,0,0,0,0,0,0,47.30147,5.25609,0.84857,0,0,0,0,0,0,0,0,0,0
CONV_PBS3_D1,34.88361,5.56644,22.16733,7.62189,0,4.01006,0,0,0,13.9034,11.0466,0.80066,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_COLON,29.27232,0,0,0,0,0,0,0,0,54.79447,13.50345,2.42976,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_D0,5.39144,0.21468,0,1.35989,0,0,0,0,0,76.86505,14.99767,1.17127,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_D1,18.15167,0.27939,0,0.13255,0,0,0,0,0,63.7768,15.74604,1.83929,0.07425,0,0,0,0,0,0,0,0,0
CONV_PBS4_D3,5.49936,0.04449,0,2.78885,0,0,0,0,0,75.19666,14.06691,2.29928,0.10446,0,0,0,0,0,0,0,0,0
GF1_A10,61.02846,11.09603,19.24484,2.73172,2.66641,2.85365,0,0.37889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B_mom_d32,55.94312,6.54682,20.10749,3.3564,5.29674,4.00878,2.12565,2.61501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B10,51.10186,9.01956,31.11821,2.79574,4.14865,0.96112,0.85487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B14,75.82995,3.45688,14.19298,1.83001,3.20471,0.62456,0.86091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B17,60.46195,7.25958,19.29567,2.36627,4.77978,2.2964,1.77103,1.76933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B25,64.06079,4.6133,15.91911,1.65911,4.90961,3.95711,1.76194,3.11903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B3_d38,59.13489,6.85241,31.03343,0.67903,0,2.11314,0,0.18711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B5_D38,57.2443,7.16899,33.25909,2.32762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B6_d38,66.4014,5.85102,25.98555,1.76203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B7_D38,70.22904,4.88654,21.93516,2.94926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C_mom_d32,66.64622,3.97899,17.44232,1.89193,3.74119,3.72307,0,2.57628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C10,59.93828,10.22807,21.12827,2.3865,2.81619,1.90941,1.4866,0.10668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C14,60.45245,6.64195,21.65192,2.39429,4.73888,1.92098,0.7504,1.44912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C17,64.15566,4.38761,22.00848,2.00809,3.87555,1.67323,0.54906,1.34234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C25,65.7136,5.25918,19.98492,1.92148,2.81354,1.83938,0.95486,1.51305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C4_d39,58.44652,10.13473,18.18167,13.23708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C6_d39,38.64275,13.50917,28.50523,19.34285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_C7_d39,30.98996,11.37139,31.28764,26.35101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_INOC_GF1,18.53018,56.20466,4.33475,9.30515,11.46037,0.03714,0,0.05614,0.07161,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A_DAM_D0,12.90501,68.08031,3.84636,7.57537,7.59296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_COLON_D35,4.68874,81.42365,0.6376,9.10604,4.14397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d101,0.32224,75.01317,0,24.66459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d104_colon,66.36981,3.15043,30.47976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d127_colon,57.1922,18.8082,17.03481,1.38359,5.58121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_D32,42.69523,24.04779,20.07998,6.90207,5.96891,0.23631,0.0697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_D34,3.72995,90.46194,0,5.8081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d77,0,94.25334,0,5.74666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d79,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A1_d80_colon,12.44228,72.85906,0.63293,14.06572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_COLON_D35,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d101,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d103,0.15079,97.80008,0,2.04913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d104_colon,1.18491,94.63025,0.0691,4.11575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d127_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_D32,38.39292,19.09123,25.76183,8.59217,7.82784,0.22497,0.10904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_D33,3.42923,93.98352,0.13743,2.44982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_D34,13.5129,77.78492,3.1799,4.36083,1.16145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d77,0,91.34202,0,8.65798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A2_d79,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_COLON_D35,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_d104_colon,39.74331,15.99554,37.1432,1.13702,4.51583,1.09863,0,0.35403,0.01245,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_D33,0.87464,96.61965,0.64635,1.85936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_D34,9.26172,83.11604,2.2589,4.20296,1.16038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_d79,0,93.64785,0,6.35215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A3_d80_colon,3.74048,94.80328,1.01102,0.44522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A4_d101,0.78554,96.46504,0,2.74942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A4_d104_colon,77.40539,3.71776,18.87685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A4_d77,0,93.17815,0,6.82185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A5_d101,0,98.68413,0,1.31587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A5_d104_colon,0,95.59238,0,4.40762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A5_d127_colon,0,84.45672,15.54328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A56_d101,0.2386,96.77465,0,2.98674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A6_d102,12.82376,82.36003,1.90886,2.90735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A6_d103,39.71884,49.01188,9.63699,1.6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A6_d104_colon,40.35281,42.88675,16.76044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A7_d103,0,99.57241,0,0.42759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A7_d104_colon,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A7_d127_colon,0,99.55735,0,0.44265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF10_A8_d102,0,99.20868,0,0.79132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
