Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae,Campylobacteraceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Sphingomonadaceae,Corynebacteriaceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF20_d0_inoc,36.41927,34.77182,13.35631,6.23767,4.53442,2.47017,1.57718,0.37415,0.25901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d161_b6,0,0,0,0.05118,99.94882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d35_a3,0,0,0,0,75.0721,0,0,0,0,24.68436,0.24354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d19_dama,0.43937,4.32707,5.03338,0.47033,4.3,0,59.98579,0,0,2.80462,0,15.08686,7.55259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d35_c1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d47_dama,0.21676,5.00091,50.32305,3.68239,13.18747,0,14.54251,0,0,7.38367,0,2.56214,3.1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d47_damc,0.98178,12.68241,32.19154,2.91932,15.73811,0,8.37576,0,0,8.1858,0,3.48915,15.43613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a6,0,0.09027,0,0,99.61556,0,0,0,0,0.29416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d56_c2,0,0.44933,0,0,99.55067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
