Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter,Peptoniphilus,Campylobacter,Gemella,Bacteroides,Akkermansia,Lactobacillus,Blautia,Lachnoclostridium,Parasutterella,Proteobacteria_unclassified,Turicimonas,Sphingomonas,Negativicoccus,Actinomyces,Corynebacterium,Aeriscardovia,Mycobacteroides,Lachnospiraceae_unclassified,Acutalibacter,Anaerotruncus,Dorea,Enterorhabdus,Oscillibacter,Cutibacterium,Fusobacterium,Serratia,Leclercia,Pedobacter,Delftia,Paenibacillus,Acinetobacter
GF20_d0_inoc,34.77182,28.40982,13.35631,8.00946,6.23767,3.15082,2.47017,1.57718,1.3836,0.37415,0.25901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d161_b6,0,0,0,0,0.05118,91.24548,0,0,8.70335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d35_a3,0,0,0,0,0,68.87012,0,0,6.20198,0,0,24.68436,0.24354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d19_dama,4.32707,0.06055,5.03338,0.37881,0.47033,3.78747,0,59.98579,0.44737,0,0,0.90098,0,15.08686,7.55259,1.90364,0.06516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d35_c1,0,0,0,0,0,0.8245,0,0,0,0,0,0,0,0,0,0,99.1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d47_dama,5.00091,0,50.32305,0.21676,3.68239,9.84813,0,14.54251,2.21644,0,0,6.52505,0,2.56214,3.1011,0.85861,1.12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d47_damc,12.68241,0.13687,32.19154,0.84491,2.91932,11.33379,0,8.37576,3.37564,0,0,5.25822,0,3.48915,15.43613,2.92759,1.02867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a1,0,0,0,0,0,27.22273,0,0,0,0,0,0,0,0,0,0,72.77727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a6,0.09027,0,0,0,0,3.72419,0,0,1.50268,0,0,0,0,0,0,0.29416,94.3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d56_c2,0.44933,0,0,0,0,12.65785,0,0,0,0,0,0,0,0,0,0,86.89282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
