Sample,taxa,abundance
B1,Clostridiaceae,67.37624
B1,Enterobacteriaceae,22.25249
B1,Erysipelotrichaceae,4.02032
B1,Peptostreptococcaceae,3.74039
B1,Enterococcaceae,2.32868
B1,Veillonellaceae,0.14474
B1,Morganellaceae,0.13714
B1-colon,Clostridiaceae,64.96095
B1-colon,Erysipelotrichaceae,13.83594
B1-colon,Peptostreptococcaceae,10.87534
B1-colon,Veillonellaceae,6.06231
B1-colon,Peptoniphilaceae,1.70243
B1-colon,Enterobacteriaceae,1.49469
B1-colon,Campylobacteraceae,0.59563
B1-colon,Actinomycetaceae,0.38186
B1-colon,Enterococcaceae,0.09085
B1-d31,Enterobacteriaceae,92.97443
B1-d31,Enterococcaceae,3.55941
B1-d31,Clostridiaceae,1.78602
B1-d31,Peptostreptococcaceae,1.28649
B1-d31,Morganellaceae,0.39366
b1-d33,Enterobacteriaceae,74.85403
b1-d33,Clostridiaceae,11.27706
b1-d33,Enterococcaceae,6.05101
b1-d33,Morganellaceae,3.75844
b1-d33,Peptostreptococcaceae,3.0703
b1-d33,Erysipelotrichaceae,0.6068
b1-d33,Peptoniphilaceae,0.38236
B1-d39,Clostridiaceae,48.15972
B1-d39,Erysipelotrichaceae,26.3323
B1-d39,Enterobacteriaceae,11.05367
B1-d39,Peptostreptococcaceae,8.0975
B1-d39,Veillonellaceae,2.62734
B1-d39,Enterococcaceae,1.64942
B1-d39,Peptoniphilaceae,1.0478
B1-d39,Morganellaceae,0.90927
B1-d39,Bacillales_unclassified,0.12297
B1-d40,Clostridiaceae,44.3966
B1-d40,Erysipelotrichaceae,24.82659
B1-d40,Enterobacteriaceae,14.71904
B1-d40,Peptostreptococcaceae,8.88552
B1-d40,Veillonellaceae,3.47227
B1-d40,Enterococcaceae,1.56764
B1-d40,Peptoniphilaceae,1.04469
B1-d40,Morganellaceae,0.96898
B1-d40,Bacillales_unclassified,0.11868
B1-d48,Clostridiaceae,57.6682
B1-d48,Erysipelotrichaceae,17.34769
B1-d48,Peptostreptococcaceae,8.70245
B1-d48,Veillonellaceae,6.09007
B1-d48,Enterobacteriaceae,5.14185
B1-d48,Campylobacteraceae,1.46598
B1-d48,Enterococcaceae,1.46147
B1-d48,Peptoniphilaceae,1.10832
B1-d48,Morganellaceae,0.7257
B1-d48,Actinomycetaceae,0.20184
B1-d48,Bacillales_unclassified,0.08642
B19,Clostridiaceae,52.4373
B19,Erysipelotrichaceae,21.42473
B19,Peptostreptococcaceae,9.45234
B19,Enterobacteriaceae,4.97716
B19,Veillonellaceae,3.46248
B19,Actinomycetaceae,2.43851
B19,Peptoniphilaceae,2.09112
B19,Campylobacteraceae,1.62405
B19,Enterococcaceae,1.45915
B19,Morganellaceae,0.63317
B2-d29,Enterobacteriaceae,99.76684
B2-d29,Enterococcaceae,0.23316
b2-d33,Enterobacteriaceae,68.40204
b2-d33,Clostridiaceae,20.59602
b2-d33,Erysipelotrichaceae,4.53197
b2-d33,Peptostreptococcaceae,3.45998
b2-d33,Enterococcaceae,1.54524
b2-d33,Peptoniphilaceae,1.37785
b2-d33,Morganellaceae,0.08691
B2-d39,Clostridiaceae,56.90304
B2-d39,Erysipelotrichaceae,20.18957
B2-d39,Enterobacteriaceae,10.11625
B2-d39,Peptostreptococcaceae,8.34278
B2-d39,Enterococcaceae,3.12273
B2-d39,Morganellaceae,0.96028
B2-d39,Veillonellaceae,0.36534
B3,Clostridiaceae,72.22489
B3,Erysipelotrichaceae,9.47651
B3,Peptostreptococcaceae,7.0759
B3,Enterobacteriaceae,6.76468
B3,Morganellaceae,1.6167
B3,Veillonellaceae,1.47522
B3,Enterococcaceae,1.36611
B3-d34,Enterobacteriaceae,43.47817
B3-d34,Clostridiaceae,36.25416
B3-d34,Erysipelotrichaceae,14.44297
B3-d34,Enterococcaceae,2.56496
B3-d34,Peptostreptococcaceae,2.35398
B3-d34,Peptoniphilaceae,0.77603
B3-d34,Morganellaceae,0.12973
B3-d39,Clostridiaceae,48.41259
B3-d39,Erysipelotrichaceae,28.55902
B3-d39,Enterobacteriaceae,11.01695
B3-d39,Peptostreptococcaceae,8.5714
B3-d39,Enterococcaceae,1.96526
B3-d39,Veillonellaceae,0.90317
B3-d39,Morganellaceae,0.50469
B3-d39,Peptoniphilaceae,0.06501
B3-d39,Bacillales_unclassified,0.00191
B3-d40,Clostridiaceae,49.18513
B3-d40,Erysipelotrichaceae,17.05069
B3-d40,Enterobacteriaceae,16.5877
B3-d40,Peptostreptococcaceae,7.99005
B3-d40,Enterococcaceae,3.79522
B3-d40,Veillonellaceae,2.90252
B3-d40,Morganellaceae,2.43989
B3-d40,Peptoniphilaceae,0.04723
B3-d40,Bacillales_unclassified,0.00157
B3-d48,Clostridiaceae,58.26368
B3-d48,Erysipelotrichaceae,20.31298
B3-d48,Peptostreptococcaceae,6.89997
B3-d48,Veillonellaceae,5.85557
B3-d48,Enterobacteriaceae,3.37357
B3-d48,Campylobacteraceae,1.45711
B3-d48,Enterococcaceae,1.20745
B3-d48,Actinomycetaceae,1.04427
B3-d48,Morganellaceae,0.7994
B3-d48,Peptoniphilaceae,0.78602
B4-d29,Enterobacteriaceae,97.02814
B4-d29,Clostridiaceae,1.35531
