Sample	Order	Abundance
GF20_d0_inoc	Lactobacillales	37.24198
GF20_d0_inoc	Tissierellales	36.41927
GF20_d0_inoc	Actinomycetales	13.35631
GF20_d0_inoc	Bifidobacteriales	6.23767
GF20_d0_inoc	Enterobacterales	4.53442
GF20_d0_inoc	Clostridiales	1.57718
GF20_d0_inoc	Bacillales	0.37415
GF20_d0_inoc	Veillonellales	0.25901
GF20_d161_b6	Enterobacterales	99.94882
GF20_d161_b6	Bifidobacteriales	0.05118
GF20_d35_a3	Enterobacterales	99.75646
GF20_d35_a3	Pseudomonadales	0.24354
GF23_d19_dama	Clostridiales	75.07265
GF23_d19_dama	Erysipelotrichales	7.55259
GF23_d19_dama	Enterobacterales	7.10462
GF23_d19_dama	Actinomycetales	5.03338
GF23_d19_dama	Lactobacillales	4.32707
GF23_d19_dama	Bifidobacteriales	0.47033
GF23_d19_dama	Tissierellales	0.43937
GF23_d35_c1	Enterobacterales	100
GF23_d47_dama	Actinomycetales	50.32305
GF23_d47_dama	Enterobacterales	20.57114
GF23_d47_dama	Clostridiales	17.10465
GF23_d47_dama	Lactobacillales	5.00091
GF23_d47_dama	Bifidobacteriales	3.68239
GF23_d47_dama	Erysipelotrichales	3.1011
GF23_d47_dama	Tissierellales	0.21676
GF23_d47_damc	Actinomycetales	32.19154
GF23_d47_damc	Enterobacterales	23.92391
GF23_d47_damc	Erysipelotrichales	15.43613
GF23_d47_damc	Lactobacillales	12.68241
GF23_d47_damc	Clostridiales	11.86491
GF23_d47_damc	Bifidobacteriales	2.91932
GF23_d47_damc	Tissierellales	0.98178
GF23_d52_a1	Enterobacterales	100
GF23_d52_a6	Enterobacterales	99.90973
GF23_d52_a6	Lactobacillales	0.09027
GF23_d56_c2	Enterobacterales	99.55067
GF23_d56_c2	Lactobacillales	0.44933
GF23_d57_c4	Enterobacterales	100
GF23_d57_c5	Enterobacterales	100
GF23_damA_32_stool	Actinomycetales	46.85998
GF23_damA_32_stool	Enterobacterales	27.58959
GF23_damA_32_stool	Clostridiales	12.48783
GF23_damA_32_stool	Lactobacillales	6.66451
GF23_damA_32_stool	Erysipelotrichales	5.40589
GF23_damA_32_stool	Bifidobacteriales	0.98403
GF23_damA_32_stool	Tissierellales	0.00817
GF23_damC_10_stool	Clostridiales	47.85608
GF23_damC_10_stool	Bifidobacteriales	37.25817
GF23_damC_10_stool	Enterobacterales	7.0334
GF23_damC_10_stool	Lactobacillales	3.85513
GF23_damC_10_stool	Erysipelotrichales	3.70466
GF23_damC_10_stool	Tissierellales	0.29257
GF23_damC_32_stool	Actinomycetales	55.23432
GF23_damC_32_stool	Enterobacterales	22.00912
GF23_damC_32_stool	Clostridiales	11.88238
GF23_damC_32_stool	Erysipelotrichales	4.79713
GF23_damC_32_stool	Lactobacillales	4.03709
GF23_damC_32_stool	Bifidobacteriales	1.92523
GF23_damC_32_stool	Tissierellales	0.11474
GF24_A10_d131_cwash	Enterobacterales	88.24783
GF24_A10_d131_cwash	Burkholderiales	8.53697
GF24_A10_d131_cwash	Erysipelotrichales	2.08378
