Sample	Phyla	Abundance
GF20_d0_inoc	Firmicutes	75.87159
GF20_d0_inoc	Actinobacteria	19.59399
GF20_d0_inoc	Proteobacteria	4.53442
GF20_d161_b6	Proteobacteria	99.94882
GF20_d161_b6	Actinobacteria	0.05118
GF20_d35_a3	Proteobacteria	100
GF23_d19_dama	Firmicutes	87.39167
GF23_d19_dama	Proteobacteria	7.10462
GF23_d19_dama	Actinobacteria	5.50371
GF23_d35_c1	Proteobacteria	100
GF23_d47_dama	Actinobacteria	54.00544
GF23_d47_dama	Firmicutes	25.42342
GF23_d47_dama	Proteobacteria	20.57114
GF23_d47_damc	Firmicutes	40.96524
GF23_d47_damc	Actinobacteria	35.11085
GF23_d47_damc	Proteobacteria	23.92391
GF23_d52_a1	Proteobacteria	100
GF23_d52_a6	Proteobacteria	99.90973
GF23_d52_a6	Firmicutes	0.09027
GF23_d56_c2	Proteobacteria	99.55067
GF23_d56_c2	Firmicutes	0.44933
GF23_d57_c4	Proteobacteria	100
GF23_d57_c5	Proteobacteria	100
GF23_damA_32_stool	Actinobacteria	47.84401
GF23_damA_32_stool	Proteobacteria	27.58959
GF23_damA_32_stool	Firmicutes	24.5664
GF23_damC_10_stool	Firmicutes	55.70843
GF23_damC_10_stool	Actinobacteria	37.25817
GF23_damC_10_stool	Proteobacteria	7.0334
GF23_damC_32_stool	Actinobacteria	57.15955
GF23_damC_32_stool	Proteobacteria	22.00912
GF23_damC_32_stool	Firmicutes	20.83134
GF24_A10_d131_cwash	Proteobacteria	96.7848
GF24_A10_d131_cwash	Firmicutes	3.2152
GF24_A1_36_stool	Proteobacteria	98.28618
GF24_A1_36_stool	Firmicutes	1.71382
GF24_A1_39_cwash	Proteobacteria	75.44464
GF24_A1_39_cwash	Firmicutes	24.55536
GF24_A1_d108_cwash	Proteobacteria	99.5647
GF24_A1_d108_cwash	Firmicutes	0.4353
GF24_A1_d131_cwash	Proteobacteria	99.41656
GF24_A1_d131_cwash	Firmicutes	0.58344
GF24_A1_d73_stool	Proteobacteria	98.07763
GF24_A1_d73_stool	Firmicutes	1.92237
GF24_A1_d74_cwash	Proteobacteria	91.81433
GF24_A1_d74_cwash	Firmicutes	8.18567
GF24_A2_36_stool	Proteobacteria	93.12354
GF24_A2_36_stool	Firmicutes	6.87646
GF24_A2_39_cwash	Firmicutes	64.76453
GF24_A2_39_cwash	Proteobacteria	35.23547
GF24_A2_d108_cwash	Proteobacteria	95.10892
GF24_A2_d108_cwash	Firmicutes	4.89108
GF24_A2_d131_cwash	Proteobacteria	99.60663
GF24_A2_d131_cwash	Firmicutes	0.39337
GF24_A2_d73_stool	Proteobacteria	98.62288
GF24_A2_d73_stool	Firmicutes	1.37712
GF24_A3_37_stool	Proteobacteria	99.34045
GF24_A3_37_stool	Firmicutes	0.65955
GF24_A3_38_stool	Proteobacteria	96.27519
GF24_A3_38_stool	Firmicutes	3.72481
GF24_A3_39_cwash	Proteobacteria	57.47634
GF24_A3_39_cwash	Firmicutes	42.52366
GF24_A3_d108_cwash	Proteobacteria	86.9732
GF24_A3_d108_cwash	Firmicutes	13.0268
GF24_A3_d131_cwash	Proteobacteria	93.24977
GF24_A3_d131_cwash	Firmicutes	6.75023
GF24_A4_38_stool	Firmicutes	52.17751
GF24_A4_38_stool	Proteobacteria	47.82249
GF24_A4_39_cwash	Firmicutes	80.07201
GF24_A4_39_cwash	Proteobacteria	19.92799
GF24_A4_d108_cwash	Proteobacteria	94.03565
GF24_A4_d108_cwash	Firmicutes	5.96435
GF24_A4_d131_cwash	Proteobacteria	94.75602
GF24_A4_d131_cwash	Firmicutes	5.24398
GF24_A4_d74_cwash	Proteobacteria	97.14972
