Sample	Species	Abundance
GF20_d0_inoc	Enterococcus_faecalis	34.77182
GF20_d0_inoc	Anaerococcus_vaginalis	28.37885
GF20_d0_inoc	Varibaculum_cambriense	13.35631
GF20_d0_inoc	Finegoldia_magna	8.00946
GF20_d0_inoc	Bifidobacterium_breve	6.23767
GF20_d0_inoc	Escherichia_coli	3.15082
GF20_d0_inoc	Streptococcus_thermophilus	1.89764
GF20_d0_inoc	Citrobacter_freundii	1.3836
GF20_d0_inoc	Clostridium_neonatale	1.11819
GF20_d0_inoc	Streptococcus_gordonii	0.57253
GF20_d0_inoc	Clostridium_paraputrificum	0.45899
GF20_d0_inoc	Staphylococcus_aureus	0.37415
GF20_d0_inoc	Veillonella_parvula	0.25901
GF20_d0_inoc	Anaerococcus_hydrogenalis	0.03097
GF20_d161_b6	Escherichia_coli	91.24548
GF20_d161_b6	Citrobacter_freundii	8.70335
GF20_d161_b6	Bifidobacterium_breve	0.05118
GF20_d35_a3	Escherichia_coli	68.87012
GF20_d35_a3	Morganella_morganii	24.68436
GF20_d35_a3	Citrobacter_freundii	6.20198
GF20_d35_a3	Pseudomonas_aeruginosa_group	0.24354
GF23_d19_dama	Clostridium_perfringens	49.16861
GF23_d19_dama	Clostridioides_difficile	15.08686
GF23_d19_dama	Clostridium_neonatale	8.40245
GF23_d19_dama	Clostridium_innocuum	7.55259
GF23_d19_dama	Varibaculum_cambriense	5.03338
GF23_d19_dama	Enterococcus_faecalis	4.32707
GF23_d19_dama	Escherichia_coli	3.78747
GF23_d19_dama	Proteus_mirabilis	1.90364
GF23_d19_dama	Clostridium_paraputrificum	1.21846
GF23_d19_dama	Morganella_morganii	0.90098
GF23_d19_dama	Clostridium_sp_7_2_43FAA	0.88385
GF23_d19_dama	Bifidobacterium_breve	0.47033
GF23_d19_dama	Citrobacter_freundii	0.44737
GF23_d19_dama	Finegoldia_magna	0.37881
GF23_d19_dama	Clostridium_butyricum	0.31241
GF23_d19_dama	Klebsiella_oxytoca	0.06516
GF23_d19_dama	Anaerococcus_hydrogenalis	0.06055
GF23_d35_c1	Klebsiella_aerogenes	96.48937
GF23_d35_c1	Klebsiella_pneumoniae	2.68613
GF23_d35_c1	Escherichia_coli	0.8245
GF23_d47_dama	Varibaculum_cambriense	50.32305
GF23_d47_dama	Clostridium_perfringens	12.54967
GF23_d47_dama	Escherichia_coli	9.84813
GF23_d47_dama	Morganella_morganii	6.52505
GF23_d47_dama	Enterococcus_faecalis	5.00091
GF23_d47_dama	Bifidobacterium_breve	3.68239
GF23_d47_dama	Clostridium_innocuum	3.1011
GF23_d47_dama	Clostridioides_difficile	2.56214
GF23_d47_dama	Citrobacter_freundii	2.21644
GF23_d47_dama	Clostridium_neonatale	1.79587
GF23_d47_dama	Klebsiella_oxytoca	1.12291
GF23_d47_dama	Proteus_mirabilis	0.85861
GF23_d47_dama	Finegoldia_magna	0.21676
GF23_d47_dama	Clostridium_sp_7_2_43FAA	0.16614
GF23_d47_dama	Clostridium_paraputrificum	0.03083
GF23_d47_damc	Varibaculum_cambriense	32.19154
GF23_d47_damc	Clostridium_innocuum	15.43613
GF23_d47_damc	Enterococcus_faecalis	12.68241
GF23_d47_damc	Escherichia_coli	11.33379
GF23_d47_damc	Morganella_morganii	5.25822
GF23_d47_damc	Clostridium_perfringens	4.72341
GF23_d47_damc	Clostridioides_difficile	3.48915
GF23_d47_damc	Citrobacter_freundii	3.37564
GF23_d47_damc	Proteus_mirabilis	2.92759
GF23_d47_damc	Bifidobacterium_breve	2.91932
GF23_d47_damc	Clostridium_neonatale	2.74106
GF23_d47_damc	Klebsiella_oxytoca	1.02867
GF23_d47_damc	Finegoldia_magna	0.84491
GF23_d47_damc	Clostridium_butyricum	0.54678
GF23_d47_damc	Clostridium_paraputrificum	0.36451
