Sample,taxa,abundance
B1,Clostridium,67.37624
B1,Klebsiella,22.15504
B1,Erysipelatoclostridium,4.02032
B1,Clostridioides,3.74039
B1,Enterococcus,2.32868
B1,Veillonella,0.14474
B1,Proteus,0.13714
B1,Citrobacter,0.081
B1,Escherichia,0.01645
B1-colon,Clostridium,64.96095
B1-colon,Erysipelatoclostridium,13.83594
B1-colon,Clostridioides,10.87534
B1-colon,Veillonella,6.06231
B1-colon,Peptoniphilus,1.70243
B1-colon,Klebsiella,1.49469
B1-colon,Campylobacter,0.59563
B1-colon,Varibaculum,0.38186
B1-colon,Enterococcus,0.09085
B1-d31,Klebsiella,92.97443
B1-d31,Enterococcus,3.55941
B1-d31,Clostridium,1.78602
B1-d31,Clostridioides,1.28649
B1-d31,Proteus,0.39366
b1-d33,Klebsiella,74.47348
b1-d33,Clostridium,11.27706
b1-d33,Enterococcus,6.05101
b1-d33,Proteus,3.75844
b1-d33,Clostridioides,3.0703
b1-d33,Erysipelatoclostridium,0.6068
b1-d33,Finegoldia,0.38236
b1-d33,Escherichia,0.38056
B1-d39,Clostridium,48.15972
B1-d39,Erysipelatoclostridium,26.3323
B1-d39,Klebsiella,8.61588
B1-d39,Clostridioides,8.0975
B1-d39,Veillonella,2.62734
B1-d39,Citrobacter,1.68274
B1-d39,Enterococcus,1.64942
B1-d39,Peptoniphilus,1.0478
B1-d39,Proteus,0.90927
B1-d39,Escherichia,0.75505
B1-d39,Gemella,0.12297
B1-d40,Clostridium,44.3966
B1-d40,Erysipelatoclostridium,24.82659
B1-d40,Klebsiella,10.90262
B1-d40,Clostridioides,8.88552
B1-d40,Veillonella,3.47227
B1-d40,Citrobacter,2.40546
B1-d40,Enterococcus,1.56764
B1-d40,Escherichia,1.41095
B1-d40,Peptoniphilus,1.04469
B1-d40,Proteus,0.96898
B1-d40,Gemella,0.11868
B1-d48,Clostridium,57.6682
B1-d48,Erysipelatoclostridium,17.34769
B1-d48,Clostridioides,8.70245
B1-d48,Veillonella,6.09007
B1-d48,Klebsiella,4.20876
B1-d48,Campylobacter,1.46598
B1-d48,Enterococcus,1.46147
B1-d48,Peptoniphilus,1.10832
B1-d48,Citrobacter,0.89302
B1-d48,Proteus,0.7257
B1-d48,Varibaculum,0.20184
B1-d48,Gemella,0.08642
B1-d48,Escherichia,0.04007
B19,Clostridium,52.4373
B19,Erysipelatoclostridium,21.42473
B19,Clostridioides,9.45234
B19,Klebsiella,4.27581
B19,Veillonella,3.46248
B19,Varibaculum,2.43851
B19,Peptoniphilus,1.81373
B19,Campylobacter,1.62405
B19,Enterococcus,1.45915
B19,Proteus,0.63317
B19,Citrobacter,0.39206
B19,Escherichia,0.30929
B19,Finegoldia,0.27738
B2-d29,Klebsiella,99.76684
B2-d29,Enterococcus,0.23316
b2-d33,Klebsiella,67.3999
b2-d33,Clostridium,20.59602
b2-d33,Erysipelatoclostridium,4.53197
b2-d33,Clostridioides,3.45998
b2-d33,Enterococcus,1.54524
b2-d33,Finegoldia,1.37785
b2-d33,Escherichia,0.95032
b2-d33,Proteus,0.08691
b2-d33,Citrobacter,0.05182
B2-d39,Clostridium,56.90304
B2-d39,Erysipelatoclostridium,20.18957
B2-d39,Clostridioides,8.34278
B2-d39,Klebsiella,8.30665
B2-d39,Enterococcus,3.12273
B2-d39,Citrobacter,1.6268
B2-d39,Proteus,0.96028
B2-d39,Veillonella,0.36534
B2-d39,Escherichia,0.1828
B3,Clostridium,72.22489
B3,Erysipelatoclostridium,9.47651
B3,Clostridioides,7.0759
B3,Klebsiella,4.77541
B3,Citrobacter,1.91257
B3,Proteus,1.6167
B3,Veillonella,1.47522
B3,Enterococcus,1.36611
B3,Escherichia,0.0767
B3-d34,Klebsiella,38.47379
B3-d34,Clostridium,36.25416
B3-d34,Erysipelatoclostridium,14.44297
B3-d34,Citrobacter,4.20943
B3-d34,Enterococcus,2.56496
B3-d34,Clostridioides,2.35398
B3-d34,Escherichia,0.79495
B3-d34,Finegoldia,0.77603
B3-d34,Proteus,0.12973
B3-d39,Clostridium,48.41259
B3-d39,Erysipelatoclostridium,28.55902
B3-d39,Klebsiella,8.65824
B3-d39,Clostridioides,8.5714
B3-d39,Enterococcus,1.96526
B3-d39,Escherichia,1.54964
B3-d39,Veillonella,0.90317
B3-d39,Citrobacter,0.80907
B3-d39,Proteus,0.50469
B3-d39,Peptoniphilus,0.06501
B3-d39,Gemella,0.00191
B3-d40,Clostridium,49.18513
B3-d40,Erysipelatoclostridium,17.05069
B3-d40,Klebsiella,14.27319
B3-d40,Clostridioides,7.99005
B3-d40,Enterococcus,3.79522
B3-d40,Veillonella,2.90252
B3-d40,Proteus,2.43989
B3-d40,Escherichia,1.42713
B3-d40,Citrobacter,0.88739
B3-d40,Peptoniphilus,0.04723
B3-d40,Gemella,0.00157
B3-d48,Clostridium,58.26368
B3-d48,Erysipelatoclostridium,20.31298
B3-d48,Clostridioides,6.89997
B3-d48,Veillonella,5.85557
B3-d48,Klebsiella,2.38656
B3-d48,Campylobacter,1.45711
B3-d48,Enterococcus,1.20745
B3-d48,Varibaculum,1.04427
B3-d48,Citrobacter,0.94979
B3-d48,Proteus,0.7994
B3-d48,Peptoniphilus,0.77345
B3-d48,Escherichia,0.03722
B3-d48,Finegoldia,0.01257
B4-d29,Klebsiella,97.02814
B4-d29,Clostridium,1.35531
B4-d29,Enterococcus,1.09048
B4-d29,Clostridioides,0.52607
B4-d34,Klebsiella,66.33809
B4-d34,Clostridium,23.94357
B4-d34,Erysipelatoclostridium,3.5878
B4-d34,Clostridioides,2.77435
B4-d34,Enterococcus,2.37855
B4-d34,Proteus,0.3787
