Sample,taxa,abundance
B1,Clostridium_perfringens,42.43816
B1,Clostridium_neonatale,19.78006
B1,Klebsiella_aerogenes,17.06258
B1,Klebsiella_oxytoca,4.78647
B1,Clostridium_innocuum,4.02032
B1,Clostridioides_difficile,3.74039
B1,Clostridium_paraputrificum,3.70856
B1,Enterococcus_faecalis,2.32868
B1,Clostridium_sp_7_2_43FAA,1.44946
B1,Klebsiella_pneumoniae,0.27576
B1,Veillonella_parvula,0.14474
B1,Proteus_mirabilis,0.13714
B1,Citrobacter_freundii,0.081
B1,Klebsiella_michiganensis,0.03022
B1,Escherichia_coli,0.01645
B1-colon,Clostridium_perfringens,51.91415
B1-colon,Clostridium_innocuum,13.83594
B1-colon,Clostridioides_difficile,10.87534
B1-colon,Clostridium_neonatale,10.53169
B1-colon,Veillonella_parvula,6.06231
B1-colon,Clostridium_paraputrificum,2.16178
B1-colon,Peptoniphilus_harei,1.70243
B1-colon,Klebsiella_michiganensis,1.49469
B1-colon,Campylobacter_ureolyticus,0.59563
B1-colon,Varibaculum_cambriense,0.38186
B1-colon,Clostridium_sp_7_2_43FAA,0.35333
B1-colon,Enterococcus_faecalis,0.09085
B1-d31,Klebsiella_aerogenes,92.59723
B1-d31,Enterococcus_faecalis,3.55941
B1-d31,Clostridium_perfringens,1.7178
B1-d31,Clostridioides_difficile,1.28649
B1-d31,Proteus_mirabilis,0.39366
B1-d31,Klebsiella_pneumoniae,0.2838
B1-d31,Klebsiella_oxytoca,0.0934
B1-d31,Clostridium_paraputrificum,0.06821
b1-d33,Klebsiella_aerogenes,73.62188
b1-d33,Clostridium_perfringens,7.74815
b1-d33,Enterococcus_faecalis,6.05101
b1-d33,Proteus_mirabilis,3.71099
b1-d33,Clostridium_paraputrificum,3.52891
b1-d33,Clostridioides_difficile,3.0703
b1-d33,Klebsiella_pneumoniae,0.85159
b1-d33,Clostridium_innocuum,0.6068
b1-d33,Finegoldia_magna,0.38236
b1-d33,Escherichia_coli,0.38056
b1-d33,Proteus_hauseri,0.04745
B1-d39,Clostridium_perfringens,29.23644
B1-d39,Clostridium_innocuum,26.3323
B1-d39,Clostridium_paraputrificum,10.89593
B1-d39,Clostridioides_difficile,8.0975
B1-d39,Klebsiella_oxytoca,5.74126
B1-d39,Clostridium_neonatale,4.96458
B1-d39,Clostridium_sp_7_2_43FAA,3.06276
B1-d39,Klebsiella_michiganensis,2.78887
B1-d39,Veillonella_parvula,2.62734
B1-d39,Enterococcus_faecalis,1.64942
B1-d39,Citrobacter_amalonaticus,1.35645
B1-d39,Peptoniphilus_harei,1.0478
B1-d39,Proteus_mirabilis,0.89133
B1-d39,Escherichia_coli,0.75505
B1-d39,Citrobacter_freundii,0.20769
B1-d39,Gemella_asaccharolytica,0.12297
B1-d39,Citrobacter_youngae,0.1186
B1-d39,Klebsiella_aerogenes,0.05
B1-d39,Klebsiella_pneumoniae,0.03574
B1-d39,Proteus_hauseri,0.01794
B1-d40,Clostridium_innocuum,24.82659
B1-d40,Clostridium_perfringens,22.56181
B1-d40,Clostridioides_difficile,8.88552
B1-d40,Clostridium_paraputrificum,8.362
B1-d40,Clostridium_neonatale,8.02063
B1-d40,Klebsiella_oxytoca,5.85844
B1-d40,Clostridium_sp_7_2_43FAA,5.45217
B1-d40,Klebsiella_michiganensis,4.91172
B1-d40,Veillonella_parvula,3.47227
B1-d40,Enterococcus_faecalis,1.56764
B1-d40,Escherichia_coli,1.41095
B1-d40,Citrobacter_amalonaticus,1.35914
B1-d40,Peptoniphilus_harei,1.04469
B1-d40,Proteus_mirabilis,0.96898
B1-d40,Citrobacter_rodentium,0.74664
B1-d40,Citrobacter_freundii,0.21724
B1-d40,Gemella_asaccharolytica,0.11868
B1-d40,Citrobacter_youngae,0.08245
B1-d40,Klebsiella_aerogenes,0.07096
B1-d40,Klebsiella_pneumoniae,0.06151
B1-d48,Clostridium_perfringens,36.61969
B1-d48,Clostridium_innocuum,17.34769
B1-d48,Clostridium_neonatale,16.84203
B1-d48,Clostridioides_difficile,8.70245
B1-d48,Veillonella_parvula,6.09007
B1-d48,Klebsiella_michiganensis,3.40768
B1-d48,Clostridium_paraputrificum,3.13278
B1-d48,Campylobacter_ureolyticus,1.46598
B1-d48,Enterococcus_faecalis,1.46147
B1-d48,Peptoniphilus_harei,1.10832
B1-d48,Clostridium_sp_7_2_43FAA,1.0737
B1-d48,Citrobacter_amalonaticus,0.84716
B1-d48,Proteus_mirabilis,0.7257
B1-d48,Klebsiella_aerogenes,0.67292
B1-d48,Varibaculum_cambriense,0.20184
B1-d48,Klebsiella_oxytoca,0.09051
B1-d48,Gemella_asaccharolytica,0.08642
B1-d48,Escherichia_coli,0.04007
B1-d48,Klebsiella_pneumoniae,0.03765
B1-d48,Citrobacter_freundii,0.02776
B1-d48,Citrobacter_youngae,0.0181
B19,Clostridium_perfringens,32.426
B19,Clostridium_innocuum,21.42473
B19,Clostridium_neonatale,14.25031
B19,Clostridioides_difficile,9.45234
B19,Clostridium_paraputrificum,4.9863
B19,Veillonella_parvula,3.46248
B19,Klebsiella_aerogenes,2.80592
B19,Varibaculum_cambriense,2.43851
B19,Peptoniphilus_harei,1.81373
B19,Campylobacter_ureolyticus,1.62405
B19,Enterococcus_faecalis,1.45915
B19,Klebsiella_oxytoca,0.99808
B19,Clostridium_sp_7_2_43FAA,0.77468
B19,Proteus_mirabilis,0.63317
B19,Klebsiella_michiganensis,0.41786
B19,Citrobacter_amalonaticus,0.35103
B19,Escherichia_coli,0.30929
B19,Finegoldia_magna,0.27738
B19,Klebsiella_pneumoniae,0.05396
B19,Citrobacter_freundii,0.04103
B2-d29,Klebsiella_aerogenes,99.76684
B2-d29,Enterococcus_faecalis,0.23316
b2-d33,Klebsiella_aerogenes,66.68261
b2-d33,Clostridium_perfringens,11.87878
b2-d33,Clostridium_paraputrificum,8.50855
b2-d33,Clostridium_innocuum,4.53197
b2-d33,Clostridioides_difficile,3.45998
b2-d33,Enterococcus_faecalis,1.54524
b2-d33,Finegoldia_magna,1.37785
b2-d33,Escherichia_coli,0.95032
b2-d33,Klebsiella_pneumoniae,0.67252
