Sample	Family	Abundance
GF21_B3_d91_stool	f__Staphylococcaceae	84.3997
GF21_B3_d91_stool	f__Enterococcaceae	15.41695
GF21_B3_d91_stool	f__Alcaligenaceae	0.18335
GF21_B4_d91_stool	f__Enterococcaceae	95.89362
GF21_B4_d91_stool	f__Alcaligenaceae	4.10638
GF21_B6_d93_stool	f__Staphylococcaceae	96.05721
GF21_B6_d93_stool	f__Enterococcaceae	3.94279
GF21_B7_d94_stool	f__Enterococcaceae	100.0
GF21_B9_d93_stool	f__Staphylococcaceae	94.47885
GF21_B9_d93_stool	f__Enterococcaceae	5.52115
GF21_C1_d116_stool	f__Staphylococcaceae	100.0
GF21_C1_d91_stool	f__Enterococcaceae	98.2256
GF21_C1_d91_stool	f__Staphylococcaceae	1.5876
GF21_C1_d91_stool	f__Alcaligenaceae	0.1868
GF21_C2_d115_stool	f__Alcaligenaceae	100.0
GF21_C2_d118_cwash	f__Alcaligenaceae	97.54296
GF21_C2_d118_cwash	f__Ruminococcaceae	2.45704
GF21_C2_d91_stool	f__Staphylococcaceae	82.95751
GF21_C2_d91_stool	f__Enterococcaceae	17.02576
GF21_C2_d91_stool	f__Alcaligenaceae	0.01674
GF21_C3_d116_stool	f__Enterococcaceae	100.0
GF21_C3_d117_stool	f__Staphylococcaceae	77.76605
GF21_C3_d117_stool	f__Alcaligenaceae	22.23395
GF21_C3_d118_cwash	f__Alcaligenaceae	100.0
GF21_C3_d91_stool	f__Staphylococcaceae	97.6639
GF21_C3_d91_stool	f__Enterococcaceae	2.3361
GF21_C4_d118_cwash	f__Staphylococcaceae	100.0
GF21_C5_d117_stool	f__Staphylococcaceae	74.54455
GF21_C5_d117_stool	f__Enterococcaceae	25.45545
GF21_C5_d93_stool	f__Enterococcaceae	98.57744
GF21_C5_d93_stool	f__Alcaligenaceae	1.42256
GF21_C7_d115_stool	f__Staphylococcaceae	97.37554
GF21_C7_d115_stool	f__Enterococcaceae	2.62446
GF21_C7_d118_cwash	f__Alcaligenaceae	100.0
GF21_C8_d115_stool	f__Staphylococcaceae	99.86106
GF21_C8_d115_stool	f__Enterococcaceae	0.13894
GF21_C9_d94_stool	f__Staphylococcaceae	100.0
GF21_Cdam_d113_stool	f__Enterococcaceae	81.27365
GF21_Cdam_d113_stool	f__Staphylococcaceae	10.43267
GF21_Cdam_d113_stool	f__Corynebacteriaceae	8.20252
GF21_Cdam_d113_stool	f__Alcaligenaceae	0.09116
GF21_d0_Adam_Stool	f__Alcaligenaceae	95.13805
GF21_d0_Adam_Stool	f__Comamonadaceae	4.86195
GF21_d0_INOC_INOC	f__Enterococcaceae	63.10216
GF21_d0_INOC_INOC	f__Staphylococcaceae	36.63463
GF21_d0_INOC_INOC	f__Alcaligenaceae	0.26321
GF21_d115_C1_Stool	f__Staphylococcaceae	99.23138
GF21_d115_C1_Stool	f__Enterococcaceae	0.73115
GF21_d115_C1_Stool	f__Alcaligenaceae	0.03747
GF21_d115_C3_Stool	f__Staphylococcaceae	98.72354
GF21_d115_C3_Stool	f__Enterococcaceae	1.27646
GF21_d115_C5_Stool	f__Staphylococcaceae	87.75177
GF21_d115_C5_Stool	f__Enterococcaceae	6.15095
GF21_d115_C5_Stool	f__Alcaligenaceae	5.62121
GF21_d115_C5_Stool	f__Comamonadaceae	0.47608
GF21_d1_Bdam_Stool	f__Enterococcaceae	96.86142
GF21_d1_Bdam_Stool	f__Staphylococcaceae	2.52475
GF21_d1_Bdam_Stool	f__Alcaligenaceae	0.61383
GF21_d35_A1_cwash	f__Alcaligenaceae	95.0472
GF21_d35_A1_cwash	f__Comamonadaceae	3.22713
GF21_d35_A1_cwash	f__Staphylococcaceae	1.72567
GF21_d35_A2_cwash	f__Alcaligenaceae	95.93974
GF21_d35_A2_cwash	f__Comamonadaceae	4.06026
GF21_d35_A3_cwash	f__Alcaligenaceae	100.0
GF21_d35_A4_cwash	f__Alcaligenaceae	95.65374
GF21_d35_A4_cwash	f__Comamonadaceae	4.34626
GF21_d35_A5_cwash	f__Alcaligenaceae	93.1137
GF21_d35_A5_cwash	f__Comamonadaceae	6.8863
GF21_d35_A6_cwash	f__Alcaligenaceae	94.97732
GF21_d35_A6_cwash	f__Comamonadaceae	5.02268
GF21_d35_A7_cwash	f__Alcaligenaceae	79.49894
GF21_d35_A7_cwash	f__Enterococcaceae	15.16312
GF21_d35_A7_cwash	f__Comamonadaceae	5.33794
GF21_d35_B1_cwash	f__Alcaligenaceae	52.74155
GF21_d35_B1_cwash	f__Enterococcaceae	47.25845
GF21_d35_B2_cwash	f__Alcaligenaceae	93.1141
GF21_d35_B2_cwash	f__Comamonadaceae	6.8859
GF21_d35_B3_cwash	f__Alcaligenaceae	66.9711
GF21_d35_B3_cwash	f__Enterococcaceae	33.0289
GF21_d35_B4_cwash	f__Alcaligenaceae	86.27285
GF21_d35_B4_cwash	f__Enterococcaceae	11.43075
GF21_d35_B4_cwash	f__Comamonadaceae	2.2964
GF21_d35_B5_cwash	f__Alcaligenaceae	88.18435
GF21_d35_B5_cwash	f__Comamonadaceae	9.4729
GF21_d35_B5_cwash	f__Staphylococcaceae	2.34275
GF21_d35_B6_cwash	f__Alcaligenaceae	92.49553
GF21_d35_B6_cwash	f__Comamonadaceae	6.5086
GF21_d35_B6_cwash	f__Staphylococcaceae	0.99587
GF21_d35_B7_cwash	f__Alcaligenaceae	63.76474
GF21_d35_B7_cwash	f__Enterococcaceae	30.79831
GF21_d35_B7_cwash	f__Comamonadaceae	5.43695
GF21_d35_B8_cwash	f__Alcaligenaceae	85.77664
GF21_d35_B8_cwash	f__Staphylococcaceae	7.11483
GF21_d35_B8_cwash	f__Comamonadaceae	3.95022
GF21_d35_B8_cwash	f__Enterococcaceae	3.15832
GF21_d36_Bdam_Stool	f__Enterococcaceae	76.81229
GF21_d36_Bdam_Stool	f__Staphylococcaceae	18.8015
GF21_d36_Bdam_Stool	f__Corynebacteriaceae	4.3263
GF21_d36_Bdam_Stool	f__Alcaligenaceae	0.05992
GF21_d58_A10_cwash	f__Alcaligenaceae	96.10359
GF21_d58_A10_cwash	f__Comamonadaceae	3.89641
GF21_d58_A1_cwash	f__Alcaligenaceae	91.01855
GF21_d58_A1_cwash	f__Comamonadaceae	5.1264
GF21_d58_A1_cwash	f__Enterococcaceae	3.85505
GF21_d58_A2_cwash	f__Alcaligenaceae	88.59937
GF21_d58_A2_cwash	f__Comamonadaceae	11.40063
GF21_d58_A3_cwash	f__Alcaligenaceae	88.88747
GF21_d58_A3_cwash	f__Comamonadaceae	10.64536
GF21_d58_A3_cwash	f__Staphylococcaceae	0.46717
GF21_d58_A4_cwash	f__Alcaligenaceae	87.95024
GF21_d58_A4_cwash	f__Enterococcaceae	6.73991
GF21_d58_A4_cwash	f__Comamonadaceae	5.30985
GF21_d58_A5_cwash	f__Alcaligenaceae	87.3075
GF21_d58_A5_cwash	f__Comamonadaceae	12.6925
GF21_d58_A6_cwash	f__Alcaligenaceae	93.51539
GF21_d58_A6_cwash	f__Comamonadaceae	6.48461
GF21_d58_A7_cwash	f__Alcaligenaceae	99.19702
GF21_d58_A7_cwash	f__Comamonadaceae	0.80298
GF21_d58_A8_cwash	f__Enterococcaceae	63.84757
GF21_d58_A8_cwash	f__Alcaligenaceae	36.15243
GF21_d58_A9_cwash	f__Alcaligenaceae	93.51818
GF21_d58_A9_cwash	f__Comamonadaceae	4.59455
GF21_d58_A9_cwash	f__Staphylococcaceae	1.88727
GF21_d58_B1_cwash	f__Enterococcaceae	50.23557
GF21_d58_B1_cwash	f__Alcaligenaceae	49.76443
GF21_d58_B2_cwash	f__Alcaligenaceae	87.7905
GF21_d58_B2_cwash	f__Comamonadaceae	7.45393
GF21_d58_B2_cwash	f__Staphylococcaceae	4.75557
GF21_d58_B3_cwash	f__Alcaligenaceae	89.36646
GF21_d58_B3_cwash	f__Comamonadaceae	10.63354
GF21_d58_B4_cwash	f__Alcaligenaceae	66.18172
GF21_d58_B4_cwash	f__Enterococcaceae	33.81828
GF21_d58_B5_cwash	f__Staphylococcaceae	67.81318
GF21_d58_B5_cwash	f__Alcaligenaceae	32.18682
