Sample	Phylum	Abundance
GF21_B3_d91_stool	p__Firmicutes	99.81665
GF21_B3_d91_stool	p__Proteobacteria	0.18335
GF21_B4_d91_stool	p__Firmicutes	95.89362
GF21_B4_d91_stool	p__Proteobacteria	4.10638
GF21_B6_d93_stool	p__Firmicutes	100.0
GF21_B7_d94_stool	p__Firmicutes	100.0
GF21_B9_d93_stool	p__Firmicutes	100.0
GF21_C1_d116_stool	p__Firmicutes	100.0
GF21_C1_d91_stool	p__Firmicutes	99.8132
GF21_C1_d91_stool	p__Proteobacteria	0.1868
GF21_C2_d115_stool	p__Proteobacteria	100.0
GF21_C2_d118_cwash	p__Proteobacteria	97.54296
GF21_C2_d118_cwash	p__Firmicutes	2.45704
GF21_C2_d91_stool	p__Firmicutes	99.98326
GF21_C2_d91_stool	p__Proteobacteria	0.01674
GF21_C3_d116_stool	p__Firmicutes	100.0
GF21_C3_d117_stool	p__Firmicutes	77.76605
GF21_C3_d117_stool	p__Proteobacteria	22.23395
GF21_C3_d118_cwash	p__Proteobacteria	100.0
GF21_C3_d91_stool	p__Firmicutes	100.0
GF21_C4_d118_cwash	p__Firmicutes	100.0
GF21_C5_d117_stool	p__Firmicutes	100.0
GF21_C5_d93_stool	p__Firmicutes	98.57744
GF21_C5_d93_stool	p__Proteobacteria	1.42256
GF21_C7_d115_stool	p__Firmicutes	100.0
GF21_C7_d118_cwash	p__Proteobacteria	100.0
GF21_C8_d115_stool	p__Firmicutes	100.0
GF21_C9_d94_stool	p__Firmicutes	100.0
GF21_Cdam_d113_stool	p__Firmicutes	91.70632
GF21_Cdam_d113_stool	p__Actinobacteria	8.20252
GF21_Cdam_d113_stool	p__Proteobacteria	0.09116
GF21_d0_Adam_Stool	p__Proteobacteria	100.0
GF21_d0_INOC_INOC	p__Firmicutes	99.73679
GF21_d0_INOC_INOC	p__Proteobacteria	0.26321
GF21_d115_C1_Stool	p__Firmicutes	99.96253
GF21_d115_C1_Stool	p__Proteobacteria	0.03747
GF21_d115_C3_Stool	p__Firmicutes	100.0
GF21_d115_C5_Stool	p__Firmicutes	93.90271
GF21_d115_C5_Stool	p__Proteobacteria	6.09729
GF21_d1_Bdam_Stool	p__Firmicutes	99.38617
GF21_d1_Bdam_Stool	p__Proteobacteria	0.61383
GF21_d35_A1_cwash	p__Proteobacteria	98.27433
GF21_d35_A1_cwash	p__Firmicutes	1.72567
GF21_d35_A2_cwash	p__Proteobacteria	100.0
GF21_d35_A3_cwash	p__Proteobacteria	100.0
GF21_d35_A4_cwash	p__Proteobacteria	100.0
GF21_d35_A5_cwash	p__Proteobacteria	100.0
GF21_d35_A6_cwash	p__Proteobacteria	100.0
GF21_d35_A7_cwash	p__Proteobacteria	84.83688
GF21_d35_A7_cwash	p__Firmicutes	15.16312
GF21_d35_B1_cwash	p__Proteobacteria	52.74155
GF21_d35_B1_cwash	p__Firmicutes	47.25845
GF21_d35_B2_cwash	p__Proteobacteria	100.0
GF21_d35_B3_cwash	p__Proteobacteria	66.9711
GF21_d35_B3_cwash	p__Firmicutes	33.0289
GF21_d35_B4_cwash	p__Proteobacteria	88.56925
GF21_d35_B4_cwash	p__Firmicutes	11.43075
GF21_d35_B5_cwash	p__Proteobacteria	97.65725
GF21_d35_B5_cwash	p__Firmicutes	2.34275
GF21_d35_B6_cwash	p__Proteobacteria	99.00413
GF21_d35_B6_cwash	p__Firmicutes	0.99587
GF21_d35_B7_cwash	p__Proteobacteria	69.20169
GF21_d35_B7_cwash	p__Firmicutes	30.79831
GF21_d35_B8_cwash	p__Proteobacteria	89.72685
GF21_d35_B8_cwash	p__Firmicutes	10.27315
GF21_d36_Bdam_Stool	p__Firmicutes	95.61378
GF21_d36_Bdam_Stool	p__Actinobacteria	4.3263
GF21_d36_Bdam_Stool	p__Proteobacteria	0.05992
GF21_d58_A10_cwash	p__Proteobacteria	100.0
GF21_d58_A1_cwash	p__Proteobacteria	96.14495
GF21_d58_A1_cwash	p__Firmicutes	3.85505
GF21_d58_A2_cwash	p__Proteobacteria	100.0
GF21_d58_A3_cwash	p__Proteobacteria	99.53283
GF21_d58_A3_cwash	p__Firmicutes	0.46717
GF21_d58_A4_cwash	p__Proteobacteria	93.26009
GF21_d58_A4_cwash	p__Firmicutes	6.73991
GF21_d58_A5_cwash	p__Proteobacteria	100.0
GF21_d58_A6_cwash	p__Proteobacteria	100.0
GF21_d58_A7_cwash	p__Proteobacteria	100.0
GF21_d58_A8_cwash	p__Firmicutes	63.84757
GF21_d58_A8_cwash	p__Proteobacteria	36.15243
GF21_d58_A9_cwash	p__Proteobacteria	98.11273
GF21_d58_A9_cwash	p__Firmicutes	1.88727
GF21_d58_B1_cwash	p__Firmicutes	50.23557
GF21_d58_B1_cwash	p__Proteobacteria	49.76443
GF21_d58_B2_cwash	p__Proteobacteria	95.24443
GF21_d58_B2_cwash	p__Firmicutes	4.75557
GF21_d58_B3_cwash	p__Proteobacteria	100.0
GF21_d58_B4_cwash	p__Proteobacteria	66.18172
GF21_d58_B4_cwash	p__Firmicutes	33.81828
GF21_d58_B5_cwash	p__Firmicutes	67.81318
GF21_d58_B5_cwash	p__Proteobacteria	32.18682
GF21_d58_B6_cwash	p__Proteobacteria	100.0
GF21_d58_B7_cwash	p__Firmicutes	84.50306
GF21_d58_B7_cwash	p__Proteobacteria	15.49694
GF21_d58_B8_cwash	p__Firmicutes	50.87494
GF21_d58_B8_cwash	p__Proteobacteria	49.12506
GF21_d58_B9_cwash	p__Firmicutes	64.73226
GF21_d58_B9_cwash	p__Proteobacteria	35.26774
GF21_d62_Bdam_Stool	p__Firmicutes	95.1053
GF21_d62_Bdam_Stool	p__Actinobacteria	4.87622
GF21_d62_Bdam_Stool	p__Proteobacteria	0.01849
GF21_d66_C1_cwash	p__Proteobacteria	83.50278
GF21_d66_C1_cwash	p__Firmicutes	16.49722
GF21_d66_C2_cwash	p__Proteobacteria	100.0
GF21_d66_C3_cwash	p__Proteobacteria	91.24318
GF21_d66_C3_cwash	p__Firmicutes	8.75682
GF21_d66_C4_cwash	p__Proteobacteria	96.80316
GF21_d66_C4_cwash	p__Firmicutes	3.19684
GF21_d66_C5_cwash	p__Proteobacteria	100.0
GF21_d66_C6_cwash	p__Proteobacteria	95.64999
GF21_d66_C6_cwash	p__Firmicutes	4.35001
GF21_d66_C7_cwash	p__Proteobacteria	96.17826
GF21_d66_C7_cwash	p__Firmicutes	3.82174
GF21_d82_A10_Stool	p__Firmicutes	96.48635
GF21_d82_A10_Stool	p__Proteobacteria	3.51365
GF21_d82_A2_Stool	p__Firmicutes	100.0
GF21_d82_A7_Stool	p__Firmicutes	97.92048
GF21_d82_A7_Stool	p__Proteobacteria	2.07952
GF21_d83_A4_Stool	p__Firmicutes	99.69415
GF21_d83_A4_Stool	p__Proteobacteria	0.30585
GF21_d83_A5_Stool	p__Firmicutes	96.59329
GF21_d83_A5_Stool	p__Proteobacteria	3.40671
GF21_d83_A8_Stool	p__Firmicutes	99.35973
GF21_d83_A8_Stool	p__Proteobacteria	0.64027
GF21_d84_A7_Stool	p__Firmicutes	99.20143
GF21_d84_A7_Stool	p__Proteobacteria	0.79857
GF21_d85_A1_cwash	p__Proteobacteria	100.0
GF21_d85_A3_cwash	p__Proteobacteria	100.0
GF21_d85_A4_cwash	p__Proteobacteria	100.0
GF21_d85_A5_cwash	p__Proteobacteria	100.0
GF21_d85_A6_cwash	p__Proteobacteria	100.0
GF21_d85_A7_cwash	p__Proteobacteria	100.0
GF21_d85_A8_cwash	p__Proteobacteria	100.0
GF21_d91_B1_Stool	p__Firmicutes	99.93708
GF21_d91_B1_Stool	p__Proteobacteria	0.06292
GF21_d91_B2_Stool	p__Firmicutes	99.96791
GF21_d91_B2_Stool	p__Proteobacteria	0.03209
GF21_d93_B2_Stool	p__Firmicutes	99.9775
GF21_d93_B2_Stool	p__Proteobacteria	0.0225
GF21_d93_B4_Stool	p__Firmicutes	100.0
GF21_d93_B7_Stool	p__Firmicutes	99.92555
GF21_d93_B7_Stool	p__Proteobacteria	0.07445
GF21_d93_B8_Stool	p__Firmicutes	67.5231
GF21_d93_B8_Stool	p__Proteobacteria	32.4769
GF21_d93_C10_cwash	p__Proteobacteria	100.0
GF21_d93_C1_Stool	p__Firmicutes	100.0
GF21_d93_C2_Stool	p__Firmicutes	100.0
GF21_d93_C3_Stool	p__Firmicutes	99.93948
GF21_d93_C3_Stool	p__Proteobacteria	0.06052
GF21_d93_C4_Stool	p__Firmicutes	99.92594
GF21_d93_C4_Stool	p__Proteobacteria	0.07406
GF21_d93_C9_Stool	p__Firmicutes	100.0
GF21_d94_B2_Stool	p__Firmicutes	98.67888
GF21_d94_B2_Stool	p__Proteobacteria	1.32112
GF21_d95_B1_cwash	p__Firmicutes	99.35614
GF21_d95_B1_cwash	p__Proteobacteria	0.64386
GF21_d95_B2_cwash	p__Firmicutes	100.0
GF21_d95_B3_cwash	p__Firmicutes	91.6207
GF21_d95_B3_cwash	p__Proteobacteria	8.3793
GF21_d95_B4_cwash	p__Proteobacteria	100.0
GF21_d95_B6_cwash	p__Firmicutes	87.70254
GF21_d95_B6_cwash	p__Proteobacteria	12.29746
GF21_d95_B7_cwash	p__Firmicutes	73.38341
GF21_d95_B7_cwash	p__Proteobacteria	26.61659
GF21_d95_B9_cwash	p__Firmicutes	94.85953
GF21_d95_B9_cwash	p__Proteobacteria	5.14047
GF21_d95_C1_cwash	p__Firmicutes	97.69021
GF21_d95_C1_cwash	p__Proteobacteria	2.30979
GF21_d95_C2_cwash	p__Proteobacteria	51.34693
GF21_d95_C2_cwash	p__Firmicutes	48.65307
GF21_d95_C3_cwash	p__Firmicutes	100.0
GF21_d95_C4_cwash	p__Firmicutes	96.75009
GF21_d95_C4_cwash	p__Proteobacteria	3.24991
GF21_d95_C5_cwash	p__Firmicutes	97.77618
GF21_d95_C5_cwash	p__Proteobacteria	2.22382
GF21_d95_C8_cwash	p__Proteobacteria	100.0
GF21_d95_C9_cwash	p__Firmicutes	61.75661
GF21_d95_C9_cwash	p__Proteobacteria	38.24339
GF27_A1_211118_cwash	p__Proteobacteria	50.21153
GF27_A1_211118_cwash	p__Firmicutes	49.78847
GF27_A2_211118_cwash	p__Firmicutes	78.23982
GF27_A2_211118_cwash	p__Proteobacteria	21.76018
GF27_A3_211118_cwash	p__Firmicutes	97.00239
GF27_A3_211118_cwash	p__Proteobacteria	2.99761
GF27_A4_211118_cwash	p__Firmicutes	92.15006
GF27_A4_211118_cwash	p__Proteobacteria	7.84994
GF27_A5_211118_cwash	p__Firmicutes	95.9542
GF27_A5_211118_cwash	p__Proteobacteria	4.0458
GF27_A6_211118_cwash	p__Firmicutes	91.15064
GF27_A6_211118_cwash	p__Proteobacteria	8.84936
GF27_A7_211118_cwash	p__Firmicutes	92.37638
GF27_A7_211118_cwash	p__Proteobacteria	7.62362
GF27_A8_211118_cwash	p__Firmicutes	100.0
