Sample,Preprocessed reads,PostProcessed Reads
GF3_inoc,208438,186713
GF3_C9_day38,3911282,3347433
GF3_C3_day39,970562,847675
GF3_C5_day39,1053416,952143
GF3_C8_day39,1734032,1618886
GF3_C9_day39,1302946,1170706
GF3_C3_day40,1428244,1287794
GF3_C8_day40,1475217,1296011
GF3_C9_day40,1259649,1118439
GF3_C3_day41,1281776,1122702
GF3_C5_day41,1320237,1180871
GF3_C8_day41,1166722,1069263
GF3_C9_day41,1409110,1296546
GF3_C3_day42,1275747,1183415
GF3_C5_day42,1237757,1137498
GF3_C8_day42,1310991,1173473
GF3_C9_day42,1074699,920387
GF3_C3_day45,697942,635817
GF3_C5_day45,1001381,915937
GF3_C8_day45,888184,819276
GF3_C9_day45,1079022,971822
GF3_C2_day38,1445626,1295550
GF3_C4_day38,1392974,1244660
GF3_C6_day38,1150244,1032196
GF3_C2_day39,1268188,1144905
GF3_C4_day39,1258143,1128614
GF3_C6_day39,1092365,959970
GF3_C2_day40,1267378,1139955
GF3_C4_day40,1253022,1131952
GF3_C7_day40,1119120,992364
GF3_C2_day41,1383999,1235981
GF3_C4_day41,1296490,1145854
GF3_C6_day41,1093570,1008443
GF3_C7_day41,1039056,966820
GF3_C2_day42,1427903,1286875
GF3_C4_day42,1303283,1196912
GF3_C6_day42,1212724,1095718
GF3_C7_day42,1125731,1005298
GF3_C2_day45,1127128,1016064
GF3_C4_day45,652228,605781
GF3_C6_day45,873594,795121
GF3_C7_day45,1039546,983989
GF3_C1_day30,204116,48125
GF3_C3_day30,1170145,110507
GF3_C5_day30,949610,508600
GF3_C8_day30,1006199,55400
GF3_C9_day30,904543,565958
GF3_C2_day30,955488,365790
GF3_C4_day30,105565,30074
GF3_C6_day30,978679,774010
GF3_C1_day32,1241441,868334
GF3_C3_day32,944202,409853
GF3_C8_day32,955615,524345
GF3_C9_day32,834516,375477
GF3_C1_day34,780298,162278
GF3_C3_day34,1046764,357111
GF3_C8_day34,962046,123263
GF3_C9_day34,1158695,114487
GF3_C3_day35,977569,354256
GF3_C2_day32,788242,523732
GF3_C4_day32,917696,584306
GF3_C4_day34,1123134,364129
GF3_C2_day35,1044402,268643
GF3_C6_day35,1100432,349399
GF3_AB_Sire_day4,1298399,1172120
GF3_B_Sire_day19,1269538,1180562
GF3_B_Sire_day30,1010799,938601
GF3_C_dam_day19,193390,176809
GF3_C_dam_day4,965475,842492
GF3_C_Sire_day19,400251,369827
GF3_C_Sire_day30,1231120,1112863
GF3_C_Sire_day4,880243,797935
GF2_Inoc,5390598,4622499
GF2_A3_day41,1693032,1402349
GF2_A4_day41,1555296,1344063
GF2_A2_day42,2232136,1912370
GF2_A3_day42,3284,2298
GF2_A4_day42,1612136,1241398
GF2_A5_day42,178648,66691
GF2_A1_day44,1550595,952966
GF2_A2_day44,1802622,1481304
GF2_A4_day44,1747712,1136130
GF2_A6_day44,1932692,1689169
GF2_A6_Colon,1308059,295562
GF2_B1_day44,1587913,1339932
GF2_B2_day44,1543646,1101626
GF2_B3_day44,1475002,1229714
GF2_colon_B1_day44,1750220,243432
GF2_colon_B2_day44,6159921,1209597
GF2_colon_B5_day44,1763876,666175
GF2_A1_day31,1063232,348638
GF2_A5_day31,1508699,506405
GF2_A6_day31,1629522,719951
GF2_A2_day34,1292079,345188
GF2_A4_d36,1199668,1024795
GF2_A6_d36,1420537,1304453
GF2_A1_d37,4895974,4141183
GF2_A1_day42,1502009,946132
GF2_A6_d33,1393887,318329
GF2_B1_day32,1312737,842099
GF2_B4_day32,1517977,968178
GF2_B1_d34,1543416,1389873
GF2_B5_d34,1443452,1308576
GF2_B2_d35,1689496,1519500
GF2_B2_day41,1899913,1699908
GF2_B5_day41,1202380,1079212
GF2_B5_day27,1369693,579284
GF2_A3_day30,1709661,908290
GF2_A2_day30,1221915,970709
GF2_A4_day30,1345736,593772
GF2_A6_day30,1494105,943703
GF2_B1_day29,2611495,1665836
GF2_A3_day32,1216017,401933
GF2_A2_day32,1282524,201146
GF2_A4_day32,1574332,746644
GF2_B4_day28,1164049,774040
GF2_B_dam_d33,1252635,1152522
GF2_A2_d36,852431,722702
GF2_A2_D37,577285,340521
GF2_A3_d37,837009,721426
GF2_A4_d37,1901055,1609817
GF2_A6_d37,1498217,1300074
GF2_A1_d39,1314821,1040696
GF2_A2_d39,1276546,1095670
GF2_A3_d39,767206,598456
GF2_A4_D39,643345,433365
GF2_A5_d39,1214368,984337
GF2_A6_D39,572561,406955
GF2_B1_d35,610528,545362
GF2_B3_d35,674639,612606
GF2_B4_d35,806944,727588
GF2_B5_d35,708675,636571
GF2_B1_day41,547928,484114
GF2_B3_day41,548651,481158
GF2_B4_day41,524495,240858
GF2_colon_A1_day45,1161057,472873
GF2_B5_day44,606863,0
GF2_colon_B3_day44,563930,317590
GF2_A3_day28,1127026,11035
GF2_A1_day28,782716,367040
GF2_A2_day28,752991,307179
GF2_A4_day28,858443,447452
GF2_A5_day28,523913,12490
GF2_A6_day28,948354,667382
GF2_B2_day27,782383,161903
GF2_B3_day27,2232760,1047556
GF2_B4_day27,1398628,417204
GF2_A1_day29,2683020,1365785
GF2_A2_day29,2472867,1224102
GF2_A4_day29,1646076,1101346
GF2_A6_day29,2647233,1822139
GF2_A1_day30,3581946,571351
GF2_A1_day32,528869,203115
GF2_A5_day32,608115,174921
GF2_A6_day32,675475,135528
GF2_B2_day28,643736,243046
GF2_B3_day28,1825561,502502
GF2_B5_day28,1593694,613415
GF2_B2_day29,778915,408371
GF2_B4_day29,1877210,833898
GF2_B5_day29,1553262,789108
GF2_B2_day30,1216173,1002749
GF2_B5_day30,930433,754677
GF2_A_dam_d33,866719,749626
GF2_A_dam_day19,854840,749671
GF2_A_dam_day29,2395727,1945848
GF2_A_day1_dad,2171891,1954500
GF2_A_day1_mom,4070501,3677895
GF2_B_dam_day19,1652954,1391031
GF2_B_day1_dad,1773045,1608140
GF2_B_day1_mom,2398742,2083795
GF2_A1_day41,548204,461105
GF2_A2_day41,637041,532161
GF2_A2_Colon,3465307,1364111
GF2_A3_Colon,2434629,929883
GF2_A4_Colon,2717513,763280
GF2_A5_Colon,1602871,651684
GF2_B1_day37,768362,681271
GF2_B2_day37,545917,489453
GF2_B3_day37,551626,493962
GF2_B4_day37,550869,496123
GF2_B5_day37,533088,458574
GF2_A2_day31,731359,418947
GF2_A4_day31,578536,198444
GF2_B2_day31,879730,520913
GF2_B3_day31,915314,749572
GF2_B5_day31,1485749,1150464
GF2_B_dam_day37,600408,517314
GF2_B_Sire_day23,179394,156050
