Sample,Clostridium_tertium,Clostridium_paraputrificum,Collinsella_SGB47280,Clostridium_neonatale,Clostridioides_difficile,Escherichia_coli,Bifidobacterium_breve,Dysgonomonas_capnocytophagoides,Enterococcus_faecalis,Citrobacter_rodentium,Citrobacter_freundii,Klebsiella_oxytoca,Clostridium_butyricum,Escherichia_marmotae,Clostridium_perfringens,Veillonella_parvula,Varibaculum_cambriense,Peptoniphilus_harei,Klebsiella_michiganensis,Finegoldia_magna,Proteus_mirabilis,Morganella_morganii,Gleimia_europaea,Negativicoccus_succinicivorans,Anaerococcus_obesiensis,Peptoniphilus_lacydonensis,Streptococcus_gordonii,Staphylococcus_aureus,Anaerococcus_hydrogenalis,Cutibacterium_acnes,Streptococcus_thermophilus,Fusobacterium_nucleatum,GGB9832_SGB15480,Clostridium_SGB65123
GF2_A1_d37,20.71437,18.79758,14.07851,11.16201,10.7386,9.13892,8.1913,4.00587,1.7272,1.4388,0.00684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_d39,21.40353,9.95083,48.8029,8.57983,3.20113,3.20354,0.07732,0,0.37977,3.49503,0.10119,0.56177,0.24315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day28,0,0,0,0,0,89.76057,0,0,0,0,10.23943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day29,0,0.72464,0,0,0.99123,82.15299,1.01016,0,1.46092,0,13.62988,0,0,0.03019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day30,0,0,0,0,0,84.9591,0,0,0,0,15.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day31,0,0,0,0,0,83.83685,0,0,2.23375,0,13.9294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day32,0,0,0,0,0,76.11951,0.93006,2.11102,7.36537,0,13.47405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day41,6.71893,16.21025,26.13669,16.96476,2.94628,1.46835,5.11866,0.08093,0,14.78662,0,0.89595,8.67257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day42,0,0.58352,0.10902,11.28047,0.00906,0.02882,3.49705,0.09924,0,84.28957,0,0,0.10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A1_day44,0,0.58246,0,3.46643,0,0.06795,4.0194,4.27829,0,87.58547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A25_N713,1.11063,2.85277,0,11.78382,8.44659,0,0,0,1.93782,0,0.34539,0,15.84817,0,40.24587,5.13646,4.18581,3.5561,3.03344,0.79028,0.72687,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_Colon,0.31045,5.43212,0.59653,8.30663,3.08479,0.98703,16.92481,12.61808,0.24584,51.10259,0.0312,0.02308,0.24873,0,0,0,0,0,0,0,0,0.08811,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_d36,31.96006,40.38254,0.28984,7.45916,4.60557,5.01675,1.44625,7.84604,0.51309,0.17174,0.30897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_D37,20.79641,13.73108,35.56135,15.37574,6.87959,2.42369,0.93074,0.84672,3.45469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_d39,18.47745,12.81038,46.37376,5.09415,2.85737,2.03609,0.04671,0,0.74263,2.3679,0.14185,1.53653,7.51519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day28,0,0,0,0,0,88.77536,0,0,0,0,11.22464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day29,0,0,0,0,0,84.60121,0.06459,0,0.48981,0,14.84439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF2_A2_day30,0,3.3799,0.05765,0.54466,1.62813,65.22154,0.6281,0,3.2754,0,25.26462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
