Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
B1,67.37624,22.25249,4.02032,3.74039,2.32868,0.14474,0.13714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-colon,64.96095,1.49469,13.83594,10.87534,0.09085,6.06231,0,1.70243,0.59563,0.38186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d31,1.78602,92.97443,0,1.28649,3.55941,0,0.39366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1-d33,11.27706,74.85403,0.6068,3.0703,6.05101,0,3.75844,0.38236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d39,48.15972,11.05367,26.3323,8.0975,1.64942,2.62734,0.90927,1.0478,0,0,0.12297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d40,44.3966,14.71904,24.82659,8.88552,1.56764,3.47227,0.96898,1.04469,0,0,0.11868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d48,57.6682,5.14185,17.34769,8.70245,1.46147,6.09007,0.7257,1.10832,1.46598,0.20184,0.08642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B19,52.4373,4.97716,21.42473,9.45234,1.45915,3.46248,0.63317,2.09112,1.62405,2.43851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d29,0,99.76684,0,0,0.23316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2-d33,20.59602,68.40204,4.53197,3.45998,1.54524,0,0.08691,1.37785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d39,56.90304,10.11625,20.18957,8.34278,3.12273,0.36534,0.96028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,72.22489,6.76468,9.47651,7.0759,1.36611,1.47522,1.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d34,36.25416,43.47817,14.44297,2.35398,2.56496,0,0.12973,0.77603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d39,48.41259,11.01695,28.55902,8.5714,1.96526,0.90317,0.50469,0.06501,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d40,49.18513,16.5877,17.05069,7.99005,3.79522,2.90252,2.43989,0.04723,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d48,58.26368,3.37357,20.31298,6.89997,1.20745,5.85557,0.7994,0.78602,1.45711,1.04427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d29,1.35531,97.02814,0,0.52607,1.09048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d34,23.94357,66.63693,3.5878,2.77435,2.37855,0.1092,0.3787,0.19089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d40,40.82568,16.76423,24.39993,10.32911,2.79956,4.27037,0.58055,0.02804,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d48,62.46867,5.99126,13.95921,7.78282,1.50378,5.69167,0.90275,0.07253,1.62731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d29,0,99.92019,0,0,0.07981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5-d33,8.8299,82.14489,0.19784,3.04019,5.5417,0,0.24548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d39,43.95828,14.03008,26.53742,8.3774,1.69305,3.94144,1.01437,0.41259,0,0.00433,0.03105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d40,56.72546,10.5428,18.33341,9.74765,2.2501,1.24048,1.1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
