Sample,Clostridium,Klebsiella,Erysipelatoclostridium,Clostridioides,Enterococcus,Veillonella,Proteus,Citrobacter,Escherichia,Peptoniphilus,Campylobacter,Varibaculum,Finegoldia,Gemella,Bacteroides,Akkermansia,Lactobacillus,Blautia,Lachnoclostridium,Parasutterella,Proteobacteria_unclassified,Turicimonas,Streptococcus,Staphylococcus,Sphingomonas,Anaerococcus,Bifidobacterium,Morganella,Negativicoccus,Actinomyces,Corynebacterium,Dermabacter,Aeriscardovia,Mycobacteroides,Lachnospiraceae_unclassified,Acutalibacter,Anaerotruncus,Dorea,Enterorhabdus,Oscillibacter,Cutibacterium,Fusobacterium,Enterobacter,Serratia,Pseudomonas,Leclercia,Achromobacter,Pedobacter,Delftia,Paenibacillus,Acinetobacter,Ruthenibacterium
B1,67.37624,22.15504,4.02032,3.74039,2.32868,0.14474,0.13714,0.081,0.01645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-colon,64.96095,1.49469,13.83594,10.87534,0.09085,6.06231,0,0,0,1.70243,0.59563,0.38186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d31,1.78602,92.97443,0,1.28649,3.55941,0,0.39366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1-d33,11.27706,74.47348,0.6068,3.0703,6.05101,0,3.75844,0,0.38056,0,0,0,0.38236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d39,48.15972,8.61588,26.3323,8.0975,1.64942,2.62734,0.90927,1.68274,0.75505,1.0478,0,0,0,0.12297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d40,44.3966,10.90262,24.82659,8.88552,1.56764,3.47227,0.96898,2.40546,1.41095,1.04469,0,0,0,0.11868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1-d48,57.6682,4.20876,17.34769,8.70245,1.46147,6.09007,0.7257,0.89302,0.04007,1.10832,1.46598,0.20184,0,0.08642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B19,52.4373,4.27581,21.42473,9.45234,1.45915,3.46248,0.63317,0.39206,0.30929,1.81373,1.62405,2.43851,0.27738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d29,0,99.76684,0,0,0.23316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2-d33,20.59602,67.3999,4.53197,3.45998,1.54524,0,0.08691,0.05182,0.95032,0,0,0,1.37785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2-d39,56.90304,8.30665,20.18957,8.34278,3.12273,0.36534,0.96028,1.6268,0.1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,72.22489,4.77541,9.47651,7.0759,1.36611,1.47522,1.6167,1.91257,0.0767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d34,36.25416,38.47379,14.44297,2.35398,2.56496,0,0.12973,4.20943,0.79495,0,0,0,0.77603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d39,48.41259,8.65824,28.55902,8.5714,1.96526,0.90317,0.50469,0.80907,1.54964,0.06501,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d40,49.18513,14.27319,17.05069,7.99005,3.79522,2.90252,2.43989,0.88739,1.42713,0.04723,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d48,58.26368,2.38656,20.31298,6.89997,1.20745,5.85557,0.7994,0.94979,0.03722,0.77345,1.45711,1.04427,0.01257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d29,1.35531,97.02814,0,0.52607,1.09048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d34,23.94357,66.33809,3.5878,2.77435,2.37855,0.1092,0.3787,0.14108,0.15776,0,0,0,0.19089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d40,40.82568,15.06778,24.39993,10.32911,2.79956,4.27037,0.58055,1.36708,0.32938,0.02804,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d48,62.46867,4.73886,13.95921,7.78282,1.50378,5.69167,0.90275,1.21694,0.03546,0.07253,1.62731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d29,0,99.92019,0,0,0.07981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5-d33,8.8299,82.14489,0.19784,3.04019,5.5417,0,0.24548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d39,43.95828,12.13682,26.53742,8.3774,1.69305,3.94144,1.01437,1.46822,0.42504,0.4072,0,0.00433,0.00539,0.03105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d40,56.72546,8.52146,18.33341,9.74765,2.2501,1.24048,1.1601,2.02134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d48,61.52039,3.21815,13.26462,8.12539,1.13386,5.3786,0.57914,3.67514,0,1.35924,1.26579,0.32423,0.01799,0.13746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d29,0,98.96293,0,0,0.93581,0,0,0,0.10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6-d33,6.9501,83.97228,0.4913,2.16397,5.50935,0,0.11435,0,0.79866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d34,24.94452,55.85981,9.25291,2.86974,3.20839,0,0.05507,0,3.19426,0,0,0,0.61529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d39,54.93361,6.95819,24.60738,8.58325,2.37694,0.24722,0.85528,1.07449,0.36365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d40,52.67065,11.56928,17.52628,8.81944,2.57808,3.91026,1.07128,1.64875,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d48,58.19296,4.21536,16.60002,7.24616,1.36818,6.37887,0.81078,0.84114,0.02166,1.85922,1.53435,0.79154,0.00053,0.13922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d29,0,99.59761,0,0,0.40239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7-d33,14.25428,77.81216,0.54056,2.11734,5.27567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d40,36.50636,16.59427,25.2548,9.64702,4.71936,4.06799,0.77151,2.10678,0.33192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d48,54.88173,2.14904,19.04269,7.71774,1.17204,6.16162,0.71429,2.51394,0.03937,1.95574,1.45257,1.8771,0.32213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,75.98501,12.68009,6.0592,3.74031,1.257,0.14154,0.10282,0.03403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d33,0,0,0,0.11089,3.19563,0,0,0,96.69348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d44,57.65121,10.43992,17.6158,8.60713,1.26775,0,0.33739,0.69851,3.3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d45,67.75241,3.74931,9.9528,18.1058,0.43969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d53,58.00655,5.3923,16.9789,9.53333,1.46484,5.88135,0.82942,1.87853,0.03479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19,66.49619,2.46568,14.51288,6.22421,1.54636,3.66717,0.71221,0.74717,0.01245,1.47542,1.11509,0.91754,0.10762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-colon,65.17113,3.01667,15.92951,9.24325,0.80869,4.34394,0.57164,0.85853,0,0,0,0.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d33,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d37,11.06001,69.08031,4.3921,3.82149,11.64609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d44,66.08278,7.48869,13.46237,7.84836,1.43903,0,0.61562,0.69661,2.36655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
