Sample,Enterococcus,Anaerococcus,Varibaculum,Finegoldia,Bifidobacterium,Escherichia,Streptococcus,Clostridium,Citrobacter,Staphylococcus,Veillonella,Morganella,Pseudomonas,Clostridioides,Erysipelatoclostridium,Proteus,Klebsiella,Achromobacter,Enterobacter,Dermabacter
GF20_d0_inoc,34.77182,28.40982,13.35631,8.00946,6.23767,3.15082,2.47017,1.57718,1.3836,0.37415,0.25901,0,0,0,0,0,0,0,0,0
GF20_d161_b6,0,0,0,0,0.05118,91.24548,0,0,8.70335,0,0,0,0,0,0,0,0,0,0,0
GF20_d35_a3,0,0,0,0,0,68.87012,0,0,6.20198,0,0,24.68436,0.24354,0,0,0,0,0,0,0
GF23_d19_dama,4.32707,0.06055,5.03338,0.37881,0.47033,3.78747,0,59.98579,0.44737,0,0,0.90098,0,15.08686,7.55259,1.90364,0.06516,0,0,0
GF23_d35_c1,0,0,0,0,0,0.8245,0,0,0,0,0,0,0,0,0,0,99.1755,0,0,0
GF23_d47_dama,5.00091,0,50.32305,0.21676,3.68239,9.84813,0,14.54251,2.21644,0,0,6.52505,0,2.56214,3.1011,0.85861,1.12291,0,0,0
GF23_d47_damc,12.68241,0.13687,32.19154,0.84491,2.91932,11.33379,0,8.37576,3.37564,0,0,5.25822,0,3.48915,15.43613,2.92759,1.02867,0,0,0
GF23_d52_a1,0,0,0,0,0,27.22273,0,0,0,0,0,0,0,0,0,0,72.77727,0,0,0
GF23_d52_a6,0.09027,0,0,0,0,3.72419,0,0,1.50268,0,0,0,0,0,0,0.29416,94.3887,0,0,0
GF23_d56_c2,0.44933,0,0,0,0,12.65785,0,0,0,0,0,0,0,0,0,0,86.89282,0,0,0
GF23_d57_c4,0,0,0,0,0,90.12424,0,0,0,0,0,0,0,0,0,0,9.87576,0,0,0
GF23_d57_c5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_damA_32_stool,6.66451,0,46.85998,0.00817,0.98403,13.29059,0,10.89855,4.43937,0,0,6.84241,0,1.58928,5.40589,1.18115,1.83607,0,0,0
GF23_damC_10_stool,3.85513,0.07523,0,0.21733,37.25817,1.88358,0,27.65855,0.42063,0,0,1.63256,0,20.19753,3.70466,2.92418,0.17245,0,0,0
GF23_damC_32_stool,4.03709,0,55.23432,0.11474,1.92523,10.33187,0,9.50382,3.12153,0,0,5.09226,0,2.37857,4.79713,0.6647,2.79875,0,0,0
GF24_A10_d131_cwash,0,0,0,0,0,0,0,0.9635,0,0,0,0,0,0.16791,2.08378,0,88.24783,8.53697,0,0
GF24_A1_36_stool,1.02098,0,0,0,0,0.4302,0,0.60212,0,0,0,0,0,0.09073,0,0,97.85598,0,0,0
GF24_A1_39_cwash,0,0,0,0,0,27.81943,0,18.84996,0,0,0,0,0,0.94453,4.76087,0,47.62522,0,0,0
GF24_A1_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4353,0,89.28446,10.28024,0,0
GF24_A1_d131_cwash,0,0,0,0,0,0,0,0.58344,0,0,0,0,0,0,0,0,97.3517,2.06486,0,0
GF24_A1_d73_stool,1.66532,0,0,0,0,0,0,0,0,0,0,0,0,0.25705,0,0,98.07763,0,0,0
GF24_A1_d74_cwash,1.27674,0,0,0,0,0.90137,0,5.80864,0,0,0,0,0,0.7034,0.3969,0,90.19115,0.72182,0,0
GF24_A2_36_stool,3.12937,0,0,0,0,0.18359,0,2.11395,0,0,0,0,0,1.63314,0,0.89383,92.04611,0,0,0
GF24_A2_39_cwash,0.40511,0,0,0,0,5.97828,0,42.54257,0,0,0,0,0,4.59068,17.22617,0,29.25719,0,0,0
GF24_A2_d108_cwash,0.87623,0,0,0,0,0,0,2.48584,0,0,0,0,0,0.55795,0.97106,0,76.46441,18.64452,0,0
GF24_A2_d131_cwash,0.39337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.63788,3.96875,0,0
GF24_A2_d73_stool,1.24658,0,0,0,0,0,0,0,0,0,0,0,0,0.13054,0,0,98.62288,0,0,0
GF24_A3_37_stool,0.65955,0,0,0,0,0.22657,0,0,0,0,0,0,0,0,0,0,99.11388,0,0,0
GF24_A3_38_stool,2.44983,0,0,0.07579,0,23.52833,0,0.28434,0,0,0,0,0,0.91485,0,0,72.74686,0,0,0
GF24_A3_39_cwash,0,0,0,0,0,50.96611,0,23.33109,0,0,0,0,0,0.08189,19.11068,0,6.51023,0,0,0
GF24_A3_d108_cwash,0.28492,0,0,0,0,0,0,10.44087,0,0,0,0,0,1.36142,0.93959,0,85.45194,1.52126,0,0
GF24_A3_d131_cwash,0,0,0,0,0,0,0,5.40634,0,0,0,0,0,0,1.34389,0,91.90315,1.34662,0,0
GF24_A4_38_stool,1.34371,0,0,0.63703,0,2.30292,0,39.84593,0,0,0,0,0,3.90359,6.44724,0.00811,45.51146,0,0,0
GF24_A4_39_cwash,2.58502,0,0,0,0,10.61904,0,59.81052,0,0,0,0,0,7.4607,10.21578,0,9.30895,0,0,0
GF24_A4_d108_cwash,0,0,0,0,0,0,0,5.96435,0,0,0,0,0,0,0,0,86.4956,7.54005,0,0
GF24_A4_d131_cwash,2.44073,0,0,0,0,0,0,2.78975,0,0,0,0,0,0.01349,0,0,91.95874,2.79728,0,0
GF24_A4_d74_cwash,2.14616,0,0,0,0,0,0,0.70412,0,0,0,0,0,0,0,0,86.70327,10.44646,0,0
GF24_A5_d108_cwash,0.28981,0,0,0,0,0,0,8.6685,0,0,0,0,0,0.51196,0.85849,0,88.21968,1.45155,0,0
GF24_A5_d131_cwash,2.14237,0,0,0,0,0,0,0,0,0,0,0,0,0.72201,0,11.6068,85.1713,0.35751,0,0
GF24_A5_d74_cwash,0.30118,0,0,0,0,0,0,7.66008,0,0,0,0,0,1.06605,3.65708,1.6214,85.60749,0.08672,0,0
GF24_A6_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
GF24_A6_39_cwash,1.36928,0,0,0,0,32.67839,0,46.18992,0,0,0,0,0,12.66939,7.09301,0,0,0,0,0
GF24_A6_d108_cwash,0,0,0,0,0,0,0,0.16753,0,0,0,0,0,0,0,0,98.73138,1.10109,0,0
GF24_A6_d131_cwash,0,0,0,0,0,0,0,10.87601,0,0,0,0,0,0,2.36883,0,85.83034,0.92482,0,0
GF24_A6_d74_cwash,0,0,0,0,0,36.18061,0,0,0,0,0,0,0,0,0,1.45475,60.70789,1.65675,0,0
GF24_A7_36_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
GF24_A7_37_stool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
GF24_A7_39_cwash,1.9739,0,0,0,0,4.86083,0,35.27437,0,0,0,0,0,12.09772,8.4463,0,37.34688,0,0,0
GF24_A7_d108_cwash,0.02807,0,0,0,0,0,0,1.20289,0,0,0,0,0,0.12484,2.38316,6.23287,88.38242,1.64576,0,0
GF24_A7_d131_cwash,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,88.38884,10.62517,0,0
GF24_A7_d74_cwash,0,0,0,0,0,60.62201,0,0,0,0,0,0,0,0,0,2.12588,36.89165,0.36045,0,0
GF24_A8_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.99341,7.00659,0,0
GF24_A8_d131_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.52903,9.47097,0,0
GF24_A9_d108_cwash,2.19589,0,0,0,0,0,0,0.65044,0,0,0,0,0,0.79992,0,0,96.30511,0.04864,0,0
GF24_A9_d131_cwash,0.41796,0,0,0,0,0,0,0.01559,0,0,0,0,0,0.03211,0,0,98.95977,0.57456,0,0
GF24_Adam_d100_stool,14.36591,0,10.66965,2.92344,0,8.11377,0,22.92362,0.61991,0,0,0,0,2.89595,6.96767,9.51886,21.00122,0,0,0
GF24_B1_33_cwash,0,0,0,0,0,17.35613,0,13.34926,0,0,0,0,0,0,12.97329,0,56.32132,0,0,0
GF24_B1_64_cwash,3.32586,0,0,0,0,7.53504,0,27.80806,9.97438,0,0,0,0,22.3587,6.94088,4.16312,17.89396,0,0,0
GF24_B2_33_cwash,0.10538,0,0,0,0,0,0,18.68918,0,0,0,0,0,2.1883,5.50348,6.15116,67.3625,0,0,0
GF24_B2_64_cwash,3.61477,0,0,0,0,4.49026,0,31.74138,5.86667,0,0,0,0,23.94761,11.91985,4.75078,12.28017,0,1.38851,0
GF24_B2_d74_cwash,2.82407,0,0,0,0,0.61315,0,7.16419,0,0,0,0,0,1.66138,0,0,87.40753,0.32969,0,0
GF24_B3_33_cwash,0.41171,0,0,0,0,0,0,18.80378,0,0,0,0,0,1.69707,6.55996,13.13572,59.39177,0,0,0
GF24_B3_64_cwash,1.5001,0,0,0,0,4.46656,0,34.40679,4.12557,0,0,0,0,24.75597,14.98928,2.34473,13.35005,0,0.06096,0
GF24_B3_d74_cwash,0.477,0,0,0,0,0.78631,0,0.21867,0,0,0,0,0,0,0.38916,0,98.12886,0,0,0
GF24_B4_33_cwash,1.22202,0,0,0,0,0,0,17.25512,0,0,0,0,0,1.06464,4.49591,5.59344,70.36886,0,0,0
GF24_B4_d73_stool,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5613,0,0,0
GF24_B4_d74_cwash,0.5879,0,0,0,0,0.90935,0,4.76904,0,0,0,0,0,0.54045,0.86179,0,92.29248,0.03898,0,0
GF24_B5_33_cwash,0,0,0,0,0,0.59813,0,13.89093,0,0,0,0,0,0,18.86976,0,66.64117,0,0,0
GF24_B6_33_cwash,0.51822,0,0,0,0,0,0,3.79947,0,0,0,0,0,0.07519,19.17581,0,76.43131,0,0,0
GF24_B7_33_cwash,0,0,0,0,0,0.46241,0,12.4975,0,0,0,0,0,0.65417,26.54279,2.30438,57.53876,0,0,0
GF24_Bdam_d114_stool,18.05856,0,0,1.44612,0,4.91304,0,36.98817,4.43316,0,0,0,0,1.59739,9.05524,6.36765,17.14066,0,0,0
GF24_C10_d86_cwash,1.44544,0,0,0,0,0.8445,0,8.89789,0,0,0,0,0,0.67951,1.40888,0,86.3548,0.36899,0,0
GF24_C1_37_stool,1.70999,0,0,0,0,42.7093,0,0.57811,0,0,0,0,0,1.42608,0,0,53.57652,0,0,0
GF24_C1_39_cwash,91.71634,0,0,0,0,5.60992,0,0,0,0,0,0,0,0,2.67374,0,0,0,0,0
GF24_C1_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.72884,6.27116,0,0
GF24_C1_d129_cwash,0.12746,0,0,0,0,55.25404,0,0.16442,0,0,0,0,0,0.10692,0.02572,0,42.98334,1.3381,0,0
GF24_C2_39_cwash,69.26263,0,0,0,0,5.68121,0,0,0,0,0,0,0,16.47843,8.57773,0,0,0,0,0
GF24_C2_d108_cwash,0.86403,0,0,0,0,0,0,7.18368,0,0,0,0,0,0.45061,6.40381,0,84.2684,0.82947,0,0
GF24_C2_d129_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66632,4.33368,0,0
GF24_C2_d86_cwash,1.8642,0,0,0,0,78.37529,0,3.73471,0,0,0,0,0,1.07243,2.08909,0,12.74188,0.1224,0,0
GF24_C3_37_stool,2.39829,0,0,0,0,0,0,0.38191,0,0,0,0,0,0.58072,0,0,96.63909,0,0,0
GF24_C3_38_cwash,90.05915,0,0,0,0,9.94085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.38236,0.61764,0,0
GF24_C3_d129_cwash,0,0,0,0,0,0,0,2.31147,0,0,0,0,0,0.16038,0.40071,0,91.14841,5.97903,0,0
GF24_C3_d85_stool,0.64769,0,0,0,0,0.66991,0,0.04312,0,0,0,0,0,0.58008,0,0,98.05919,0,0,0
GF24_C3_d86_cwash,4.22075,0,0,0,0,0,0,12.59593,0,0,0,0,0,1.45308,0.74238,0,80.11221,0.87563,0,0
GF24_C4_37_stool,3.39349,0,0,0,0,0.09748,0,5.3666,0,0,0,0,0,2.52862,0,0,88.61381,0,0,0
GF24_C4_38_cwash,80.81278,0,0,0,0,3.56893,0,0,0,0,0,0,0,12.17629,3.44199,0,0,0,0,0
GF24_C4_38_stool,0,0,0,0,0,28.30576,0,0,0,0,0,0,0,0,71.69424,0,0,0,0,0
GF24_C4_d108_cwash,0,0,0,0,0,0,0,1.13126,0,0,0,0,0,0,0.29337,0,90.9051,7.67027,0,0
GF24_C4_d129_cwash,1.1517,0,0,0,0,78.20194,0,1.09939,0,0,0,0,0,0.15415,0,2.46784,15.48283,1.44216,0,0
GF24_C4_d86_cwash,5.44855,0,0,0,0,0,0,0.38348,0,0,0,0,0,0.06307,0.99128,0,88.93862,4.175,0,0
GF24_C5_36_stool,0.84695,0,0,0,0,80.12739,0,0,0,0,0,0,0,0,0,0,19.02566,0,0,0
GF24_C5_38_stool,81.5583,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4417,0,0,0,0,0
GF24_C5_d108_cwash,0.13626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0119,5.85184,0,0
