Sample,Enterococcus_faecalis,Anaerococcus_vaginalis,Varibaculum_cambriense,Finegoldia_magna,Bifidobacterium_breve,Escherichia_coli,Streptococcus_thermophilus,Citrobacter_freundii,Clostridium_neonatale,Streptococcus_gordonii,Clostridium_paraputrificum,Staphylococcus_aureus,Veillonella_parvula,Anaerococcus_hydrogenalis,Morganella_morganii,Pseudomonas_aeruginosa_group,Clostridium_perfringens,Clostridioides_difficile,Clostridium_innocuum,Proteus_mirabilis,Clostridium_sp_7_2_43FAA,Clostridium_butyricum,Klebsiella_oxytoca,Klebsiella_aerogenes,Klebsiella_pneumoniae,Klebsiella_michiganensis,Achromobacter_xylosoxidans,Achromobacter_insuavis,Enterobacter_cloacae_complex,Streptococcus_salivarius,Klebsiella_variicola,Klebsiella_quasipneumoniae,Dermabacter_hominis,Staphylococcus_epidermidis,Staphylococcus_warneri
GF20_d0_inoc,34.77182,28.37885,13.35631,8.00946,6.23767,3.15082,1.89764,1.3836,1.11819,0.57253,0.45899,0.37415,0.25901,0.03097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d161_b6,0,0,0,0,0.05118,91.24548,0,8.70335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF20_d35_a3,0,0,0,0,0,68.87012,0,6.20198,0,0,0,0,0,0,24.68436,0.24354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d19_dama,4.32707,0,5.03338,0.37881,0.47033,3.78747,0,0.44737,8.40245,0,1.21846,0,0,0.06055,0.90098,0,49.16861,15.08686,7.55259,1.90364,0.88385,0.31241,0.06516,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d35_c1,0,0,0,0,0,0.8245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.48937,2.68613,0,0,0,0,0,0,0,0,0,0
GF23_d47_dama,5.00091,0,50.32305,0.21676,3.68239,9.84813,0,2.21644,1.79587,0,0.03083,0,0,0,6.52505,0,12.54967,2.56214,3.1011,0.85861,0.16614,0,1.12291,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d47_damc,12.68241,0,32.19154,0.84491,2.91932,11.33379,0,3.37564,2.74106,0,0.36451,0,0,0.13687,5.25822,0,4.72341,3.48915,15.43613,2.92759,0,0.54678,1.02867,0,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a1,0,0,0,0,0,27.22273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.30121,23.47606,0,0,0,0,0,0,0,0,0,0,0
GF23_d52_a6,0.09027,0,0,0,0,3.72419,0,1.50268,0,0,0,0,0,0,0,0,0,0,0,0.29416,0,0,70.51238,22.47768,1.39864,0,0,0,0,0,0,0,0,0,0
GF23_d56_c2,0.44933,0,0,0,0,12.65785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1259,11.76691,0,0,0,0,0,0,0,0,0,0
GF23_d57_c4,0,0,0,0,0,90.12424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.87576,0,0,0,0,0,0,0,0,0,0,0
GF23_d57_c5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF23_damA_32_stool,6.66451,0,46.85998,0.00817,0.98403,13.29059,0,4.43937,1.49628,0,0.18152,0,0,0,6.84241,0,9.22075,1.58928,5.40589,1.18115,0,0,1.83607,0,0,0,0,0,0,0,0,0,0,0,0
GF23_damC_10_stool,3.85513,0,0,0.21733,37.25817,1.88358,0,0.42063,13.68149,0,3.17925,0,0,0.07523,1.63256,0,10.61594,20.19753,3.70466,2.92418,0.18188,0,0.17245,0,0,0,0,0,0,0,0,0,0,0,0
GF23_damC_32_stool,4.03709,0,55.23432,0.11474,1.92523,10.33187,0,3.12153,0.90862,0,0.01325,0,0,0,5.09226,0,8.58195,2.37857,4.79713,0.6647,0,0,2.65017,0,0,0.14858,0,0,0,0,0,0,0,0,0
GF24_A10_d131_cwash,0,0,0,0,0,0,0,0,0,0,0.91636,0,0,0,0,0,0,0.16791,2.08378,0,0.04714,0,0,86.28401,1.96383,0,8.53697,0,0,0,0,0,0,0,0
GF24_A1_36_stool,1.02098,0,0,0,0,0.4302,0,0,0,0,0,0,0,0,0,0,0.60212,0.09073,0,0,0,0,0,96.5201,1.33588,0,0,0,0,0,0,0,0,0,0
GF24_A1_39_cwash,0,0,0,0,0,27.81943,0,0,0.44787,0,0,0,0,0,0,0,7.78337,0.94453,4.76087,0,10.61872,0,0,47.62522,0,0,0,0,0,0,0,0,0,0,0
GF24_A1_d108_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4353,0,0,0,0,85.37359,3.91087,0,10.28024,0,0,0,0,0,0,0,0
GF24_A1_d131_cwash,0,0,0,0,0,0,0,0,0,0,0.45851,0,0,0,0,0,0,0,0,0,0.12494,0,0,95.11029,2.24141,0,2.06486,0,0,0,0,0,0,0,0
GF24_A1_d73_stool,1.66532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25705,0,0,0,0,0,95.60837,2.46927,0,0,0,0,0,0,0,0,0,0
GF24_A1_d74_cwash,1.27674,0,0,0,0,0.90137,0,0,0,0,1.66267,0,0,0,0,0,1.53201,0.7034,0.3969,0,2.61396,0,0,87.82293,2.36822,0,0.72182,0,0,0,0,0,0,0,0
GF24_A2_36_stool,3.12937,0,0,0,0,0.18359,0,0,0,0,0.51025,0,0,0,0,0,1.60371,1.63314,0,0.89383,0,0,0,86.78201,5.2641,0,0,0,0,0,0,0,0,0,0
GF24_A2_39_cwash,0.40511,0,0,0,0,5.97828,0,0,4.68498,0,3.68074,0,0,0,0,0,30.88424,4.59068,17.22617,0,3.2926,0,0,28.47922,0.77797,0,0,0,0,0,0,0,0,0,0
GF24_A2_d108_cwash,0.87623,0,0,0,0,0,0,0,0,0,1.0895,0,0,0,0,0,0,0.55795,0.97106,0,1.39634,0,6.81199,65.05716,4.59526,0,18.64452,0,0,0,0,0,0,0,0
GF24_A2_d131_cwash,0.39337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.02811,2.60977,0,3.96875,0,0,0,0,0,0,0,0
GF24_A2_d73_stool,1.24658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13054,0,0,0,0,0,97.30069,1.32219,0,0,0,0,0,0,0,0,0,0
