Sample,Enterobacteriaceae,Alcaligenaceae,Enterococcaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae,Clostridiaceae,Erysipelotrichaceae,Peptostreptococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Pseudomonadaceae,Propionibacteriaceae,Yersiniaceae,Dysgonomonadaceae,Coriobacteriaceae,Fusobacteriaceae
40_1_1_Stool,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_1_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_1_2_Stool,99.13631,0.29127,0.57241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_10_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_11_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_12_2_ColonWash,0,91.11163,0,8.88837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_13_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_2_1_Stool,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_2_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_2_2_Stool,99.76291,0,0.23709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_3_1_CME,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_3_1_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_3_1_Stool,99.70108,0.29892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40_3_2_ColonWash,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
