"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"1","GF14_c3_d130_colon","37.02 (11/5/2009)","A","30.634","GF14","tubes","D10","6","AM-F0551","AM-R0551","colon","C3","F","yes",NA,"130","","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",2311996,548457,"23.72222962","",NA,NA,NA,NA,NA,"",NA,"",""
"6","GF24_A5_d108_cwash","","A","0.24","GF24","","C08","UDI Plate 05","AM-F0441","AM-R0441","colon","A5","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5862609,913791,"15.5867635","",NA,NA,NA,NA,NA,"",NA,"",""
"7","GF24_A6_d108_cwash","","A","0.35","GF24","","C09","UDI Plate 05","AM-F0442","AM-R0442","colon","A6","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",6983958,589337,"8.43843849","",NA,NA,NA,NA,NA,"",NA,"",""
"8","GF24_A7_d108_cwash","","A","0.26","GF24","","C10","UDI Plate 05","AM-F0443","AM-R0443","colon","A7","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5970011,915412,"15.33350609","",NA,NA,NA,NA,NA,"",NA,"",""
"9","GF24_A8_d108_cwash","","A","0.13","GF24","","C11","UDI Plate 05","AM-F0444","AM-R0444","colon","A8","F","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5728335,526616,"9.193177424","",NA,NA,NA,NA,NA,"",NA,"",""
"10","GF24_A8_d131_cwash","","A","0.09","GF24","","F02","UDI Plate 05","AM-F0471","AM-R0471","colon","A8","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",6127696,632789,"10.32670354","",NA,NA,NA,NA,NA,"",NA,"",""
"11","GF24_A9_d108_cwash","","A","0.42","GF24","","C12","UDI Plate 05","AM-F0445","AM-R0445","colon","A9","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",6709640,3138444,"46.7751474","",NA,NA,NA,NA,NA,"",NA,"",""
"12","GF24_A9_d131_cwash","","A","0.42","GF24","","F03","UDI Plate 05","AM-F0472","AM-R0472","colon","A9","M","yes",NA,"","4/7/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",13241494,2108816,"15.92581623","",NA,NA,NA,NA,NA,"",NA,"",""
"13","GF24_B3_33_cwash","","A","0.05","GF24","","A03","UDI Plate 06","AM-F0508","AM-R0508","colon","B3","F","yes","","","N/A","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5498097,598219,"10.88047373","",NA,NA,NA,NA,NA,"",NA,"",""
"14","GF24_B4_33_cwash","","A","0.044563","GF24","","A04","UDI Plate 06","AM-F0509","AM-R0509","colon","B4","F","yes","","","N/A","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",3931053,351641,"8.945211372","",NA,NA,NA,NA,NA,"",NA,"",""
"15","GF24_B5_33_cwash","","A","0.003256","GF24","","A05","UDI Plate 06","AM-F0510","AM-R0510","colon","B5","F","yes","","","N/A","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5002522,296557,"5.928149841","",NA,NA,NA,NA,NA,"",NA,"",""
"16","GF24_B6_33_cwash","","A","0.067094","GF24","","A06","UDI Plate 06","AM-F0511","AM-R0511","colon","B6","F","yes","","","N/A","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",4618435,333394,"7.218765664","",NA,NA,NA,NA,NA,"",NA,"",""
"17","GF24_B7_33_cwash","","A","0.258607","GF24","","A07","UDI Plate 06","AM-F0512","AM-R0512","colon","B7","M","yes","","","N/A","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",5934777,229213,"3.86220072","",NA,NA,NA,NA,NA,"",NA,"",""
"52","GF24_A5_d131_cwash","","A","0.34","GF24","","E11","UDI Plate 05","AM-F0468","AM-R0468","colon","A5","F","yes",NA,"","4/7/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",6004656,1168112,"19.45343747","",NA,NA,NA,NA,NA,"",NA,"",""
"53","GF24_A6_d131_cwash","","A","0.17","GF24","","E12","UDI Plate 05","AM-F0469","AM-R0469","colon","A6","M","yes",NA,"","4/7/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",5821235,353267,"6.068591974","",NA,NA,NA,NA,NA,"",NA,"",""
