"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"25","GF20_d40_c5","40.01 (11/14/09)","B","0.528","GF20","","C02","3","AM-F0243","AM-R0243","colon","c5","F","yes",NA,"40","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",5554436,59917,"1.078723384","",NA,NA,NA,NA,NA,"",NA,"",""
"27","GF20_d66_c6","40.01 (11/14/09)","B","0.117","GF20","","H05","2","","","colon","c6","M","yes",NA,"66","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",1802971,680378,"37.7364916","",NA,NA,NA,NA,NA,"",NA,"",""
"28","GF20_d66_c7","40.01 (11/14/09)","B","0.416","GF20","","H04","2","","","colon","c7","M","yes",NA,"66","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3214139,221180,"6.881469656","",NA,NA,NA,NA,NA,"",NA,"",""
"29","GF20_d66_c8","40.01 (11/14/09)","B","0.562","GF20","","H03","2","","","colon","c8","F","yes",NA,"66","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3065658,233296,"7.609981283","",NA,NA,NA,NA,NA,"",NA,"",""
"30","GF20_d66_c9","40.01 (11/14/09)","B","1.196","GF20","","H02","2","","","colon","c9","M","yes",NA,"66","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",2092281,172506,"8.244877242","",NA,NA,NA,NA,NA,"",NA,"",""
"32","GF20_d68_b6","40.01 (11/14/09)","B","0.575","GF20","","A07","3","AM-F0224","AM-R0224","colon","b6","M","yes",NA,"68","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",22824,81089,"355.2795303","",NA,NA,NA,NA,NA,"",NA,"",""
"33","GF20_d68_b7","40.01 (11/14/09)","B","1.006","GF20","","A08","3","AM-F0225","AM-R0225","colon","b7","F","yes",NA,"68","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",626831,52918,"8.442147884","",NA,NA,NA,NA,NA,"",NA,"",""
"35","GF20_d81_a5","40.01 (11/14/09)","B","0.928","GF20","","B04","3","AM-F0233","AM-R0233","colon","a5","M","yes",NA,"81","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3655190,223150,"6.105017797","",NA,NA,NA,NA,NA,"",NA,"",""
"36","GF20_d81_a6","40.01 (11/14/09)","B","0.856","GF20","","B05","3","AM-F0234","AM-R0234","colon","a6","F","yes",NA,"81","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",204882,85721,"41.83920501","",NA,NA,NA,NA,NA,"",NA,"",""
"37","GF20_d81_a7","40.01 (11/14/09)","B","1.178","GF20","","B06","3","AM-F0235","AM-R0235","colon","a7","M","yes",NA,"81","","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3659004,582946,"15.93182188","",NA,NA,NA,NA,NA,"",NA,"",""
"67","GF20_d81_a1","40.01 (11/14/09)","B","0.642","GF20","","A12","3","AM-F0229","AM-R0229","colon","a1","M","yes",NA,"81","","PBS","10","0","after1xPBS","after1xPBS",NA,NA,"no","",1857834,75252,"4.050523351","",NA,NA,NA,NA,NA,"",NA,"",""
"68","GF20_d81_a2","40.01 (11/14/09)","B","1.1","GF20","","B01","3","AM-F0230","AM-R0230","colon","a2","F","yes",NA,"81","","PBS","10","0","after1xPBS","after1xPBS",NA,NA,"no","",873482,80134,"9.174087159","",NA,NA,NA,NA,NA,"",NA,"",""
"94","GF20_d81_a3","40.01 (11/14/09)","B","1.043","GF20","","B02","3","AM-F0231","AM-R0231","colon","a3","F","yes",NA,"81","","probenecid","10","0","after1xpro","after1xpro",NA,NA,"no","",5532545,193219,"3.492407201","",NA,NA,NA,NA,NA,"",NA,"",""
"95","GF20_d81_a4","40.01 (11/14/09)","B","1.012","GF20","","B03","3","AM-F0232","AM-R0232","colon","a4","M","yes",NA,"81","","probenecid","10","0","after1xpro","after1xpro",NA,NA,"no","",385612,162876,"42.23831209","",NA,NA,NA,NA,NA,"",NA,"",""
"118","GF20_d66_c1","40.01 (11/14/09)","B","1.355","GF20","","H10","2","","","colon","c1","M","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",15200104,2265292,"14.90313487","",NA,NA,NA,NA,NA,"",NA,"",""
"119","GF20_d66_c10","40.01 (11/14/09)","B","0.942","GF20","","H01","2","","","colon","c10","M","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",2983418,335235,"11.23660848","",NA,NA,NA,NA,NA,"",NA,"",""
"120","GF20_d66_c2","40.01 (11/14/09)","B","0.331","GF20","","H09","2","","","colon","c2","F","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",1730878,175891,"10.16195249","",NA,NA,NA,NA,NA,"",NA,"",""
"121","GF20_d66_c3","40.01 (11/14/09)","B","1.101","GF20","","H08","2","","","colon","c3","F","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",3394713,310300,"9.140684352","",NA,NA,NA,NA,NA,"",NA,"",""
"122","GF20_d66_c4","40.01 (11/14/09)","B","0.838","GF20","","H07","2","","","colon","c4","M","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",2039376,191539,"9.392039526","",NA,NA,NA,NA,NA,"",NA,"",""
"123","GF20_d66_c5","40.01 (11/14/09)","B","0.159","GF20","","H06","2","","","colon","c5","F","yes",NA,"66","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",2772528,294416,"10.61904515","",NA,NA,NA,NA,NA,"",NA,"",""
"125","GF20_d68_b3","40.01 (11/14/09)","B","0.809","GF20","","A04","3","AM-F0221","AM-R0221","colon","b3","F","yes",NA,"68","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",227207,318543,"140.1994657","",NA,NA,NA,NA,NA,"",NA,"",""
"126","GF20_d68_b4","40.01 (11/14/09)","B","0.31","GF20","","A05","3","AM-F0222","AM-R0222","colon","b4","F","yes",NA,"68","","vancomycin/probenecid","10","0","after1xvancpro","after1xvancpro",NA,NA,"no","",5351,53547,"1000.69146","",NA,NA,NA,NA,NA,"",NA,"",""
"256","gnoto1_BA1_d20_colon","40.01 (11/14/09)","B","16.9","gnoto1","3","F7","7","AM-F0648","AM-R0668","colon","BA1","F","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1748426,1147422,"65.62599733","",NA,NA,NA,NA,NA,"",NA,"",""
"257","gnoto1_BA2_d20_colon","40.01 (11/14/09)","B","5.71","gnoto1","3","F8","7","AM-F0640","AM-R0669","colon","BA2","M","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",3814821,1271162,"33.3216683","",NA,NA,NA,NA,NA,"",NA,"",""
"258","gnoto1_BA3_d20_colon","40.01 (11/14/09)","B","13.3","gnoto1","3","F9","7","AM-F0641","AM-R0670","colon","BA3","M","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",2265458,1584728,"69.95177134","",NA,NA,NA,NA,NA,"",NA,"",""
"259","gnoto1_BA4_d20_colon","40.01 (11/14/09)","B","10.2","gnoto1","3","F10","7","AM-F0642","AM-R0671","colon","BA4","M","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1577282,839754,"53.24057461","",NA,NA,NA,NA,NA,"",NA,"",""
"260","gnoto2_BA1_d20_colon","40.01 (11/14/09)","B","27.1","gnoto2","4","A11","8","AM-F0694","AM-R0708","colon","BA1","F","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1341640,112342,"8.3734832","",NA,NA,NA,NA,NA,"",NA,"",""
"261","gnoto2_BA2_d20_colon","40.01 (11/14/09)","B","41.9","gnoto2","4","A12","8","AM-F0711","AM-R0709","colon","BA2","M","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",992405,381853,"38.47753689","",NA,NA,NA,NA,NA,"",NA,"",""
"262","gnoto2_BA3_d20_colon","40.01 (11/14/09)","B","38.4","gnoto2","4","B1","8","AM-F0713","AM-R0710","colon","BA3","M","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1198378,370176,"30.88975265","",NA,NA,NA,NA,NA,"",NA,"",""
"263","gnoto2_BA5_d20_colon","40.01 (11/14/09)","B","18.2","gnoto2","4","B2","8","AM-F0679","AM-R0711","colon","BA5","F","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",864850,284960,"32.94906631","",NA,NA,NA,NA,NA,"",NA,"",""
"264","gnoto2_BA6_d20_colon","40.01 (11/14/09)","B","11.1","gnoto2","4","B3","8","AM-F0697","AM-R0712","colon","BA6","F","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1211843,172101,"14.20159212","",NA,NA,NA,NA,NA,"",NA,"",""
"265","gnoto2_BA7_d20_colon","40.01 (11/14/09)","B","11.4","gnoto2","4","B4","8","AM-F0680","AM-R0713","colon","BA7","F","yes",NA,"20","","ampicillin","20",NA,"afteramp","afterampafter","E. coli","7","no","",1185448,312609,"26.37053671","",NA,NA,NA,NA,NA,"",NA,"",""
"275","GF11_B5_d74_colon","40.01 (11/14/09)","B","3.92","GF11","2","A7","6","AM-F0493","AM-R0512","colon","B_2_5","M","yes",NA,"74","","ampicillin/gentamicin/probenecid","13","3","afterampgent","afterampgent",NA,NA,"no","",1226002,103076,"8.407490363","",NA,NA,NA,NA,NA,"",NA,"",""
"276","GF11_B7_d74_colon","40.01 (11/14/09)","B","1.22","GF11","2","A8","6","AM-F0514","AM-R0513","colon","B_2_7","M","yes",NA,"74","","ampicillin/gentamicin/probenecid","13","3","afterampgent","afterampgent",NA,NA,"no","",398429,829142,"208.1028238","4.6",NA,NA,NA,NA,NA,"B01",1,"AM-F0038","AM-R0038"
"393","GF2_A2_day34","40.01 (11/14/09)","B","2.99","GF2","GF2/3 1","H9","5","N706","S621","stool","A2",NA,"yes",NA,"34","","meropenem","16",NA,"aftermero","aftermero","C. rodentium","0","no","",1292079,345188,"26.71570392","",NA,NA,NA,NA,NA,"",NA,"",""
"394","GF2_A6_d33","40.01 (11/14/09)","B","6.39","GF2","GF2/3 1","H8","5","N703","S620","stool","A6",NA,"yes",NA,"33","","meropenem","15","5","aftermero","aftermero","C. rodentium","-1","no","",1393887,318329,"22.83750404","",NA,NA,NA,NA,NA,"",NA,"",""
"408","GF20_d36_b5","40.01 (11/14/09)","B","6.019","GF20","","C10","3","AM-F0251","AM-R0251","colon","b5","M","yes",NA,"36","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",3058381,84989,"2.778888569","",NA,NA,NA,NA,NA,"",NA,"",""
"455","GF4_B3_d38","40.01 (11/14/09)","B","1.768","GF4","GF4_DNA","C2","5","N713","S514","stool","B3","F","yes",NA,"38","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1810188,1308420,"72.28089016","",NA,NA,NA,NA,NA,"",NA,"",""
"456","GF4_B4_d38","40.01 (11/14/09)","B","1.138","GF4","GF4_DNA","C3","5","N710","S615","stool","B4",NA,"no","15","38","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1568208,1124619,"71.71363748","",NA,NA,NA,NA,NA,"",NA,"",""
"457","GF5_A1_COLON_190628","40.01 (11/14/09)","B","10.121","GF5","GF5","C10","9","N820","S534","colon","A_1_1","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",860505,86452,"10.04665865","",NA,NA,NA,NA,NA,"",NA,"",""
"459","GF5_A1_D83","40.01 (11/14/09)","B","0.051","GF5","GF5","G3","9","N820","S527","stool","A_3_1","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",1109699,901177,"81.20913869","",NA,NA,NA,NA,NA,"",NA,"",""
"460","GF5_A2_COLON_190628","40.01 (11/14/09)","B","1.335","GF5","GF5","C11","9","N819","S535","colon","A_1_2","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",2830660,60975,"2.154091272","",NA,NA,NA,NA,NA,"",NA,"",""
"461","GF5_A3_COLON_190628","40.01 (11/14/09)","B","3.28","GF5","GF5","C12","9","N818","S536","colon","A_1_3","M","yes",NA,"49","","meropenem/probenecid","13","3","aftermero","aftermero",NA,NA,"no","",2295079,128237,"5.58747651","",NA,NA,NA,NA,NA,"",NA,"",""
"464","GF5_A6_D82","40.01 (11/14/09)","B","LOW","GF5","GF5","F10","9","N821","S534","stool","A_3_6",NA,"yes",NA,"82","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2680160,274196,"10.23058325","",NA,NA,NA,NA,NA,"",NA,"",""
"466","GF5_A7_D82","40.01 (11/14/09)","B","2.43","GF5","GF5","F11","9","N821","S535","stool","A_3_7","F","yes",NA,"82","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2700641,1760947,"65.20477916","",NA,NA,NA,NA,NA,"",NA,"",""
"467","GF5_A7_D83","40.01 (11/14/09)","B","2.57","GF5","GF5","G4","9","N823","S528","stool","A_3_7","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",976705,901985,"92.34978832","",NA,NA,NA,NA,NA,"",NA,"",""
"468","GF5_A8_D83","40.01 (11/14/09)","B","3.991","GF5","GF5","G5","9","N819","S529","stool","A_3_8","F","yes",NA,"83","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",1450146,1314307,"90.63273629","",NA,NA,NA,NA,NA,"",NA,"",""
"473","GF6_B1_D91","40.01 (11/14/09)","B","0.869","GF6","GF6","F12","1","N701","S512","stool","B_3_1","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",3886432,1453520,"37.39985673","",NA,NA,NA,NA,NA,"",NA,"",""
"474","GF6_B3_D91","40.01 (11/14/09)","B","6.846","GF6","GF6","G2","1","N705","S502","stool","B_3_3","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",2389912,1059920,"44.34975012","",NA,NA,NA,NA,NA,"",NA,"",""
"476","GF6_B5_D90","40.01 (11/14/09)","B","0.624","GF6","GF6","F6","1","N704","S506","stool","B_3_5","F","yes",NA,"90","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",1671106,551460,"32.99970199","",NA,NA,NA,NA,NA,"",NA,"",""
"477","GF6_B5_D91","40.01 (11/14/09)","B","0.762","GF6","GF6","G1","1","N705","S501","stool","B_3_5","F","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",5107866,1738648,"34.03863766","",NA,NA,NA,NA,NA,"",NA,"",""
"478","GF6_B6_D90","40.01 (11/14/09)","B","2.856","GF6","GF6","F8","1","N704","S508","stool","B_3_6","M","yes",NA,"90","","meropenem/probenecid","13","3","aftermero","aftermero","E. coli","-1","no","",2368334,500962,"21.15250636","",NA,NA,NA,NA,NA,"",NA,"",""
"479","GF6_B6_D91","40.01 (11/14/09)","B","2.321","GF6","GF6","G3","1","N705","S503","stool","B_3_6","M","yes",NA,"91","","meropenem/probenecid","14",NA,"aftermero","aftermero","E. coli","0","no","",2042556,361013,"17.67457049","",NA,NA,NA,NA,NA,"",NA,"",""
