"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"2","GF21_d35_B5_cwash","357.01 (11/25/12)","C","0.212","GF21","","A12","UDI plate 01","AM-F0037","AM-R0037","colon","B5","F","yes",NA,"2/23/21","6/12/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",3448506,310882,"9.01497634","",NA,NA,NA,NA,NA,"",NA,"",""
"3","GF21_d35_B6_cwash","357.01 (11/25/12)","C","0.164","GF21","","B01","UDI plate 01","AM-F0038","AM-R0038","colon","B6","F","yes",NA,"2/23/21","6/12/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",3197344,205307,"6.421173324","",NA,NA,NA,NA,NA,"",NA,"",""
"4","GF21_d35_B7_cwash","357.01 (11/25/12)","C","0.146","GF21","","B02","UDI plate 01","AM-F0039","AM-R0039","colon","B7","M","yes",NA,"2/23/21","6/12/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",2901321,213989,"7.375571335","",NA,NA,NA,NA,NA,"",NA,"",""
"5","GF21_d35_B8_cwash","357.01 (11/25/12)","C","0.186","GF21","","B03","UDI plate 01","AM-F0040","AM-R0040","colon","B8","M","yes",NA,"2/23/21","6/12/23","ampicillin/probenecid","10","0","after1xamppro","after1xamppro",NA,NA,"no","",3637288,226909,"6.238411696","",NA,NA,NA,NA,NA,"",NA,"",""
"38","GF21_d35_B1_cwash","357.01 (11/25/12)","C","0.347","GF21","","A08","UDI plate 01","AM-F0033","AM-R0033","colon","B1","F","yes",NA,"2/23/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3475192,68226,"1.963229658","",NA,NA,NA,NA,NA,"",NA,"",""
"39","GF21_d35_B2_cwash","357.01 (11/25/12)","C","0.171","GF21","","A09","UDI plate 01","AM-F0034","AM-R0034","colon","B2","F","yes",NA,"2/23/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",3726528,260123,"6.980304455","",NA,NA,NA,NA,NA,"",NA,"",""
"40","GF21_d35_B3_cwash","357.01 (11/25/12)","C","0.263","GF21","","A10","UDI plate 01","AM-F0035","AM-R0035","colon","B3","M","yes",NA,"2/23/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",2579828,80640,"3.125789781","",NA,NA,NA,NA,NA,"",NA,"",""
"41","GF21_d35_B4_cwash","357.01 (11/25/12)","C","0.237","GF21","","A11","UDI plate 01","AM-F0036","AM-R0036","colon","B4","M","yes",NA,"2/23/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","",2327698,117607,"5.052502515","",NA,NA,NA,NA,NA,"",NA,"",""
"42","GF21_d58_A10_cwash","357.01 (11/25/12)","C","0.15","GF21","","C10","UDI plate 01","AM-F0059","AM-R0059","colon","A10",NA,"yes",NA,"3/18/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","Paper with sex thrown out",2994321,271868,"9.079454073","",NA,NA,NA,NA,NA,"",NA,"",""
"43","GF21_d58_A7_cwash","357.01 (11/25/12)","C","0.27","GF21","","C07","UDI plate 01","AM-F0056","AM-R0056","colon","A7",NA,"yes",NA,"3/18/21","6/12/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","Paper with sex thrown out",3031154,134302,"4.430721765","",NA,NA,NA,NA,NA,"",NA,"",""
