"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"64","GF26_A1_d101_cwash","308.01 (5/19/12)","D","0.26","GF26","","G05","UDI Plate 05","AM-F0486","AM-R0486","colon","A1",NA,"yes","","12/4/21","4/7/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","Missing from Sack Tracker, present in birth tracker and colony counter",4712859,1512364,"32.09016013","",NA,NA,NA,NA,NA,"",NA,"",""
"65","GF26_A2_d101_cwash","308.01 (5/19/12)","D","0.22","GF26","","G06","UDI Plate 05","AM-F0487","AM-R0487","colon","A2",NA,"yes","","12/4/21","4/7/23","meropenem/probenecid","10","0","after1xmeropro","after1xmeropro",NA,NA,"no","Missing from Sack Tracker, present in birth tracker and colony counter",6880455,1287390,"18.71082654","",NA,NA,NA,NA,NA,"",NA,"",""
"87","GF26_A3_d101_cwash","308.01 (5/19/12)","D","0.25","GF26","","G07","UDI Plate 05","AM-F0488","AM-R0488","colon","A3",NA,"yes","","12/4/21","4/7/23","PBS","10","0","after1xPBS","after1xPBS",NA,NA,"no","Missing from Sack Tracker, present in birth tracker and colony counter",5783906,2437137,"42.13652504","",NA,NA,NA,NA,NA,"",NA,"",""
"88","GF26_A4_d101_cwash","308.01 (5/19/12)","D","0.26","GF26","","G08","UDI Plate 05","AM-F0489","AM-R0489","colon","A4",NA,"yes","","12/4/21","4/7/23","PBS","10","0","after1xPBS","after1xPBS",NA,NA,"no","Missing from Sack Tracker, present in birth tracker and colony counter",6423186,3125095,"48.65334742","",NA,NA,NA,NA,NA,"",NA,"",""
"89","GF26_A5_d101_cwash","308.01 (5/19/12)","D","0.37","GF26","","G09","UDI Plate 05","AM-F0490","AM-R0490","colon","A5",NA,"yes","","12/4/21","4/7/23","PBS","10","0","after1xPBS","after1xPBS",NA,NA,"no","Missing from Sack Tracker, present in birth tracker and colony counter",6967219,3056684,"43.87236859","",NA,NA,NA,NA,NA,"",NA,"",""
"174","GF26_A2_d149_cwash","308.01 (5/19/12)","D","0.68","GF26","","H03","UDI Plate 05","AM-F0496","AM-R0496","colon","A2","M","no",NA,"","4/7/23","ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",7860122,122556,"1.55921244","",NA,NA,NA,NA,NA,"",NA,"",""
"175","GF26_A3_d149_cwash","308.01 (5/19/12)","D","1.85","GF26","","H04","UDI Plate 05","AM-F0497","AM-R0497","colon","A3","F","no",NA,"","4/7/23","ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","",5660593,286241,"5.056731689","",NA,NA,NA,NA,NA,"",NA,"",""
"176","GF26_A9_d149_cwash","308.01 (5/19/12)","D","0.72","GF26","","H05","UDI Plate 05","AM-F0498","AM-R0498","colon","A4","M","no",NA,"","4/7/23","ampicillin/probenecid","13","3","afteramp","afteramp",NA,NA,"no","Misread mouse number, actually A4, not A9 as in ID",5469356,252550,"4.617545466","",NA,NA,NA,NA,NA,"",NA,"",""
"906","GF13_B2_d35_colon","308.01 (5/19/12)","D","5.25","GF13","3","A8","7","AM-F0625","AM-R0609","colon","B_1_2","M","yes",NA,"35","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1817538,238430,"13.11829519","",NA,NA,NA,NA,NA,"",NA,"",""
"907","GF13_B3_d35_colon","308.01 (5/19/12)","D","4.94","GF13","3","A9","7","AM-F0599","AM-R0610","colon","B_1_3","F","yes",NA,"35","","probenecid","13","3","afterpro","afterpro",NA,NA,"no","",1358611,104681,"7.705001652","",NA,NA,NA,NA,NA,"",NA,"",""
