"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterococcus"	"Survived"	"yes"	"Survivedyes"	-2.47397645460034	1.1155920490024	0.876450301683113	0.0023638162136761	0.0543677729145502	0.00472204480026016	0.0661086272036422	NA	"abundance"	143	89
"Bifidobacterium"	"Survived"	"yes"	"Survivedyes"	1.40616526486137	1.1155920490024	1.51758064571398	0.843463043555878	0.861566149581681	0.837605429529086	0.902036616415939	NA	"abundance"	143	58
"Citrobacter"	"Survived"	"yes"	"Survivedyes"	0.172729755205259	1.1155920490024	1.23659833012123	0.451474284789481	0.861566149581681	0.323654017116697	0.881472882115287	NA	"abundance"	143	75
"Clostridioides"	"Survived"	"yes"	"Survivedyes"	0.825018833143426	1.1155920490024	0.966669227524886	0.776099424288935	0.861566149581681	0.652427383788015	0.881472882115287	NA	"abundance"	143	76
"Clostridium"	"Survived"	"yes"	"Survivedyes"	2.48805394010961	1.1155920490024	0.965689301534818	0.245719816849388	0.861566149581681	0.43106140530628	0.881472882115287	NA	"abundance"	143	78
"Escherichia"	"Survived"	"yes"	"Survivedyes"	0.0324745445293745	1.1155920490024	0.690708616755601	0.293270349296695	0.861566149581681	0.500533200816784	0.881472882115287	NA	"abundance"	143	98
"Finegoldia"	"Survived"	"yes"	"Survivedyes"	2.82501708997425	1.1155920490024	2.57328015740634	0.505579313408355	0.861566149581681	0.755548184670246	0.881472882115287	NA	"abundance"	143	14
"Klebsiella"	"Survived"	"yes"	"Survivedyes"	-0.27239143981565	1.1155920490024	0.807977906943715	0.180668803117584	0.861566149581681	0.328696389815228	0.881472882115287	NA	"abundance"	143	86
"Veillonella"	"Survived"	"yes"	"Survivedyes"	1.49080325120387	1.1155920490024	1.63823067650907	0.817720874929331	0.861566149581681	0.946111175597545	0.946111175597545	NA	"abundance"	143	9
"Bifidobacterium"	"Survived"	"yes"	"Survivedyes"	0.335637489857721	0	0.634842912856516	0.597017903039213	0.861566149581681	0.837605429529086	0.902036616415939	NA	"prevalence"	143	58
"Citrobacter"	"Survived"	"yes"	"Survivedyes"	0.855104201288439	0	0.634261121984879	0.177597432589548	0.861566149581681	0.323654017116697	0.881472882115287	NA	"prevalence"	143	75
"Clostridioides"	"Survived"	"yes"	"Survivedyes"	0.501252588725364	0	0.608976162251324	0.410447104822659	0.861566149581681	0.652427383788015	0.881472882115287	NA	"prevalence"	143	76
"Clostridium"	"Survived"	"yes"	"Survivedyes"	0.56249685913873	0	0.609127640534199	0.35577450756766	0.861566149581681	0.43106140530628	0.881472882115287	NA	"prevalence"	143	78
"Cutibacterium"	"Survived"	"yes"	"Survivedyes"	2.04458240676998	0	4.9206285192809	0.677766803742406	0.861566149581681	0.677766803742406	0.881472882115287	NA	"prevalence"	143	3
"Enterococcus"	"Survived"	"yes"	"Survivedyes"	0.543645704796266	0	0.60302321206814	0.367304661852784	0.861566149581681	0.00472204480026016	0.0661086272036422	NA	"prevalence"	143	89
"Erysipelatoclostridium"	"Survived"	"yes"	"Survivedyes"	2.30640463427087	0	4.91403895339332	0.63881941573557	0.861566149581681	0.63881941573557	0.881472882115287	NA	"prevalence"	143	4
"Escherichia"	"Survived"	"yes"	"Survivedyes"	-0.344120977495676	0	0.688521264562413	0.617217905577065	0.861566149581681	0.500533200816784	0.881472882115287	NA	"prevalence"	143	98
"Finegoldia"	"Survived"	"yes"	"Survivedyes"	0.185618729202083	0	1.06444435108222	0.861566149581681	0.861566149581681	0.755548184670246	0.881472882115287	NA	"prevalence"	143	14
"Klebsiella"	"Survived"	"yes"	"Survivedyes"	-0.73706848485368	0	0.686005420023458	0.282627598584016	0.861566149581681	0.328696389815228	0.881472882115287	NA	"prevalence"	143	86
"Morganella"	"Survived"	"yes"	"Survivedyes"	4.87927797546712	0	4.89395494588929	0.318764024504576	0.861566149581681	0.318764024504576	0.881472882115287	NA	"prevalence"	143	41
"Proteus"	"Survived"	"yes"	"Survivedyes"	1.69549046792996	0	4.93256239512618	0.731046176682333	0.861566149581681	0.731046176682333	0.881472882115287	NA	"prevalence"	143	2
"Varibaculum"	"Survived"	"yes"	"Survivedyes"	1.69549046792999	0	4.93256239512615	0.731046176682328	0.861566149581681	0.731046176682328	0.881472882115287	NA	"prevalence"	143	2
"Veillonella"	"Survived"	"yes"	"Survivedyes"	-0.320182948947545	0	1.08472310137485	0.767860334275989	0.861566149581681	0.946111175597545	0.946111175597545	NA	"prevalence"	143	9
"Cutibacterium"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.677766803742406	0.881472882115287	"No data points have the baseline factor level"	"abundance"	143	3
"Erysipelatoclostridium"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.63881941573557	0.881472882115287	"No data points have the baseline factor level"	"abundance"	143	4
"Morganella"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.318764024504576	0.881472882115287	"No data points have the baseline factor level"	"abundance"	143	41
"Proteus"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.731046176682333	0.881472882115287	"No data points have the baseline factor level"	"abundance"	143	2
"Varibaculum"	"Survived"	"yes"	"Survivedyes"	NA	NA	NA	NA	NA	0.731046176682328	0.881472882115287	"No data points have the baseline factor level"	"abundance"	143	2
