feature	Klebsiella	Escherichia	Enterococcus	Clostridium	Erysipelatoclostridium	Clostridioides	Veillonella	Proteus	Citrobacter	Varibaculum	Finegoldia	Bifidobacterium	Morganella	Cutibacterium
GF11_B2_d73	-0.504626972911315	NA	NA	NA	NA	NA	NA	NA	-1.76044358230916	NA	NA	NA	NA	NA
GF11_B4_d72	NA	NA	NA	NA	NA	NA	NA	NA	-0.00273201991776069	NA	NA	-9.04594845038057	NA	NA
GF11_B4_d73	-2.34426496920157	NA	NA	NA	NA	NA	NA	NA	-0.316397497951871	NA	NA	NA	NA	NA
GF11_B5_d74_colon	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF11_B7_d74_colon	-3.08132096487333	-3.09417498744306	-3.00260526078482	-1.99827700905291	-2.00024037296936	-3.03574746740013	-8.67241408899631	-7.62058692982208	-6.60888016729289	NA	NA	NA	NA	NA
GF11_C1_d74_colon	-3.65794414006522	-2.31188231998352	-1.28098272549093	-4.57370733109647	-2.2044152288996	-4.74287928240715	NA	NA	-6.43563861216124	NA	NA	NA	NA	NA
GF11_C2_d72	NA	NA	-4.96100426795533	NA	NA	NA	NA	NA	-0.0510614668386355	NA	NA	-8.55007969318001	NA	NA
GF11_C2_d74_colon	-4.57894575346236	-4.36701117544045	-0.256340274233089	-8.09228603364713	-4.12188835124204	-6.80592909001642	NA	NA	-8.67276701261258	NA	NA	NA	NA	NA
GF11_C3_d74_colon	NA	-2.60446698217148	-2.2406199749815	-2.89598346272506	NA	-1.6320400424923	NA	NA	-5.02764451378398	NA	NA	NA	-2.87469501353144	NA
GF11_C4_d74_colon	NA	-1.07289726579965	NA	-2.37985655319305	NA	-1.68393027641196	NA	NA	NA	NA	NA	NA	-5.55473096413832	NA
GF11_C5_d72	NA	NA	-2.20046038873525	NA	NA	NA	NA	NA	-0.369858114712629	NA	NA	-6.86595048494137	NA	NA
GF11_C5_d74_colon	-2.7376370845041	-2.04290200843962	-4.75122036365503	-2.87956418136794	-1.39806126418557	-5.05911491925459	-5.75140298844515	-8.49329651319934	-9.10303535886856	NA	NA	NA	NA	NA
GF11_C6_d72	-9.1729290765691	NA	-5.46514806591451	NA	NA	-7.39913972997369	NA	NA	-0.0722734115090334	NA	NA	-5.75105344591755	NA	NA
GF11_C6_d74_colon	-8.27496480023265	-2.62829068188319	-3.93600220217508	-1.11680761089024	NA	-1.88687975137553	NA	NA	-5.76108780498872	NA	NA	NA	-5.66144103338641	NA
GF11_C7_d72_colon	NA	NA	NA	NA	NA	NA	NA	NA	-0.0356862499303079	NA	NA	-5.35506060295903	NA	NA
GF20_d127_a2	-1.56399427449318	-0.59556201494629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d127_a3	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d127_a6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d127_a7	-0.60644123952517	-1.54294117789708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d127_a9	-2.69827095865374	-0.241402769922729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d140_c8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d164_b1	-3.03492174790048	-0.215174407129177	-5.91725178177174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d164_b2	-2.72740343121422	-1.74829132815806	NA	NA	NA	NA	NA	NA	-0.858963841227176	NA	NA	NA	NA	NA
GF20_d164_b3	-2.82911300970384	-0.766112921251254	NA	NA	NA	NA	NA	NA	-2.05766251364566	NA	NA	NA	-5.00802287606781	NA
GF20_d164_b4	-2.03907970770903	-0.949783909562631	NA	NA	NA	NA	NA	NA	-2.06509193863827	NA	NA	NA	NA	NA
GF20_d164_b5	-3.5451671456834	-0.940734997488823	NA	NA	NA	NA	NA	NA	-1.59085697071995	NA	NA	NA	-4.02574912148675	NA
GF20_d164_b6	-3.76125994562727	-0.206542236258203	NA	NA	NA	NA	NA	NA	-4.34830638984895	NA	NA	NA	-6.56709174519	NA
GF20_d164_b7	-2.31931197679779	-1.61307651115334	NA	NA	NA	NA	NA	NA	-1.08089183536096	NA	NA	NA	NA	NA
